PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,0.9163,2.5000,2.2849,2.5000,2.5000,1.9815,1.7600
Caloocan,-,-,-,0.2244,0.3661,0.3552,0.5003,0.4275,0.4411,0.3098
Manila,-,-,-,1.6315,1.9449,2.2725,2.5000,1.8303,1.5532,0.0000
Pasay,-,-,-,0.1937,0.3809,0.3991,0.7650,0.5448,0.4364,0.0000
Paranaque,-,-,-,0.0000,0.6105,0.5298,0.9811,0.6202,0.5063,0.5142
Las Pinas,-,-,-,0.2188,0.3099,0.2804,0.4656,0.3338,0.3166,0.3228
Valenzuela,-,-,-,0.1920,0.4875,0.4885,0.9592,0.6679,0.6150,0.5147
Pasig,-,-,-,0.7397,0.8639,0.7275,1.1431,0.8123,0.9399,0.7201
Taguig,-,-,-,0.2863,0.6149,0.7670,0.0000,0.4096,0.4338,0.3816
Marikina,-,-,-,0.3436,0.5264,0.4168,0.0000,0.5350,0.4876,0.4672
San Juan (MM),-,-,-,0.0689,0.1309,0.1155,0.1564,0.1210,0.0439,0.1446
Mandaluyong,-,-,-,0.1778,0.4488,0.4132,0.6155,0.4277,0.4815,0.3871
Makati,-,-,-,0.9151,1.2175,0.9449,1.5911,1.0477,0.9732,0.5589
Malabon,-,-,-,0.1255,0.1095,0.0726,0.1737,0.1475,0.1370,0.1748
Navotas,-,-,-,0.0000,0.0000,0.0080,0.0201,0.0536,0.0738,0.1101
Muntinlupa,-,-,-,0.2130,0.3882,0.3520,0.5656,0.4133,0.3803,0.3883
Pateros,-,-,-,0.3851,0.3953,0.2180,0.2793,0.3808,0.2494,0.2853
Alfonso,-,-,-,0.1534,0.3940,0.2482,0.3345,0.3191,0.4066,0.4357
Amadeo,-,-,-,0.4038,0.0084,0.5232,0.6611,0.8289,0.8059,0.8487
Bacoor,-,-,-,0.7332,2.2748,1.3874,1.1644,1.7085,1.4220,1.2262
Carmona,-,-,-,0.2496,0.6052,0.3307,0.4951,0.5646,0.4803,0.4494
Cavite,-,-,-,0.2294,0.5954,0.3780,0.2427,0.2713,0.3094,0.3325
Dasmarinas,-,-,-,0.6493,2.0312,1.2530,2.5000,2.5000,2.0000,2.0000
Gen. Emilio Aguinaldo,-,-,-,0.2458,0.0039,0.2981,0.7652,0.9658,0.6761,1.1124
Gen. Mariano Alvarez,-,-,-,0.2400,0.6093,0.4252,0.4769,1.0687,0.6797,0.3996
General Trias,-,-,-,0.4722,1.3643,0.8127,0.5886,1.1038,0.9661,0.8839
Imus,-,-,-,0.6534,1.9267,1.3547,1.0743,1.6370,1.3886,1.4144
Indang,-,-,-,0.0000,0.5410,0.2902,0.4130,0.4005,0.3629,0.3765
Kawit,-,-,-,0.2413,0.7212,0.3832,0.6292,0.7279,0.6252,0.5758
Magallanes (CE),-,-,-,0.0102,0.0031,0.2240,0.9136,0.4096,0.3940,0.4692
Maragondon,-,-,-,0.5511,0.0080,0.6058,1.8023,1.0025,0.7756,0.6971
Mendez,-,-,-,0.0943,0.0105,0.8297,0.7900,1.0325,0.9167,0.7541
Naic,-,-,-,0.2685,0.6845,0.3392,0.5358,0.7270,0.5406,0.6221
Noveleta,-,-,-,0.6802,0.0111,0.9105,0.9281,1.0265,0.8723,0.7924
Rosario (CE),-,-,-,0.0090,0.5056,0.2667,0.9777,0.7572,0.5721,0.4651
Silang,-,-,-,0.3669,0.9646,0.4499,0.8816,0.9321,0.8856,0.9564
Tagaytay,-,-,-,0.1870,0.4698,0.3006,0.2375,0.3095,0.2844,0.3539
Tanza,-,-,-,0.2710,0.6523,0.3613,0.6001,0.6261,0.5293,0.7442
Ternate,-,-,-,0.1799,0.0031,0.1854,0.1960,0.3607,0.3428,0.2673
Trece Martires,-,-,-,0.2888,0.5068,0.9948,0.2406,0.3485,0.3171,0.6558
Angono,-,-,-,0.3024,0.7419,0.3902,0.3883,0.6939,0.6292,0.7213
Antipolo,-,-,-,0.8333,2.5000,1.5138,1.2878,1.8417,1.6897,1.4572
Baras (RL),-,-,-,0.3117,0.0080,0.3456,0.7453,1.2939,1.1762,1.0523
Binangonan,-,-,-,0.0367,1.4194,0.6940,1.0586,1.0886,1.5371,1.3734
Cainta,-,-,-,1.3644,2.0455,1.2500,1.3912,2.0090,1.2564,1.6694
Cardona,-,-,-,0.3406,0.0051,0.1998,0.3052,0.3383,0.3317,0.2236
Jalajala,-,-,-,0.1553,0.0029,0.1802,0.4470,0.5495,0.4380,0.3932
Morong (RL),-,-,-,0.0075,0.2772,0.1392,0.2159,0.3229,0.2532,0.2372
Pililla,-,-,-,0.0041,0.1705,0.0871,0.1362,0.2128,0.2174,0.1846
Rodriguez,-,-,-,1.0063,1.0089,0.5255,0.8440,1.1536,1.0061,1.1330
San Mateo (RL),-,-,-,0.4082,0.9858,0.5777,0.9958,1.0766,0.8747,0.8043
Tanay,-,-,-,0.1885,0.4137,0.2397,0.2977,0.3171,0.2576,0.3258
Taytay (RL),-,-,-,0.8333,2.5000,1.0580,1.6166,1.9841,1.8154,1.8970
Teresa,-,-,-,0.1007,0.2638,0.1400,0.2162,0.2599,0.3336,0.2704
