PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.8582,1.2513,0.9914,0.5279,0.0381,0.5333,2.5000,0.7654,0.5403,0.9248
Caloocan,0.7380,0.6562,0.5576,0.3294,0.0236,0.2453,0.1354,0.2150,0.1589,0.1654
Manila,0.7956,3.0165,4.1667,1.3853,0.1067,1.3523,0.9087,0.7732,0.5030,0.4600
Pasay,0.3337,1.0102,0.2705,1.8774,0.1765,2.3823,2.3180,2.5000,2.0000,2.0000
Paranaque,0.1705,2.1117,1.6815,1.0161,0.0695,0.8044,0.6843,0.7462,0.5729,0.7071
Las Pinas,0.2092,0.3799,0.3985,0.1617,0.0113,0.1937,0.2286,0.0951,0.1678,0.1593
Valenzuela,0.7953,0.7507,0.7352,0.4455,0.0338,0.3565,0.2297,0.2518,0.2144,0.2002
Pasig,-,2.2370,1.8668,1.0784,0.0724,0.7056,0.4525,0.4969,0.4449,0.4337
Taguig,-,0.3689,0.5393,0.3082,0.0239,0.1561,0.0000,0.1359,0.1118,0.1081
Marikina,0.4802,0.4335,0.3515,0.1967,0.0144,0.1579,0.0000,0.1102,0.1013,0.0942
San Juan (MM),-,0.1806,0.1357,0.0719,0.0053,0.0824,0.0464,0.0229,0.0169,0.0141
Mandaluyong,0.3940,0.4260,0.2604,0.1513,0.0109,0.1539,0.1248,0.0942,0.0380,0.0841
Makati,4.1667,4.1667,3.4611,2.2990,0.1727,1.7471,1.3116,1.2011,0.9430,1.0473
Malabon,1.3576,0.4200,0.3184,0.1645,0.0138,0.2776,0.0810,0.0981,0.0833,0.0784
Navotas,0.0000,0.0000,0.0000,0.0000,0.0002,0.0386,0.0238,0.0380,0.0361,0.0286
Muntinlupa,1.3178,1.1960,1.1395,0.6490,0.0448,0.5014,0.3171,0.3047,0.2702,0.2558
Pateros,0.2372,0.1096,0.1802,0.1245,0.1153,0.1784,0.1450,0.1257,0.0193,0.0578
Alfonso,0.0000,0.0000,0.2095,0.0445,0.0543,0.0778,0.0864,0.1070,0.1285,0.1218
Amadeo,-,-,0.9108,0.8046,0.4446,0.5482,0.4683,0.2989,0.6606,0.6885
Bacoor,0.3370,1.2767,2.8671,0.5568,0.3045,0.7332,1.1334,1.1218,0.3475,0.3538
Carmona,3.5781,1.5376,1.5972,1.6608,1.0869,1.1780,1.0821,1.1567,0.8394,0.7907
Cavite,0.0202,0.0091,0.0000,0.0275,0.0113,0.0743,0.0456,0.0421,0.0272,0.0346
Dasmarinas,0.2548,0.8685,1.6941,0.8040,0.6124,1.9081,1.7745,2.0791,0.3106,0.5837
Gen. Emilio Aguinaldo,-,-,0.1256,0.1067,0.0601,0.1259,0.3998,0.1702,0.4021,0.6064
Gen. Mariano Alvarez,0.0000,0.1056,0.1605,0.1069,0.1933,0.2453,0.1653,0.3463,0.2811,0.1307
General Trias,0.0000,4.1667,4.1667,2.0713,1.0655,1.4978,0.6843,0.6767,0.3204,0.3407
Imus,0.1256,0.5410,1.4173,0.7747,0.3894,0.7529,1.1218,1.1476,0.2044,0.2540
Indang,0.0000,0.0967,0.0873,0.0503,0.0474,0.0770,0.0802,0.0962,0.0688,0.0734
Kawit,0.4017,0.4756,0.4058,0.1477,0.1252,0.4914,0.3637,0.4459,0.3317,0.3124
Magallanes (CE),-,-,0.2521,0.1984,0.1201,0.2184,0.4898,0.2070,0.3018,0.1613
Maragondon,-,1.4018,0.6926,0.5145,0.2027,0.5260,0.3372,0.4559,0.5234,0.4236
Mendez,-,-,0.4619,0.7847,0.5150,0.5088,0.3600,0.5944,0.5803,0.4558
Naic,0.2785,0.1161,0.2420,0.1187,0.1593,0.2793,0.2527,0.3097,0.1932,0.2257
Noveleta,-,1.4515,0.4435,0.3850,2.5000,0.2980,0.2625,0.6968,0.3121,0.3727
Rosario (CE),2.3746,0.2519,0.4472,2.5000,2.5000,0.3562,0.4588,0.3353,0.1784,0.1690
Silang,0.0000,0.8869,0.7702,0.5205,0.6032,0.8355,0.7344,0.7896,0.5682,0.5438
Tagaytay,0.1109,0.4232,0.8276,0.1528,0.1177,0.6086,1.0726,0.3329,0.0408,0.1088
Tanza,0.9759,0.4627,0.3705,0.2425,0.4135,1.4560,1.1142,1.5480,1.2503,1.2716
Ternate,-,-,0.3430,0.3017,0.1306,0.2831,0.0736,0.1310,0.1649,0.1145
Trece Martires,0.0737,0.2934,0.1983,0.1043,0.1172,0.1437,0.2722,0.2664,0.0390,0.1190
Angono,0.5088,0.6328,0.5532,0.3493,0.3303,0.5086,0.4037,0.8518,0.6226,0.5911
Antipolo,0.3466,1.6980,3.7861,0.7539,0.4883,1.2900,2.2938,1.8092,0.4540,0.5493
Baras (RL),-,2.6737,0.4447,0.7108,0.2495,0.6063,0.5365,0.6209,0.6082,0.5318
Binangonan,0.0000,0.7879,0.7296,0.4355,0.3965,0.5876,0.4856,0.6223,0.5157,0.4624
Cainta,0.0000,1.5739,1.3108,0.4278,0.5737,1.3715,1.8862,2.1940,1.8096,1.9085
Cardona,-,0.5524,0.2550,0.2317,0.1903,0.9099,0.7769,0.5178,0.7109,1.0084
Jalajala,-,0.9018,0.1302,0.0924,0.1116,0.2174,0.3540,0.3307,0.4065,0.3822
Morong (RL),-,0.1247,0.0831,0.0640,0.1312,0.1282,0.1507,0.4282,0.1636,0.1196
Pililla,0.0985,0.1207,0.1167,0.0507,0.0567,0.0983,0.0832,0.1380,0.1007,0.0829
Rodriguez,0.3473,0.4253,0.5097,0.4063,0.3682,0.5308,0.4163,0.4592,0.3544,0.3825
San Mateo (RL),1.1450,0.5406,0.6094,0.4017,0.3485,0.4327,0.3988,0.3819,0.2710,0.2420
Tanay,0.4173,0.1796,0.1447,0.0845,0.0756,0.1299,0.1021,0.0745,0.0564,0.0998
Taytay (RL),1.4900,0.6369,1.2770,0.9899,0.3641,1.2093,1.0531,1.1275,0.8439,0.8516
Teresa,0.0000,0.1827,0.3043,0.1373,0.1154,0.1566,0.1481,0.1206,0.0964,0.0659
