PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.2173,1.5118,1.2995,0.6922,0.7251,2.3597,2.5000,1.2917,1.4464,0.4684
Caloocan,0.3840,1.2375,1.1504,0.8275,1.2028,1.0875,1.4443,0.5613,0.6029,0.4637
Manila,0.6304,1.9339,1.1616,0.4915,0.6679,1.3594,2.2743,1.3644,0.6731,0.6126
Pasay,0.8135,1.6975,1.4837,0.8686,1.2800,0.2176,0.3806,0.6305,0.6349,0.7601
Paranaque,0.5952,0.9662,1.3512,0.2941,0.6667,0.3406,0.5231,0.2300,0.2966,0.3661
Las Pinas,0.0000,1.6667,1.2719,1.0026,1.5665,0.2171,0.5085,0.1946,0.4418,0.4407
Valenzuela,0.5700,1.1071,1.1128,0.4671,0.6713,0.5457,0.8212,0.2618,0.4229,0.4877
Pasig,-,0.0000,0.9374,0.3609,0.8629,0.5496,0.8768,0.2594,0.4161,0.4843
Taguig,-,0.0000,2.4807,1.5300,1.7441,0.6389,0.9102,0.3395,0.5123,0.4118
Marikina,0.6282,0.7421,1.3147,0.3140,1.2995,0.3764,0.5709,0.2162,0.5097,0.5301
San Juan (MM),-,0.6329,1.6808,0.7288,1.4143,0.0302,0.1795,0.0762,0.6085,0.4975
Mandaluyong,0.8029,1.4404,1.4268,0.8343,1.4672,0.2374,0.4319,0.1904,0.3465,0.3541
Makati,0.6939,1.5350,1.2017,0.6955,1.1917,0.2211,0.5208,0.2306,0.8183,0.5131
Noveleta,-,0.3252,0.3932,0.0854,0.0000,0.3641,0.1065,0.0187,0.0297,0.0115
Rosario (CE),0.4644,0.6800,0.2413,0.1706,0.0000,0.4162,0.2402,0.2531,0.0735,0.0811
Naic,0.0000,0.6083,0.4041,0.1528,0.0000,0.6215,0.3921,0.1712,0.0514,0.0476
Amadeo,-,-,0.5670,0.4000,0.0000,0.5306,0.0777,0.1127,0.0180,0.0334
Indang,0.0000,0.4635,0.3045,0.1946,0.0000,0.3902,0.2227,0.3329,0.0432,0.0637
Kawit,0.0000,0.5806,0.4855,0.2107,0.0000,0.3937,0.2277,0.0603,0.0018,0.0255
Carmona,0.0000,0.6075,0.7306,0.2122,0.0000,0.3411,0.1568,0.1535,0.1129,0.0733
Silang,0.0000,0.5753,0.5180,0.4604,0.0000,1.4042,0.7770,0.3367,0.2206,0.0808
Tanza,0.0000,0.5095,0.4742,0.1945,0.0000,1.0885,0.6052,0.2274,0.0487,0.2463
Trece Martires,0.0000,1.0103,0.1390,0.2006,0.3912,0.8930,0.4277,0.1703,0.4239,0.2850
General Trias,0.0000,0.6333,0.4985,0.3188,0.3628,0.5203,0.8276,0.2597,0.2037,0.1586
Alfonso,0.0000,0.8946,0.4913,0.2041,0.0000,0.2576,0.1412,0.0457,0.0242,0.0739
Bacoor,0.3372,0.7773,0.2585,0.2718,0.3605,0.9242,1.1051,0.5166,0.2206,0.1676
Dasmarinas,0.5667,0.5778,0.1614,0.3567,0.3889,0.8893,1.8705,0.7701,0.2875,0.3904
Imus,0.0000,0.9041,0.4978,0.2300,0.3700,0.7333,0.9631,0.4541,0.2238,0.2660
Cavite,0.9122,1.8220,1.9214,0.5739,0.5479,0.2130,0.2477,0.1041,0.1822,0.0987
Tagaytay,0.0000,1.8907,0.6466,0.3562,0.4135,0.2907,0.3197,0.1036,0.1378,0.1824
Angono,0.3931,0.4881,0.1707,0.2197,0.0000,0.7190,0.4095,0.0770,0.0248,0.0530
Antipolo,0.6821,0.8705,0.4698,0.2907,0.2141,1.4596,1.8663,1.0894,0.3519,0.4765
Baras (RL),-,0.3363,0.2126,0.2274,0.0000,0.5158,0.0877,0.0543,0.0058,0.0038
Binangonan,0.4128,0.6568,0.2171,0.2570,0.0000,1.1445,0.6289,0.2826,0.1415,0.1090
Cainta,0.4558,0.4321,0.1187,0.2475,0.0000,0.9675,0.7543,0.2688,0.1813,0.3151
Cardona,-,0.3687,0.1788,0.2748,0.0000,0.6591,0.1150,0.1703,0.0148,0.0222
Jalajala,-,0.2394,0.1573,0.2179,0.0000,0.4144,0.0874,0.1177,0.0257,0.0380
Morong (RL),-,0.4941,0.0000,0.1907,0.0000,0.6161,0.3605,0.2435,0.0909,0.1842
Pililla,0.3755,0.5621,0.1669,0.1675,0.0000,0.2946,0.1134,0.0772,0.0233,0.0882
San Mateo (RL),0.4107,0.5686,0.1344,0.2327,0.0000,0.8845,0.4905,0.3726,0.0604,0.1911
Tanay,0.5161,0.7103,0.2652,0.1642,0.0000,0.7100,0.3516,0.1433,0.0527,0.0980
Taytay (RL),0.3532,0.5018,0.1075,0.1328,0.0000,1.8425,1.2286,0.4741,0.3593,0.5414
Teresa,0.5778,0.0000,0.3051,0.1889,0.0000,0.2968,0.1206,0.0344,0.0013,0.0344
