PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,2.8096,2.0303,2.1703,2.1681,2.5000,1.0938,2.0000,2.0000
Caloocan,-,-,2.5852,1.8605,1.7886,1.7837,1.4497,1.5563,2.0000,2.0000
Manila,-,-,2.3715,2.0315,1.9314,1.9280,1.7879,1.6084,2.0000,2.0000
Pasay,-,-,2.7615,2.0624,2.0595,2.0584,1.7882,1.9449,2.0000,2.0000
Paranaque,-,-,2.5990,1.9160,1.8707,1.8020,1.7966,1.5107,2.0000,2.0000
Las Pinas,-,-,1.5944,1.6683,1.7361,1.6672,1.8047,1.4065,2.0000,2.0000
Valenzuela,-,-,2.9213,2.1097,2.0616,2.0715,1.7795,1.7188,2.0000,2.0000
Pasig,-,-,2.9108,2.1058,2.0725,2.0715,1.8047,1.7127,2.0000,2.0000
Taguig,-,-,2.0565,1.4806,1.2500,2.0830,1.8041,1.9578,2.0000,2.0000
Marikina,-,-,3.1296,2.3125,2.2881,2.2885,2.1484,1.9514,2.0000,2.0000
San Juan (MM),-,-,1.1870,1.4298,2.2049,2.1875,2.1519,1.3021,2.0000,1.0000
Mandaluyong,-,-,2.7796,1.7518,1.7361,2.0671,1.7925,1.5107,2.0000,2.0000
Makati,-,-,2.6689,1.8673,1.7882,2.0410,1.7622,2.0100,2.0000,2.0000
Noveleta,-,-,1.1111,2.2994,0.0000,2.3622,2.4035,2.1781,2.0000,1.5000
Rosario (CE),-,-,1.1111,2.2999,0.0000,2.4510,2.4079,1.8011,2.0000,2.0000
Naic,-,-,1.1111,1.6698,0.0000,1.6547,1.5746,1.5125,1.5000,1.5000
Amadeo,-,-,0.0000,1.3821,0.0000,1.5751,1.5239,1.5531,1.5000,2.0000
Indang,-,-,1.1111,2.0073,0.0000,2.4371,2.4079,2.4092,2.0000,1.5000
Kawit,-,-,0.0000,2.0234,0.0000,2.4371,2.4079,1.8293,2.0000,1.5000
Carmona,-,-,1.1111,2.2138,0.0000,2.4929,2.4904,2.1619,2.0000,2.0000
Silang,-,-,1.1111,1.4912,0.0000,2.3816,2.4079,2.1348,2.0000,2.0000
Tanza,-,-,0.0000,2.0073,0.0000,2.4649,2.4704,2.4431,2.0000,2.0000
Trece Martires,-,-,1.7399,1.9676,2.1032,2.1451,1.7361,2.3834,2.0000,2.0000
General Trias,-,-,0.0000,2.1775,1.8453,2.3066,2.1441,2.0774,2.0000,2.0000
Alfonso,-,-,0.0000,2.1248,0.0000,1.6543,1.5746,1.8181,1.0000,2.0000
Bacoor,-,-,2.9739,2.3125,2.2272,2.2910,2.1181,2.0709,2.0000,2.0000
Dasmarinas,-,-,2.9559,2.0891,1.9841,2.1451,1.8750,1.8326,2.0000,2.0000
Imus,-,-,2.9748,2.1654,2.2453,2.3051,2.1441,2.0861,2.0000,2.0000
Cavite,-,-,2.7963,2.3162,2.2359,2.2962,2.1267,1.4459,1.5000,2.0000
Tagaytay,-,-,2.7352,2.1778,2.0705,2.1395,1.8374,2.0870,2.0000,2.0000
Angono,-,-,1.1111,2.2945,0.0000,2.4935,2.4919,2.1633,2.0000,2.0000
Antipolo,-,-,2.8436,2.1609,1.9147,2.1034,1.8056,1.5956,2.0000,2.0000
Baras (RL),-,-,1.1111,2.3761,0.0000,2.4643,2.4935,1.8702,2.0000,2.0000
Binangonan,-,-,1.1111,2.2752,0.0000,2.4788,2.4808,2.1362,2.0000,2.0000
Cainta,-,-,1.1111,1.8389,0.0000,2.4833,2.4790,1.7585,2.0000,2.0000
Cardona,-,-,0.0000,2.3556,0.0000,2.4416,2.4932,2.1780,2.0000,2.0000
Jalajala,-,-,0.0000,1.3844,0.0000,2.2940,2.3572,2.1701,1.5000,1.5000
Morong (RL),-,-,0.0000,2.3020,0.0000,2.4909,2.4887,2.1405,2.0000,2.0000
Pililla,-,-,1.1111,2.2952,0.0000,2.4863,2.4811,1.8284,2.0000,2.0000
San Mateo (RL),-,-,1.1111,2.3008,0.0000,2.4898,2.4867,2.1398,2.0000,2.0000
Tanay,-,-,1.1111,2.1784,0.0000,2.4371,2.4079,1.4717,2.0000,2.0000
Taytay (RL),-,-,1.1111,2.2007,0.0000,2.4880,2.4846,1.5133,2.0000,2.0000
Teresa,-,-,0.0000,2.2665,0.0000,2.4840,2.4765,1.8215,1.5000,2.0000
