PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.6643,0.5231,0.6922,1.0893,0.5955,2.5000,0.9349,0.6429,0.8543
Caloocan,0.0000,0.4227,0.7730,0.8275,0.6131,0.5535,0.6610,0.5234,0.5308,0.4763
Manila,0.0000,1.2198,0.2968,0.4915,0.2917,0.3598,0.2116,1.0755,0.7045,0.5281
Pasay,0.3333,0.0000,0.3085,0.8686,0.6607,0.4293,0.8071,1.5104,0.7550,0.5114
Paranaque,0.0000,0.1449,0.0704,0.2941,0.1845,0.4630,0.3634,0.3984,0.4481,0.2614
Las Pinas,1.2143,0.5556,0.0000,1.0026,0.0595,0.1768,0.1522,0.1328,0.3042,0.2677
Valenzuela,0.1111,1.7874,1.8075,0.4671,1.1964,1.3973,1.5999,0.9427,0.9677,1.1805
Pasig,-,0.4227,0.3672,0.3609,1.3095,0.9933,0.1258,0.2839,0.7520,0.8802
Taguig,-,0.0000,0.3789,1.5300,0.6845,0.6397,0.0000,0.1198,0.1139,0.5549
Marikina,0.3889,0.6039,0.8082,0.3140,0.9524,0.4903,0.0000,0.4583,0.3695,0.1490
San Juan (MM),-,0.2778,0.7143,0.7288,0.1786,0.2189,0.1234,0.1719,0.1780,0.5248
Mandaluyong,0.2222,0.4227,0.3203,0.8343,1.0119,0.3893,0.2095,0.2135,0.1469,0.2701
Makati,0.2937,0.8816,1.9048,0.6955,0.5893,0.3977,0.4369,0.5026,0.4479,0.5342
Noveleta,-,0.0000,0.0877,0.0854,0.0000,0.4003,0.1589,0.0329,0.3519,0.3333
Rosario (CE),0.1515,0.3175,0.0505,0.1706,0.0000,0.1145,0.0525,0.0000,0.3458,0.2879
Naic,0.0000,0.3968,0.0000,0.1528,0.0000,0.2976,0.0046,0.0781,0.1538,0.3458
Amadeo,-,-,0.0000,0.4000,0.0000,0.1532,0.0040,0.0987,0.0000,0.0513
Indang,0.0000,0.0000,0.0000,0.1946,0.0000,0.0253,0.0249,0.0368,0.1538,0.0604
Kawit,0.0000,0.0000,0.0000,0.2107,0.0000,0.2679,0.0706,0.2188,0.3559,0.0000
Carmona,0.7576,0.5556,0.7431,0.2122,0.0000,1.1136,0.2823,0.3879,0.6544,1.0516
Silang,0.0000,0.6349,0.2525,0.4604,0.0000,0.1190,0.0195,0.0524,0.0095,0.1076
Tanza,0.0000,0.3175,0.6061,0.1945,0.0000,0.9172,0.1725,0.4632,0.1538,0.0312
Trece Martires,0.0000,0.0388,0.0463,0.2006,0.0255,0.1779,0.1967,0.0000,0.2967,0.2303
General Trias,0.6061,0.1587,0.2020,0.3188,0.1276,0.3335,0.2800,0.0509,0.1252,0.2723
Alfonso,0.0000,0.0000,0.0000,0.2041,0.0000,0.1145,0.0046,0.0551,0.0386,0.1471
Bacoor,0.3333,0.1163,0.6085,0.2718,0.2920,0.6657,0.3931,0.1717,0.1908,0.6129
Dasmarinas,0.0000,0.0000,0.0000,0.3567,0.2990,0.6583,0.0926,0.0677,0.2667,0.2428
Imus,0.0556,0.4651,1.3029,0.2300,0.5471,0.6693,0.4718,0.4396,0.3367,0.7224
Cavite,0.0000,0.0362,0.0000,0.5739,0.1205,0.0945,0.2381,0.0000,0.0989,0.1139
Tagaytay,0.0000,0.1550,0.3241,0.3562,0.3501,0.3757,0.2893,0.0320,0.1767,0.3867
Angono,0.0000,0.8730,0.9452,0.2197,0.0000,0.5788,0.3016,0.4136,0.6057,0.2306
Antipolo,0.1111,0.0775,0.4630,0.2907,1.4002,0.8870,1.0005,0.2778,0.3264,0.5814
Baras (RL),-,0.4167,0.1754,0.2274,0.0000,0.2124,0.1485,0.2209,0.2833,0.1847
Binangonan,0.0000,0.2381,0.3896,0.2570,0.0000,0.1696,0.0958,0.0156,0.1155,0.1034
Cainta,0.0000,0.1587,0.1515,0.2475,0.0000,0.4582,0.1952,0.3750,0.2798,0.2135
Cardona,-,0.0000,0.0000,0.2748,0.0000,0.0694,0.0027,0.0000,0.0000,0.2753
Jalajala,-,0.0000,0.1754,0.2179,0.0000,0.0490,0.0027,0.2878,0.0584,0.0833
Morong (RL),-,0.0000,0.0000,0.1907,0.0000,0.1443,0.0000,0.0156,0.2703,0.4369
Pililla,0.0000,0.0000,0.1515,0.1675,0.0000,0.2931,0.0479,0.1204,0.2316,0.1239
San Mateo (RL),0.3030,0.0794,0.1010,0.2327,0.0000,0.2210,0.0421,0.1232,0.5671,0.2221
Tanay,0.4545,0.0794,0.1010,0.1642,0.0000,0.2210,0.3081,0.1531,0.1924,0.1562
Taytay (RL),0.1515,0.0794,0.7937,0.1328,0.0000,0.5646,0.0884,0.1048,0.3363,0.2643
Teresa,0.0000,0.0000,0.2381,0.1889,0.0000,0.1741,0.0298,0.0156,0.0190,0.3471
