PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,2.7473,2.5000,1.2900,2.5000,2.5000,2.1921,0.6478,0.6199
Caloocan,-,-,0.0000,1.2792,1.5133,1.1695,1.7991,1.8377,1.8433,1.6520
Manila,-,-,3.3333,1.8287,1.4984,1.6359,2.5000,2.5000,1.2054,1.1669
Pasay,-,-,0.3820,0.5303,2.5000,0.5440,1.0963,1.1474,1.4379,1.7370
Paranaque,-,-,1.0838,0.5956,1.4663,0.5291,0.8344,0.8306,1.0081,0.2442
Las Pinas,-,-,0.0000,0.5033,1.1375,0.0000,0.5070,0.7192,0.8584,0.9260
Valenzuela,-,-,0.0751,0.0370,0.0000,0.5166,0.7956,0.7766,1.7443,1.4682
Pasig,-,-,1.4968,0.8123,1.5317,0.6578,1.0436,1.0558,1.1500,1.1898
Taguig,-,-,0.0000,0.0000,1.2712,0.5550,0.8606,0.0000,1.0175,0.4868
Marikina,-,-,0.0067,0.4346,0.8145,0.3958,0.6126,0.4915,1.8546,1.3605
San Juan (MM),-,-,0.0000,0.0730,1.7255,0.0396,0.0574,0.0302,1.0906,0.0067
Mandaluyong,-,-,0.4311,0.1067,0.8697,0.2777,0.4296,0.4158,1.2010,0.0000
Makati,-,-,0.0423,0.6966,1.9609,0.6131,0.9511,0.5459,1.0975,0.6043
Noveleta,-,-,0.1281,1.1944,0.0000,1.3790,2.0783,0.2208,0.6971,0.1079
Rosario (CE),-,-,0.7632,0.6083,0.0000,1.1501,1.0482,0.8445,0.0009,1.0440
Naic,-,-,0.5656,0.4332,0.0000,0.6891,0.9190,0.0034,0.0008,0.9099
Amadeo,-,-,0.1008,0.8976,0.0000,1.4359,1.5378,0.1596,1.0335,0.1936
Indang,-,-,0.3867,0.3005,0.0000,0.4745,0.5673,0.0049,0.0010,0.9621
Kawit,-,-,0.4793,0.3600,0.0000,0.5965,0.6798,0.5927,0.0005,0.1050
Carmona,-,-,0.5312,0.4340,0.0000,0.7893,0.8130,0.6796,0.0011,1.0614
Silang,-,-,1.2210,0.9911,0.0000,1.7267,2.0363,1.6106,0.0008,0.8321
Tanza,-,-,1.1399,0.9471,0.0000,0.0063,1.9725,1.6176,0.0009,0.5781
Trece Martires,-,-,0.1786,0.2834,1.0358,0.4448,0.5242,0.5211,0.0000,0.0330
General Trias,-,-,1.3860,0.6629,1.2610,0.5861,1.1824,1.1658,0.3871,0.2751
Alfonso,-,-,0.3018,0.2264,0.0000,0.3502,0.4417,0.0251,0.0010,1.1911
Bacoor,-,-,0.8518,1.3662,1.2409,2.0711,2.2710,2.2371,0.3810,0.3311
Dasmarinas,-,-,0.8643,1.4237,1.2527,2.5000,2.2660,2.2979,0.4093,0.3115
Imus,-,-,0.5830,0.9839,1.4222,1.7424,1.5901,1.5725,0.4575,0.3545
Cavite,-,-,0.1059,0.2691,1.4685,0.4126,2.0535,0.3752,0.7704,0.4065
Tagaytay,-,-,0.0974,0.1516,1.0494,0.2023,0.2314,0.1219,2.0000,0.5013
Angono,-,-,1.0657,0.8130,0.0000,0.7509,0.6259,0.7576,0.0018,1.6177
Antipolo,-,-,0.0000,2.5000,1.0446,2.2640,2.5000,2.5000,0.7966,0.4441
Baras (RL),-,-,0.1500,1.4543,0.0000,1.1981,1.0449,0.2474,0.7667,0.2018
Binangonan,-,-,2.1090,1.6288,0.0000,1.5111,1.5737,0.0486,0.0008,0.8085
Cainta,-,-,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,0.0009,1.0561
Cardona,-,-,0.2062,1.9053,0.0000,1.4639,1.2767,0.2510,0.9877,0.2083
Jalajala,-,-,0.1218,1.1385,0.0000,0.7640,1.0273,0.1428,1.2652,0.2020
Morong (RL),-,-,0.5092,0.3962,0.0000,0.3139,0.3153,0.3374,0.0013,1.1818
Pililla,-,-,0.4904,0.3589,0.0000,0.3012,0.3026,0.3033,0.0009,0.7216
San Mateo (RL),-,-,1.9326,1.4915,0.0000,1.4013,1.8267,2.0355,0.0009,0.8121
Tanay,-,-,0.8478,0.6717,0.0000,0.5433,0.5446,0.5155,0.0011,1.1389
Taytay (RL),-,-,2.8021,2.1771,0.0000,2.0408,2.0411,1.0205,0.0009,1.0297
Teresa,-,-,0.5076,0.3948,0.0000,0.3256,0.3271,0.3390,0.0012,0.9918
