PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),3.0251,2.2073,3.0282,2.0300,1.7808,1.7108,2.5000,1.4341,1.1092,1.1490
Caloocan,0.0000,0.7797,1.2274,0.8150,0.8389,0.7384,0.8077,0.5973,0.4618,0.5087
Manila,1.4448,0.7376,1.7729,1.8536,2.1023,1.7458,1.7348,1.4565,1.2337,1.1265
Pasay,0.4893,0.3542,0.3616,0.4360,0.3779,0.5607,0.6017,0.6875,0.5548,0.5821
Paranaque,0.4270,0.4832,0.7040,0.8267,0.6734,0.3541,0.4672,0.2383,0.2345,0.2492
Las Pinas,0.0000,0.0000,0.7660,0.3782,0.4859,0.3160,0.3757,0.1528,0.1678,0.1795
Valenzuela,0.7521,0.4474,0.7511,0.5553,0.5394,0.6350,0.5116,0.3885,0.2191,0.2094
Pasig,-,0.2933,1.2686,0.7870,0.5728,0.5198,0.5420,0.3793,0.3288,0.3394
Taguig,-,0.0371,0.9140,0.6200,0.8760,0.5496,0.6030,0.4971,0.5238,0.5668
Marikina,0.5854,0.3719,0.5186,0.3814,0.3227,0.2520,0.2830,0.1772,0.1746,0.1483
San Juan (MM),-,0.0000,0.1168,0.0784,0.0440,0.0243,0.0657,0.0843,0.0241,0.0119
Mandaluyong,0.4044,0.1988,0.3900,0.2469,0.2617,0.1925,0.2207,0.1896,0.1443,0.1485
Makati,0.4919,0.2952,0.4790,0.3039,0.2502,0.2385,0.2990,0.2567,0.1721,0.1526
Noveleta,-,0.8957,0.4836,0.3088,0.0000,0.3337,0.1066,0.2192,0.0388,0.1380
Rosario (CE),0.2479,0.5976,0.1890,0.1096,0.0000,0.2061,0.1641,0.1752,0.1748,0.1526
Naic,0.5294,1.0127,0.2618,0.2313,0.0000,0.1304,0.2622,0.1039,0.1739,0.1296
Amadeo,-,-,0.0926,0.1785,0.0000,0.0618,0.0612,0.1476,0.0653,0.1447
Indang,0.3984,0.8225,0.2015,0.1574,0.0000,0.0778,0.0668,0.0404,0.0229,0.1382
Kawit,0.3986,0.8837,0.2375,0.1134,0.0000,0.0600,0.0545,0.0301,0.0367,0.0391
Carmona,0.3164,0.9498,0.1878,0.1383,0.0000,0.0622,0.1746,0.2099,0.3071,0.2321
Silang,1.9107,2.5962,0.6719,0.6797,0.0000,0.2622,0.2176,0.1566,0.5599,0.4588
Tanza,0.9451,0.8240,0.2462,0.3760,0.0000,0.1445,0.3608,0.4092,0.3505,0.2789
Trece Martires,0.3210,0.4194,0.3004,0.2820,0.3140,0.3135,0.1696,0.2027,0.2302,0.1956
General Trias,1.6325,1.5400,0.4099,0.5184,0.4945,0.3428,0.2526,0.3547,0.2255,0.2142
Alfonso,0.3884,0.5270,0.1005,0.1069,0.0000,0.0714,0.1122,0.1255,0.0793,0.0769
Bacoor,0.4266,1.3032,1.3080,1.3368,1.4274,0.7684,0.8436,0.6363,0.6401,0.5932
Dasmarinas,0.8412,1.8583,1.8302,1.3999,1.3782,1.1506,0.8507,0.9815,0.9737,0.8351
Imus,0.0000,1.5640,1.1184,1.2205,1.0210,0.6695,0.5875,0.5505,0.3954,0.3471
Cavite,0.1055,0.0412,0.1386,0.1658,0.1127,0.1740,0.1122,0.1791,0.1233,0.0991
Tagaytay,0.1771,0.7582,0.4653,0.1948,0.2534,0.1778,0.1140,0.1355,0.1261,0.1052
Angono,0.3835,0.5861,0.2151,0.3607,0.0000,0.2839,0.2416,0.1882,0.1560,0.1439
Antipolo,0.9978,1.5893,1.4117,1.8693,1.9653,1.4403,1.1151,1.2955,1.2088,1.1394
Baras (RL),-,0.2528,0.1372,0.2130,0.0000,0.1811,0.1564,0.0782,0.0789,0.0907
Binangonan,0.8411,1.2813,0.3844,0.5880,0.0000,0.3142,0.2690,0.2648,0.2801,0.2194
Cainta,0.8732,1.5150,1.3142,1.2425,0.0000,0.3449,0.6020,0.4166,0.5884,0.5207
Cardona,-,1.0249,0.6038,0.3779,0.0000,0.2337,0.0970,0.0356,0.2020,0.2531
Jalajala,-,0.8218,0.4041,0.3479,0.0000,0.1789,0.0985,0.1402,0.1419,0.2629
Morong (RL),-,0.3655,0.1038,0.1613,0.0000,0.0783,0.1721,0.2319,0.1996,0.1290
Pililla,0.1869,0.3054,0.1016,0.1211,0.0000,0.0723,0.1375,0.0410,0.0910,0.0786
San Mateo (RL),0.6817,0.9622,0.3389,0.6195,0.0000,0.1440,0.3965,0.4141,0.4050,0.3554
Tanay,0.4536,0.4491,0.1164,0.2439,0.0000,0.2064,0.1661,0.0895,0.2310,0.3146
Taytay (RL),0.6147,1.2569,0.5122,0.6890,0.0000,0.2270,0.2183,0.1080,0.3087,0.6971
Teresa,0.1899,0.3025,0.1021,0.1243,0.0000,0.0592,0.0499,0.0311,0.0274,0.0489
