PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),2.9611,2.6819,2.6739,1.9998,0.4874,1.9436,2.5000,1.2077,1.1003,1.1322
Caloocan,0.1936,0.2223,0.4958,0.6104,0.1679,0.3600,0.4511,0.3170,0.3852,0.4324
Manila,0.3053,2.2532,2.5510,1.9483,0.8015,1.0826,1.5063,1.1948,1.2443,1.0960
Pasay,0.2977,0.3480,0.2436,0.6069,1.2018,0.7587,0.8518,0.7790,0.6406,0.6383
Paranaque,0.8131,0.7889,0.9231,0.2572,0.2699,0.2933,0.3768,0.3002,0.1274,0.2242
Las Pinas,0.0000,0.0000,0.4071,0.2444,0.2610,0.0682,0.1676,0.0974,0.1120,0.1179
Valenzuela,0.4968,0.5078,0.4696,0.2942,0.2186,0.5211,0.7690,0.6985,0.5549,0.5554
Pasig,-,0.4001,0.5613,0.5076,0.4684,0.3354,0.4354,0.6691,0.3282,0.3901
Taguig,-,0.0000,0.9426,1.0409,1.0079,0.6319,0.7120,0.6285,0.7442,0.3126
Marikina,0.5436,0.5117,0.6457,0.4006,0.6247,0.1955,0.2766,0.2117,0.1834,0.1742
San Juan (MM),-,0.3824,0.4059,0.2300,1.4398,0.0700,0.0862,0.0577,0.0519,0.0648
Mandaluyong,0.3052,0.9180,0.8868,0.6756,1.0967,0.3876,0.3129,0.3137,0.2840,0.2013
Makati,0.7157,0.5810,0.8286,0.6226,0.7086,0.3295,0.4160,0.3275,0.3277,0.3462
Noveleta,-,1.1562,1.0747,0.7414,0.0000,0.2877,0.2761,0.2073,0.3490,0.3530
Rosario (CE),0.0000,0.3857,0.5382,0.3539,0.0000,0.1883,0.2002,0.2667,0.1591,0.1693
Naic,0.2982,0.2033,0.5618,0.2770,0.0000,0.1652,0.1792,0.2314,0.1919,0.0667
Amadeo,-,-,0.6185,0.5312,0.0000,0.1148,0.1360,0.1260,0.0983,0.1154
Indang,0.0000,0.0230,0.4561,0.1327,0.0000,0.0721,0.1692,0.0782,0.0447,0.0538
Kawit,0.1455,0.2229,0.4398,0.4145,0.0000,0.3196,0.3773,0.3134,0.3370,0.1637
Carmona,0.1637,0.2865,0.3441,0.3555,0.0000,0.3497,0.3818,0.3954,0.3278,0.2327
Silang,0.2500,0.2107,1.0546,0.9636,0.0000,0.4387,0.5303,0.8576,0.4808,0.3660
Tanza,0.0119,0.3004,0.7213,0.4704,0.0000,0.2158,0.2528,0.2781,0.3660,0.2884
Trece Martires,0.0815,0.8119,0.4130,0.5757,0.3407,0.2477,0.2737,0.2809,0.1844,0.1700
General Trias,0.2488,0.5407,1.2659,0.6360,0.2369,0.2953,0.3547,0.4002,0.2967,0.2428
Alfonso,0.1060,0.0683,0.4010,0.3214,0.0000,0.1557,0.1845,0.2510,0.0782,0.1170
Bacoor,0.1802,1.7216,1.1157,1.1532,0.2326,0.9389,0.6756,0.6430,0.4983,0.2126
Dasmarinas,0.2173,1.6974,1.3871,1.4428,0.2680,0.9189,0.7123,0.8752,0.4838,0.6206
Imus,0.1329,1.2475,0.6715,1.0045,0.2306,0.5411,0.4661,0.4627,0.3945,0.3681
Cavite,0.0000,0.1094,0.1020,0.4219,0.3203,0.2342,0.2444,0.2019,0.1193,0.1484
Tagaytay,0.0308,0.2672,0.4175,0.2498,0.7441,0.1740,0.1718,0.1727,0.1099,0.1043
Angono,0.5958,0.5597,0.6009,1.1173,0.0000,0.5924,0.6093,0.7980,0.6145,0.4189
Antipolo,0.0523,1.1167,0.7124,1.3162,0.1525,1.0721,0.9225,0.9075,0.5976,0.5266
Baras (RL),-,0.2858,0.4420,0.2826,0.0000,0.0891,0.0783,0.0693,0.1858,0.1886
Binangonan,0.0000,0.3659,0.8209,0.6510,0.0000,0.4099,0.4801,0.5855,0.4245,0.4225
Cainta,0.0000,0.2200,1.5560,1.5691,0.0000,0.5971,0.8911,0.9862,0.7948,0.6037
Cardona,-,0.9929,1.0910,0.8395,0.0000,0.1936,0.2272,0.2128,0.2535,0.2743
Jalajala,-,0.3188,0.3403,0.3270,0.0000,0.1472,0.1603,0.1473,0.1616,0.2009
Morong (RL),-,0.8122,0.7368,0.5193,0.0000,0.2471,0.3135,0.4174,0.3688,0.2534
Pililla,0.0720,0.0621,0.1754,0.1308,0.0000,0.0530,0.0574,0.1208,0.1195,0.0471
San Mateo (RL),0.7436,0.7622,0.6847,0.6171,0.0000,0.4375,0.5996,1.0071,0.8277,0.5952
Tanay,0.4408,0.5243,0.8577,0.5825,0.0000,0.2334,0.2900,0.4064,0.3411,0.2368
Taytay (RL),0.8548,0.4916,1.2225,1.0619,0.0000,0.6150,0.6335,0.8720,0.6993,0.5144
Teresa,0.1723,0.1235,0.1944,0.1561,0.0000,0.1105,0.1248,0.1639,0.1105,0.0728
