PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.0000,0.5417,0.6944,1.2519,1.3697,2.5000,0.1077,1.0904,1.1992
Caloocan,0.0000,0.1200,1.2937,0.5278,0.4418,0.4757,0.4151,0.0846,0.7032,0.2311
Manila,0.0000,2.3810,0.6806,0.7778,0.7025,0.6715,0.4828,2.5000,1.2656,0.1345
Pasay,0.0609,0.4646,2.3333,1.8333,1.7947,1.8268,1.8692,0.5692,2.0000,2.0000
Paranaque,0.2769,0.3781,1.5556,1.4444,0.8749,1.3398,0.9829,0.2154,0.0203,0.0615
Las Pinas,0.0000,0.0000,0.6786,0.2222,0.2972,0.2597,0.2932,0.0538,0.0000,0.0642
Valenzuela,0.8168,0.2652,1.1290,0.3889,0.5016,0.4906,0.4668,0.1000,0.1413,0.1531
Pasig,-,0.0181,1.9841,1.0278,1.0316,1.3899,0.9768,0.2615,0.3379,0.3342
Taguig,-,0.1155,1.2183,0.5000,0.5064,0.5396,0.4689,0.1077,0.0055,0.0088
Marikina,3.3333,0.1858,0.4980,0.1389,0.3396,0.1926,0.2641,0.0615,0.1873,0.1987
San Juan (MM),-,0.0000,0.0000,0.3889,0.2090,0.2128,0.1544,0.0000,0.0318,0.0296
Mandaluyong,0.1547,0.2516,0.7421,0.3056,0.3569,0.2671,0.4030,0.0231,0.0022,0.0176
Makati,0.6774,0.0136,0.9425,0.3333,0.4639,0.8225,0.8419,0.5154,2.0000,0.8386
Noveleta,-,1.0321,1.0688,1.0218,0.0000,0.6860,0.9306,0.3261,0.3043,0.4000
Rosario (CE),0.0000,0.5103,0.5894,0.2378,0.0000,0.2748,0.3158,0.4091,0.0793,0.1233
Naic,0.0000,0.4525,0.4638,0.5717,0.0000,0.4904,0.4382,0.5909,0.3260,0.3260
Amadeo,-,-,1.4497,0.1786,0.0000,0.2264,0.3611,0.3804,0.9565,1.0667
Indang,0.0000,0.3595,0.7005,0.3931,0.0000,0.4136,0.3737,0.5000,0.1850,0.2291
Kawit,0.0000,0.5304,0.7005,0.6180,0.0000,0.2471,0.3208,0.2273,0.1410,0.1762
Carmona,0.4501,0.6360,0.7005,0.4725,0.0000,0.4221,0.6267,0.8182,0.1586,0.1938
Silang,0.1883,0.9628,1.5121,0.8655,0.0000,0.1703,0.4365,0.3182,0.5639,0.5551
Tanza,0.3908,0.4977,1.0193,0.5714,0.0000,0.4007,0.4150,0.5455,0.2555,0.2555
Trece Martires,0.0000,1.4506,1.0045,0.4365,0.3234,0.2957,0.5065,1.7708,0.1053,0.1353
General Trias,3.2602,0.6812,1.0193,0.5605,0.5924,0.1875,0.3427,0.5208,0.6165,0.6316
Alfonso,0.7121,0.4776,0.7488,0.4293,0.0000,0.2387,0.2993,0.5455,0.1145,0.2907
Bacoor,0.5577,1.1651,1.7410,1.0183,0.6890,0.9664,1.0205,1.0417,0.4060,0.1955
Dasmarinas,2.2480,0.5787,0.9891,0.4568,0.3443,0.3374,0.4459,1.4583,0.6566,0.6566
Imus,0.3387,0.8565,1.4155,0.7271,0.6681,0.4748,0.5945,1.3542,0.4010,0.5815
Cavite,0.5217,0.0136,0.5675,0.4568,0.3443,0.2124,0.3549,0.7292,0.0602,0.0652
Tagaytay,0.0000,0.6713,0.9891,0.4568,0.4200,0.4207,0.5216,0.9375,0.1955,0.1955
Angono,0.3902,1.6239,2.1643,1.3414,0.0000,1.0436,1.2186,0.8636,0.2643,0.5903
Antipolo,0.4930,2.5154,2.3218,1.3725,0.5715,1.3206,1.3189,2.5000,0.3810,1.1278
Baras (RL),-,1.5684,1.8042,0.8829,0.0000,0.5291,0.8287,0.3261,0.6522,0.6667
Binangonan,0.0000,0.5631,0.8599,0.4624,0.0000,0.3276,0.4845,0.5909,0.6872,0.7137
Cainta,0.0000,0.7994,1.1787,0.6873,0.0000,0.3554,0.5142,0.6364,0.1410,0.2026
Cardona,-,1.2051,1.5608,0.8135,0.0000,0.3194,0.5139,0.4348,0.6087,0.6222
Jalajala,-,0.6709,1.0688,0.6349,0.0000,0.4027,0.7222,0.3261,0.2609,0.3111
Morong (RL),-,0.7919,0.8116,0.8425,0.0000,0.5598,0.6994,0.4091,0.3260,0.2907
Pililla,0.4724,0.7592,1.1787,0.6671,0.0000,0.4775,0.4448,0.5909,0.2907,0.3260
San Mateo (RL),0.2805,0.6486,0.9710,0.5219,0.0000,0.6495,0.7226,0.9545,0.2203,0.4670
Tanay,0.5320,0.5958,0.9227,0.6277,0.0000,0.5542,0.5903,0.3636,0.4670,0.4670
Taytay (RL),0.3136,1.5686,1.2754,1.5994,0.0000,1.0585,1.5575,1.8182,0.5022,0.5286
Teresa,0.1705,0.7667,1.3043,0.6145,0.0000,0.4876,0.5473,0.7273,0.1938,0.1938
