PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.0000,1.4065,0.9236,2.3523,2.2570,2.5000,2.4003,0.2492,2.0000
Caloocan,0.0000,3.3333,0.2624,1.3112,0.6427,0.3816,0.5205,0.3053,0.3785,0.4638
Manila,0.0000,0.9642,0.7621,0.4926,1.0916,0.9268,2.3299,1.1712,1.0142,0.5629
Pasay,1.9136,0.9849,0.6304,0.9639,0.0000,0.4139,0.9305,0.8189,0.4297,0.7744
Paranaque,1.5370,0.8009,0.3918,1.5119,1.0990,0.5375,0.7559,0.8712,0.4551,0.3405
Las Pinas,0.0000,0.0000,3.3333,0.6207,0.7886,0.1993,0.3864,0.1697,0.1587,0.9042
Valenzuela,1.1605,2.1438,1.4422,0.4933,1.6891,0.2793,0.2787,0.8279,0.4283,0.3713
Pasig,-,1.3475,1.1236,0.6962,1.7730,1.0207,1.1402,0.8171,0.4559,0.2840
Taguig,-,0.0000,0.1057,0.0000,0.0392,0.6982,0.0000,0.6873,0.2038,0.1646
Marikina,0.8889,0.4492,0.0761,0.2262,0.6057,0.5335,0.0000,0.1115,0.2550,0.3861
San Juan (MM),-,0.3249,0.0000,0.8233,0.0000,0.0623,0.0964,0.0794,0.0113,0.1355
Mandaluyong,0.8858,0.4863,0.3585,0.4846,0.9031,0.3327,0.4119,0.4402,0.2688,0.3231
Makati,0.5988,0.0000,0.5256,0.0524,1.4889,1.8655,2.3114,1.5117,0.2586,0.1121
Noveleta,-,0.1037,0.1769,0.0530,0.0000,0.0911,0.0723,0.1462,0.0001,0.0287
Rosario (CE),1.2654,0.2652,0.0541,0.1451,0.0000,0.7667,0.3442,0.0291,0.0003,0.0013
Naic,0.5015,0.0000,3.1367,0.3740,0.0000,0.4231,0.2323,0.0229,0.0007,0.0018
Amadeo,-,-,0.5538,0.0775,0.0000,0.0814,0.0607,0.1202,0.0002,0.0213
Indang,0.0000,0.4408,0.2639,0.0000,0.0000,0.2235,0.1019,0.0126,0.0006,0.0017
Kawit,0.8256,0.6959,0.9223,0.3462,0.0000,0.4196,0.2211,0.0181,0.0005,0.0012
Carmona,1.3194,0.5346,0.6316,0.3832,0.0000,1.2908,0.8979,0.1963,0.0007,0.0016
Silang,1.7052,0.5988,0.3688,0.2398,0.0000,0.8959,0.4332,0.0415,0.0008,0.0018
Tanza,0.0000,0.5408,0.4490,0.3262,0.0000,0.6756,0.3853,0.0450,0.0008,0.0013
Trece Martires,0.6265,0.4250,0.4065,0.3405,1.1427,0.2758,0.2941,0.0452,0.0014,0.1586
General Trias,1.2114,0.3824,0.6053,0.7848,2.5000,0.8497,1.2463,0.3283,0.0036,1.2388
Alfonso,0.9568,0.1437,0.3447,0.3195,0.0000,0.2082,0.1235,0.0129,0.0007,0.0019
Bacoor,1.2315,1.4027,0.7942,0.3710,1.0274,1.8581,1.5127,0.6055,0.0040,0.1612
Dasmarinas,0.3704,0.0000,0.6434,0.4822,0.1891,0.9083,0.9135,0.4652,0.0013,1.4957
Imus,0.8858,0.3394,0.5226,0.4795,0.5561,0.9487,1.8272,0.1074,0.0013,0.1396
Cavite,0.5370,0.7973,0.3289,0.3919,1.0056,0.1889,0.1574,0.0484,0.0012,0.2174
Tagaytay,0.7377,0.2988,0.2976,0.3198,0.6199,0.4646,0.4371,0.0739,0.0020,0.2361
Angono,1.2731,0.4288,0.7890,0.8724,0.0000,0.6915,0.3906,0.0326,0.0018,0.0080
Antipolo,1.0216,0.4557,0.8535,0.4922,0.5415,2.5000,2.5000,1.2561,0.0061,1.3897
Baras (RL),-,0.1456,0.1857,0.0348,0.0000,0.1247,0.0831,0.1864,0.0001,0.0695
Binangonan,0.0000,0.6778,1.1928,1.0906,0.0000,1.3838,0.9409,0.1686,0.0013,0.0095
Cainta,1.4660,0.3189,0.3287,0.2727,0.0000,1.5542,0.5209,0.0390,0.0001,0.0008
Cardona,-,0.2556,1.4607,0.0690,0.0000,0.0914,0.0736,0.1230,0.0003,0.0427
Jalajala,-,0.0000,0.5598,0.0971,0.0000,0.4272,0.0529,0.1011,0.0002,0.0254
Morong (RL),-,0.4943,0.4797,0.5211,0.0000,0.2154,0.1245,0.0196,0.0007,0.0017
Pililla,1.3426,0.7406,0.6948,0.2708,0.0000,0.3116,0.1208,0.0709,0.0009,0.0016
San Mateo (RL),0.9568,0.2444,0.7010,0.1074,0.0000,1.6075,0.6049,0.1279,0.0028,0.0094
Tanay,1.2114,0.4452,0.2333,0.4360,0.0000,0.5039,0.2852,0.0330,0.0006,0.0019
Taytay (RL),1.2731,0.3319,0.5528,0.4335,0.0000,1.2380,0.6624,0.0672,0.0007,0.0016
Teresa,0.8796,0.3779,0.3891,0.3168,0.0000,0.2525,0.1211,0.0105,0.0004,0.0012
