PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),1.7515,0.0153,1.6103,0.1384,0.2603,0.5728,2.5000,0.4886,0.0286,0.4670
Caloocan,2.8347,0.0252,2.4642,0.2203,0.4094,0.2968,0.2302,0.2107,0.0451,0.6273
Manila,1.7709,0.0250,0.0000,0.1516,0.1797,0.1326,0.5458,0.0679,0.0257,0.3522
Pasay,1.1222,0.0097,1.2992,0.0845,0.2209,0.0575,0.0373,0.0352,0.0245,0.3351
Paranaque,1.1285,0.0040,0.8893,0.0158,0.0548,0.0484,0.0649,0.0521,0.0130,0.1531
Las Pinas,0.0000,3.3333,3.3333,2.5000,0.5212,0.0271,0.0466,0.0347,0.0087,0.1654
Valenzuela,0.9228,0.0080,0.7929,0.0736,0.1366,0.0999,0.0660,0.0646,0.0173,0.1895
Pasig,-,0.0131,0.8379,0.1035,0.1921,0.0891,0.0803,0.0687,0.0204,0.2780
Taguig,-,0.0000,0.1273,0.0099,0.0858,0.0707,0.0653,0.0670,0.0081,0.1028
Marikina,2.5810,0.0194,2.4553,0.1676,0.3168,0.0870,0.0564,0.0541,0.0293,0.5477
San Juan (MM),-,0.0204,2.0496,0.1757,0.3264,0.1180,0.0340,0.0217,0.0332,0.4664
Mandaluyong,0.8966,0.0099,0.9865,0.0708,0.1314,0.0188,0.0195,0.0144,0.0145,0.1937
Makati,1.5962,0.0139,1.7908,0.1208,0.2257,0.0792,0.0825,0.0738,0.0260,0.4809
Noveleta,-,0.0001,0.0028,0.0010,0.0000,0.0069,0.0001,0.0032,0.0007,0.0001
Rosario (CE),0.0380,0.0006,0.0008,0.0003,0.0000,0.0128,0.0001,0.0258,0.0000,0.0014
Naic,0.0000,0.0010,0.0011,0.0007,0.0000,0.0110,0.0001,0.0192,0.0006,0.0006
Amadeo,-,-,0.0061,0.0013,0.0000,0.0200,0.0007,0.0198,0.0020,0.0001
Indang,0.0000,0.0017,0.0030,1.8241,0.0000,0.0124,0.0005,0.0200,0.0008,0.0009
Kawit,0.0163,0.0026,0.0027,0.0019,0.0000,0.0032,0.0001,0.0048,0.0000,0.0025
Carmona,0.0174,0.0066,0.0057,0.0034,0.0000,0.0062,0.0004,0.0066,0.0037,0.0038
Silang,0.0098,0.0017,0.0015,0.0432,0.0000,0.0209,0.0003,0.0354,0.0008,0.0010
Tanza,0.0000,0.0029,0.0018,0.0013,0.0000,0.0120,0.0004,0.0176,0.0007,0.0007
Trece Martires,0.2186,0.0019,1.0512,0.0194,0.2139,0.0103,0.0112,0.0065,0.2177,0.0006
General Trias,0.0097,0.0027,0.0035,0.0099,0.2495,0.0469,0.0273,0.0280,0.0338,0.0074
Alfonso,0.0121,0.0030,0.0032,0.0022,0.0000,0.0119,0.0010,0.0157,0.0021,0.0022
Bacoor,0.5325,0.0016,0.6575,0.0135,0.5367,0.0278,0.0243,0.0093,0.0092,0.0015
Dasmarinas,0.0000,0.0022,0.5510,0.0018,0.2414,0.0522,0.0253,0.0366,0.0398,0.0087
Imus,0.1616,0.0007,0.2039,0.0223,0.7819,0.1599,0.1554,0.0555,0.3675,0.0012
Cavite,0.0000,0.0080,0.7709,0.0455,1.4439,0.0102,0.0143,0.5004,0.0028,0.0036
Tagaytay,0.2560,0.0026,0.7131,0.0142,0.4612,0.0370,0.0283,0.0189,0.0006,0.0001
Angono,0.0123,0.0031,0.0033,0.0022,0.0000,0.0050,0.0001,0.0055,0.0039,0.0041
Antipolo,0.0000,0.0007,0.2574,2.5000,1.1409,0.5238,0.5564,0.1508,0.0168,0.0037
Baras (RL),-,0.0001,0.0032,0.0012,0.0000,0.0466,0.0005,0.0384,0.0008,0.0000
Binangonan,0.0095,0.0013,0.0012,0.0004,0.0000,0.0103,0.0002,0.0162,0.0009,0.0018
Cainta,0.0000,0.0016,0.0464,0.0006,0.0000,0.0131,0.0003,0.0095,0.0073,0.0079
Cardona,-,0.0003,0.0060,0.0018,0.0000,0.0142,0.0003,0.0111,0.0017,0.0001
Jalajala,-,0.0000,0.0046,0.0015,0.0000,0.0234,0.0004,0.0203,0.0012,0.0001
Morong (RL),-,0.0005,0.0005,0.0022,0.0000,0.0057,0.0003,0.0082,0.0012,0.0013
Pililla,0.0116,0.0031,0.0040,0.0023,0.0000,0.0109,0.0005,0.0156,0.0010,0.0011
San Mateo (RL),0.0000,0.0033,0.0029,0.0071,0.0000,0.0082,0.0002,0.0711,0.0002,0.0002
Tanay,0.0062,0.0020,0.0022,0.0014,0.0000,0.0300,0.0011,0.0764,0.0003,0.0004
Taytay (RL),0.0233,0.0059,0.0105,0.0008,0.0000,0.0082,0.0006,0.0085,0.0029,0.0031
Teresa,0.0109,0.0031,0.0033,0.0017,0.0000,0.0026,0.0001,0.0038,0.0016,0.0015
