PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,0.2273,0.1819
Caloocan,-,-,-,-,-,-,-,-,0.0241,0.1586
Manila,-,-,-,-,-,-,-,-,0.0003,0.2223
Pasay,-,-,-,-,-,-,-,-,0.2126,1.0535
Paranaque,-,-,-,-,-,-,-,-,0.0400,0.1847
Las Pinas,-,-,-,-,-,-,-,-,0.0000,0.0675
Valenzuela,-,-,-,-,-,-,-,-,0.0291,0.0506
Pasig,-,-,-,-,-,-,-,-,0.0000,0.2527
Taguig,-,-,-,-,-,-,-,-,0.0918,0.0000
Marikina,-,-,-,-,-,-,-,-,0.0000,0.1368
San Juan (MM),-,-,-,-,-,-,-,-,0.0000,0.0072
Mandaluyong,-,-,-,-,-,-,-,-,0.4554,0.1221
Makati,-,-,-,-,-,-,-,-,0.0234,0.0813
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.0000
Rosario (CE),-,-,-,-,-,-,-,-,0.0340,0.7132
Naic,-,-,-,-,-,-,-,-,0.0000,0.0000
Amadeo,-,-,-,-,-,-,-,-,0.0000,0.0000
Indang,-,-,-,-,-,-,-,-,0.0000,0.5463
Kawit,-,-,-,-,-,-,-,-,0.0450,0.7855
Carmona,-,-,-,-,-,-,-,-,0.0251,0.4396
Silang,-,-,-,-,-,-,-,-,0.0000,0.3014
Tanza,-,-,-,-,-,-,-,-,0.0330,0.5887
Trece Martires,-,-,-,-,-,-,-,-,0.3216,0.3004
General Trias,-,-,-,-,-,-,-,-,0.3941,0.2423
Alfonso,-,-,-,-,-,-,-,-,0.0437,0.7541
Bacoor,-,-,-,-,-,-,-,-,0.0000,0.1514
Dasmarinas,-,-,-,-,-,-,-,-,0.9353,0.9507
Imus,-,-,-,-,-,-,-,-,0.2545,0.2715
Cavite,-,-,-,-,-,-,-,-,0.7569,0.7168
Tagaytay,-,-,-,-,-,-,-,-,0.6377,0.5201
Angono,-,-,-,-,-,-,-,-,0.0211,0.5069
Antipolo,-,-,-,-,-,-,-,-,0.1953,0.1815
Baras (RL),-,-,-,-,-,-,-,-,0.1238,0.6652
Binangonan,-,-,-,-,-,-,-,-,0.0204,0.3427
Cainta,-,-,-,-,-,-,-,-,0.0354,0.6561
Cardona,-,-,-,-,-,-,-,-,0.0133,0.0992
Jalajala,-,-,-,-,-,-,-,-,0.0269,0.1243
Morong (RL),-,-,-,-,-,-,-,-,0.0204,0.3663
Pililla,-,-,-,-,-,-,-,-,0.0205,0.3717
San Mateo (RL),-,-,-,-,-,-,-,-,0.0281,0.4484
Tanay,-,-,-,-,-,-,-,-,0.0103,0.2780
Taytay (RL),-,-,-,-,-,-,-,-,0.0193,0.3719
Teresa,-,-,-,-,-,-,-,-,0.0319,0.5347
