PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,1.9550,1.6708
Caloocan,-,-,-,-,-,-,-,-,0.2383,0.2424
Manila,-,-,-,-,-,-,-,-,1.1301,1.2402
Pasay,-,-,-,-,-,-,-,-,0.2152,0.4315
Paranaque,-,-,-,-,-,-,-,-,0.0000,0.2323
Las Pinas,-,-,-,-,-,-,-,-,0.1066,0.1546
Valenzuela,-,-,-,-,-,-,-,-,0.3738,0.5044
Pasig,-,-,-,-,-,-,-,-,0.3429,0.5053
Taguig,-,-,-,-,-,-,-,-,0.5499,0.5361
Marikina,-,-,-,-,-,-,-,-,0.0688,0.1550
San Juan (MM),-,-,-,-,-,-,-,-,0.1303,0.1186
Mandaluyong,-,-,-,-,-,-,-,-,0.2645,0.4194
Makati,-,-,-,-,-,-,-,-,0.4576,0.5085
Noveleta,-,-,-,-,-,-,-,-,0.0395,0.0606
Rosario (CE),-,-,-,-,-,-,-,-,0.0497,0.0123
Naic,-,-,-,-,-,-,-,-,0.0281,0.0231
Amadeo,-,-,-,-,-,-,-,-,0.1851,0.1880
Indang,-,-,-,-,-,-,-,-,0.0632,0.0842
Kawit,-,-,-,-,-,-,-,-,0.2092,0.0586
Carmona,-,-,-,-,-,-,-,-,0.1244,0.0836
Silang,-,-,-,-,-,-,-,-,0.1893,0.1353
Tanza,-,-,-,-,-,-,-,-,0.0787,0.0816
Trece Martires,-,-,-,-,-,-,-,-,0.0144,0.0348
General Trias,-,-,-,-,-,-,-,-,0.0862,0.1386
Alfonso,-,-,-,-,-,-,-,-,0.0331,0.0449
Bacoor,-,-,-,-,-,-,-,-,0.5843,0.3772
Dasmarinas,-,-,-,-,-,-,-,-,0.2790,0.4433
Imus,-,-,-,-,-,-,-,-,0.3286,0.2999
Cavite,-,-,-,-,-,-,-,-,0.1276,0.0771
Tagaytay,-,-,-,-,-,-,-,-,0.0652,0.0528
Angono,-,-,-,-,-,-,-,-,0.0579,0.0421
Antipolo,-,-,-,-,-,-,-,-,0.6683,0.8279
Baras (RL),-,-,-,-,-,-,-,-,0.0240,0.1947
Binangonan,-,-,-,-,-,-,-,-,0.0367,0.0776
Cainta,-,-,-,-,-,-,-,-,0.6434,0.5377
Cardona,-,-,-,-,-,-,-,-,0.0000,0.0000
Jalajala,-,-,-,-,-,-,-,-,0.0395,0.0484
Morong (RL),-,-,-,-,-,-,-,-,0.0446,0.0577
Pililla,-,-,-,-,-,-,-,-,0.0064,0.0193
San Mateo (RL),-,-,-,-,-,-,-,-,0.0958,0.0449
Tanay,-,-,-,-,-,-,-,-,0.0727,0.0550
Taytay (RL),-,-,-,-,-,-,-,-,0.3271,0.6163
Teresa,-,-,-,-,-,-,-,-,0.0068,0.0206
