PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,0.8589,0.9286
Caloocan,-,-,-,-,-,-,-,-,0.3229,0.4426
Manila,-,-,-,-,-,-,-,-,0.8490,0.7570
Pasay,-,-,-,-,-,-,-,-,0.1025,0.1559
Paranaque,-,-,-,-,-,-,-,-,0.0452,0.0775
Las Pinas,-,-,-,-,-,-,-,-,0.0000,0.0000
Valenzuela,-,-,-,-,-,-,-,-,0.7458,0.7752
Pasig,-,-,-,-,-,-,-,-,0.1273,0.1506
Taguig,-,-,-,-,-,-,-,-,0.1041,0.1455
Marikina,-,-,-,-,-,-,-,-,0.0000,0.0310
San Juan (MM),-,-,-,-,-,-,-,-,0.0107,0.0072
Mandaluyong,-,-,-,-,-,-,-,-,0.1119,0.0948
Makati,-,-,-,-,-,-,-,-,0.1294,0.0716
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.0000
Rosario (CE),-,-,-,-,-,-,-,-,0.1228,0.1684
Naic,-,-,-,-,-,-,-,-,0.1176,0.1000
Amadeo,-,-,-,-,-,-,-,-,0.0000,0.0000
Indang,-,-,-,-,-,-,-,-,0.0836,0.1037
Kawit,-,-,-,-,-,-,-,-,0.0007,0.0000
Carmona,-,-,-,-,-,-,-,-,0.2121,0.1731
Silang,-,-,-,-,-,-,-,-,0.3258,0.4015
Tanza,-,-,-,-,-,-,-,-,0.1176,0.1000
Trece Martires,-,-,-,-,-,-,-,-,0.0541,0.0995
General Trias,-,-,-,-,-,-,-,-,0.0741,0.2045
Alfonso,-,-,-,-,-,-,-,-,0.0840,0.0693
Bacoor,-,-,-,-,-,-,-,-,0.1910,0.6052
Dasmarinas,-,-,-,-,-,-,-,-,0.8800,1.2505
Imus,-,-,-,-,-,-,-,-,0.1091,0.2386
Cavite,-,-,-,-,-,-,-,-,0.0000,0.1010
Tagaytay,-,-,-,-,-,-,-,-,0.0541,0.0606
Angono,-,-,-,-,-,-,-,-,0.7503,0.7018
Antipolo,-,-,-,-,-,-,-,-,0.6367,1.0048
Baras (RL),-,-,-,-,-,-,-,-,0.0007,0.0006
Binangonan,-,-,-,-,-,-,-,-,0.1573,0.1667
Cainta,-,-,-,-,-,-,-,-,1.0207,0.8274
Cardona,-,-,-,-,-,-,-,-,0.0780,0.0741
Jalajala,-,-,-,-,-,-,-,-,0.2501,0.2328
Morong (RL),-,-,-,-,-,-,-,-,0.2407,0.3037
Pililla,-,-,-,-,-,-,-,-,0.0110,0.0095
San Mateo (RL),-,-,-,-,-,-,-,-,0.3376,1.2030
Tanay,-,-,-,-,-,-,-,-,0.1673,0.2756
Taytay (RL),-,-,-,-,-,-,-,-,0.2562,0.2741
Teresa,-,-,-,-,-,-,-,-,0.0000,0.1754
