PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),9.6552,19.9893,17.1175,12.7922,13.6541,10.8548,25.0000,11.7190,10.2592,9.4220
Caloocan,12.8437,12.9345,11.1578,6.4564,5.1188,5.3485,6.3469,5.0511,5.8576,4.6018
Manila,15.0284,14.5767,16.6629,11.5828,9.6029,10.7266,11.1776,8.8802,9.5426,6.0325
Pasay,11.3198,10.7350,8.1323,13.1139,11.4023,13.3434,16.2490,13.6291,13.2223,10.4603
Paranaque,17.7271,15.1711,12.2361,7.8279,5.5127,7.0914,7.3331,6.1745,6.7545,5.3264
Las Pinas,9.0368,9.7082,8.9622,4.9510,3.9551,4.3597,5.9257,3.8473,5.6187,3.4562
Valenzuela,13.0012,11.4276,9.9669,6.2761,4.4750,5.6894,6.1466,4.8315,6.5038,4.1003
Pasig,-,12.0925,18.0630,10.1720,6.8888,7.4047,9.0562,9.1926,8.1034,6.0307
Taguig,-,8.9287,10.6822,9.4705,7.5280,5.6666,3.2206,5.9148,5.9136,4.9251
Marikina,11.2186,9.6183,9.3124,6.0772,4.6251,4.5864,3.1750,4.4664,5.0984,3.6077
San Juan (MM),-,5.7935,9.4744,5.2524,3.5043,3.9595,4.1335,3.2642,4.9639,2.9594
Mandaluyong,13.3469,11.0889,12.4827,7.0902,4.9982,6.0054,6.3101,4.2886,6.9222,4.9951
Makati,17.2128,17.8863,20.4822,12.6309,8.9335,10.4410,10.3983,9.8496,8.8739,7.4013
Noveleta,-,12.1217,9.9297,6.2626,0.0000,6.5275,7.0942,7.0645,5.9882,5.6829
Rosario (CE),8.9410,8.6435,8.3795,7.5367,0.0000,4.8919,6.1112,6.5578,5.2215,4.4109
Naic,7.1284,9.0165,9.3568,5.9143,0.0000,5.1227,5.4730,5.7320,5.0066,4.7120
Amadeo,-,-,7.4382,5.1422,0.0000,6.6346,6.6113,6.5116,7.0888,6.2073
Indang,5.4519,5.2851,5.2204,3.9394,0.0000,4.2290,4.4459,4.5286,4.3520,3.7501
Kawit,8.4477,9.9566,7.7147,5.6374,0.0000,5.3406,5.3431,5.8361,5.1149,4.4384
Carmona,13.1127,10.3610,9.5726,7.9611,0.0000,6.2174,7.4542,9.8337,7.2161,7.6384
Silang,10.1124,10.6380,10.0007,7.5868,0.0000,6.7190,7.3240,7.9204,6.9020,6.7774
Tanza,13.7247,9.2130,9.3217,6.8893,0.0000,7.8197,7.0096,8.3572,6.6048,7.2325
Trece Martires,7.1151,7.7297,9.1070,5.2788,5.0894,5.5427,6.1704,5.7023,4.5905,4.1058
General Trias,13.5665,16.2617,15.2342,9.5489,9.7036,12.0646,10.6785,8.9119,8.1426,6.7018
Alfonso,7.8611,7.6490,7.1770,4.7592,0.0000,4.8942,4.1454,4.3844,4.5454,4.0050
Bacoor,10.2809,11.8411,13.1557,7.5595,8.5978,8.0734,8.9902,9.2790,6.1620,6.0954
Dasmarinas,9.8670,12.6158,13.8780,8.4644,8.8692,10.1170,12.0205,12.3205,7.7216,8.2765
Imus,9.7830,14.9250,16.3578,9.0216,10.3344,9.5504,11.2820,9.5982,6.6443,6.4661
Cavite,6.3786,6.1313,8.7402,4.4252,5.2051,4.3957,5.0072,3.7068,3.5750,3.2379
Tagaytay,9.5824,8.6421,8.2734,4.5290,4.9363,5.2592,6.3963,4.5923,3.9723,3.6423
Angono,9.7003,9.9315,10.1859,7.0491,0.0000,6.4420,6.3410,7.0108,5.9717,5.0382
Antipolo,9.8860,11.7304,15.5802,8.5593,8.8809,9.7776,11.8419,10.6333,7.7979,6.8841
Baras (RL),-,11.3251,9.1830,5.4705,0.0000,6.5539,8.4265,6.5854,7.4972,5.9526
Binangonan,7.5696,10.8004,10.6349,6.1632,0.0000,6.5562,6.4836,7.3025,7.2241,6.7572
Cainta,9.0859,12.7841,13.8295,9.9738,0.0000,8.1587,10.5776,12.8121,9.7713,10.4160
Cardona,-,7.8190,8.2691,4.6261,0.0000,5.8925,5.9875,4.9392,5.5863,4.3160
Jalajala,-,7.8337,7.0783,4.6500,0.0000,4.8694,5.4203,4.4434,5.3268,4.0112
Morong (RL),-,7.8632,8.6696,5.2911,0.0000,4.4671,4.2692,5.2698,4.9053,3.7357
Pililla,7.8363,7.9978,8.3109,4.6858,0.0000,4.0742,3.7928,3.3588,4.3227,2.9624
San Mateo (RL),11.8114,10.4051,10.6713,6.7209,0.0000,5.8297,6.6395,6.7857,5.8793,5.0986
Tanay,10.1461,10.4010,10.4628,6.0741,0.0000,4.7965,4.4593,5.0337,4.8692,3.7547
Taytay (RL),13.0729,11.7967,12.7855,9.1488,0.0000,7.6854,8.3301,10.0891,8.3623,8.2441
Teresa,8.6705,8.2640,8.5787,4.9185,0.0000,4.3905,4.0674,4.0469,4.4491,3.2485
