PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),9.2820,19.0627,20.9991,16.5572,15.0676,20.7934,25.0000,17.4559,12.8681,11.7392
Caloocan,12.1586,17.8422,13.9119,12.6205,12.9256,12.1775,13.9012,12.4574,10.6698,10.8582
Manila,16.1940,22.6635,21.9370,16.9722,15.8411,17.9442,20.5491,18.6228,11.0425,13.7182
Pasay,18.8794,21.1329,15.8643,13.9015,16.4756,11.5258,13.3476,14.1990,11.8563,12.5054
Paranaque,13.8027,19.3734,13.8455,11.0871,12.0681,10.6644,11.6567,9.7065,9.4538,8.2859
Las Pinas,16.8222,18.7944,10.1394,9.1706,11.9225,8.5653,10.0330,9.7388,8.7633,8.5989
Valenzuela,18.2437,22.3866,16.3807,11.9763,12.9138,12.2779,13.9845,13.6696,11.1731,11.7476
Pasig,-,17.6079,16.2003,12.2321,14.4952,12.9054,12.6723,10.1388,11.3268,11.8189
Taguig,-,5.2824,13.6368,13.4543,13.8620,12.5937,11.2997,8.9189,10.4649,10.1997
Marikina,18.8354,20.4009,16.2906,12.2433,13.9589,10.3665,10.2409,8.4513,10.7409,10.1265
San Juan (MM),-,18.9886,14.0775,12.5792,16.3638,9.5416,9.6874,7.7814,10.4833,8.5682
Mandaluyong,17.2643,18.1497,12.9470,12.6494,14.7294,10.8301,10.9907,9.5795,9.6040,8.4762
Makati,20.9999,23.7251,18.6031,13.6603,15.0467,12.5855,13.7879,12.0829,11.6329,11.0538
Noveleta,-,14.4513,9.2277,9.0810,0.0000,12.3221,12.8756,9.3858,9.2604,8.0472
Rosario (CE),12.5670,13.6974,8.9842,11.8330,0.0000,11.6523,11.8020,10.3799,7.2630,9.9219
Naic,12.3112,12.7598,9.3093,8.5900,0.0000,11.0160,10.8593,9.1577,7.5901,8.9880
Amadeo,-,-,7.2530,8.9857,0.0000,11.9303,11.3829,9.2933,8.6606,8.2824
Indang,5.3799,9.3588,7.7113,8.7135,0.0000,9.9674,10.1534,8.6410,5.1082,7.7502
Kawit,11.2085,11.9607,8.2944,9.4132,0.0000,11.6593,11.6318,9.8500,6.9845,7.9271
Carmona,18.8532,18.7518,14.1548,12.2461,0.0000,14.1024,13.0029,11.3744,8.7174,11.2303
Silang,11.1566,13.0557,11.4605,9.7016,0.0000,14.5144,13.9605,11.0767,8.0260,9.2386
Tanza,12.8988,16.8216,12.1698,10.0609,0.0000,10.4823,11.0646,9.4196,8.2056,9.2330
Trece Martires,13.5212,16.7650,12.3949,9.0569,9.6664,8.5726,8.0795,7.5875,8.8973,8.7899
General Trias,17.5999,17.8067,13.9409,11.3215,11.8989,11.5935,12.4893,11.3377,9.6039,9.7336
Alfonso,13.4196,13.6013,5.8272,10.8640,0.0000,8.8373,9.4637,8.4003,6.9923,9.8682
Bacoor,15.9430,17.8388,16.1139,13.3070,12.6734,13.9750,13.2087,11.4593,9.5110,9.9001
Dasmarinas,11.0033,14.5510,11.0346,10.0479,11.0563,14.0375,14.3602,12.5895,9.9770,9.8780
Imus,13.4234,17.5512,15.8487,12.0992,12.9941,13.3387,13.6952,11.3073,9.4165,9.9534
Cavite,12.6946,17.4178,13.3762,11.6992,11.8925,9.4605,12.1178,8.3916,8.9275,8.8422
Tagaytay,13.6992,15.6562,12.4006,12.1257,12.1589,10.1314,9.8659,9.0650,11.2456,9.6422
Angono,18.3349,17.4612,13.0408,12.8895,0.0000,12.9607,12.5119,11.4188,8.3220,10.3472
Antipolo,17.0767,17.4747,14.9121,14.5241,13.2476,15.9956,16.6629,14.6238,10.9726,11.0591
Baras (RL),-,13.1749,9.2946,13.1138,0.0000,12.9648,12.8156,10.6618,9.2527,8.6448
Binangonan,13.4939,13.6931,13.6442,13.4367,0.0000,13.6519,13.2929,10.6494,8.1493,9.9730
Cainta,10.7468,12.0071,16.1827,14.9463,0.0000,17.1939,16.3646,13.7738,8.3089,10.7624
Cardona,-,14.5404,7.0265,13.4744,0.0000,13.0409,12.5190,10.3604,9.1191,8.4372
Jalajala,-,13.1363,7.5315,9.9850,0.0000,11.4808,11.1144,9.4536,9.0229,8.0653
Morong (RL),-,15.2193,5.0753,10.9804,0.0000,11.0557,11.0404,9.7931,8.2653,10.4992
Pililla,13.4851,15.2337,10.5220,11.7784,0.0000,11.0988,10.7487,9.7502,8.1009,9.1835
San Mateo (RL),14.8210,15.3812,12.5027,13.0063,0.0000,13.2648,13.6124,12.7531,8.5580,9.6128
Tanay,13.3512,15.5787,11.8297,12.3957,0.0000,11.7729,11.7769,9.8056,8.0295,9.5673
Taytay (RL),13.4807,16.0967,15.8212,13.6193,0.0000,16.5856,15.2624,10.9022,8.5148,10.2335
Teresa,11.3204,15.2058,10.3489,12.0349,0.0000,10.9717,10.6379,9.3427,7.3754,9.6848
