PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,0.7856,0.6732,1.5438,2.5000,0.1222,0.2221,0.3897
Caloocan,-,-,-,1.3099,0.6702,0.4267,0.3978,0.4220,0.2266,0.2830
Manila,-,-,-,0.8956,0.5577,1.1968,1.3082,0.0503,0.0125,0.1643
Pasay,-,-,-,1.1875,0.6467,0.3620,0.4411,0.3338,0.4406,0.3243
Paranaque,-,-,-,1.2509,0.2348,0.8364,0.4536,0.0809,0.2221,0.3157
Las Pinas,-,-,-,0.8492,0.4189,0.1130,0.1640,0.0851,0.2221,0.2211
Valenzuela,-,-,-,1.2376,0.6419,0.2082,0.2092,0.0993,0.2221,0.2839
Pasig,-,-,-,0.7902,0.4094,0.8661,0.7936,0.1015,0.1284,0.0972
Taguig,-,-,-,1.1524,0.6732,0.8151,0.0000,0.3124,0.2347,0.0852
Marikina,-,-,-,1.1524,0.6732,0.2027,0.0000,0.0000,0.2221,0.2839
San Juan (MM),-,-,-,0.6770,0.5743,0.0765,0.0796,0.0999,0.1661,0.0000
Mandaluyong,-,-,-,1.1297,0.6474,0.3366,0.3270,0.1222,0.4731,0.2839
Makati,-,-,-,0.6815,0.0000,1.6172,1.5482,0.8750,0.3351,0.2615
Noveleta,-,-,-,0.0004,0.0000,0.1710,0.0616,0.0025,0.0000,0.0000
Rosario (CE),-,-,-,0.0022,0.0000,0.6437,0.4298,0.0215,0.0000,0.0350
Naic,-,-,-,0.0022,0.0000,0.2959,0.2103,0.0215,0.0000,0.0350
Amadeo,-,-,-,0.0022,0.0000,0.1506,0.0497,0.0024,0.0000,0.0000
Indang,-,-,-,0.0000,0.0000,0.1798,0.1363,0.0203,0.0000,0.0350
Kawit,-,-,-,0.0022,0.0000,0.3489,0.2569,0.0215,0.0000,0.0350
Carmona,-,-,-,0.0022,0.0000,0.5808,0.4203,0.0307,0.0000,0.0399
Silang,-,-,-,0.0005,0.0000,0.6726,0.4597,0.0213,0.0000,0.0350
Tanza,-,-,-,0.0022,0.0000,0.4918,0.3438,0.0215,0.0000,0.0350
Trece Martires,-,-,-,0.0561,0.2551,0.4082,0.2457,0.1248,0.0755,0.1000
General Trias,-,-,-,0.0639,0.2562,0.9645,0.6755,0.1476,0.0766,0.1000
Alfonso,-,-,-,0.0019,0.0000,0.1651,0.1185,0.0215,0.0000,0.0350
Bacoor,-,-,-,0.0639,0.2562,1.1693,0.8238,0.1476,0.0755,0.1000
Dasmarinas,-,-,-,0.0639,0.2562,1.3178,0.9422,0.2794,0.0958,0.1000
Imus,-,-,-,0.0666,0.2824,1.0442,0.9989,0.1672,0.0751,0.1000
Cavite,-,-,-,0.0603,0.2471,0.2921,0.1707,0.1476,0.0604,0.0924
Tagaytay,-,-,-,0.0639,0.2496,0.5624,0.3695,0.1476,0.0855,0.1000
Angono,-,-,-,0.0017,0.0000,0.4511,0.2839,0.0281,0.0000,0.0455
Antipolo,-,-,-,0.0303,0.1591,2.4664,1.6333,0.1476,0.0808,0.1372
Baras (RL),-,-,-,0.0022,0.0000,0.2371,0.0822,0.0025,0.0000,0.0000
Binangonan,-,-,-,0.0019,0.0000,0.7599,0.5277,0.0215,0.0000,0.0377
Cainta,-,-,-,0.0022,0.0000,1.2535,0.8068,0.0341,0.0000,0.0350
Cardona,-,-,-,0.0022,0.0000,0.1651,0.0570,0.0026,0.0000,0.0000
Jalajala,-,-,-,0.0022,0.0000,0.2800,0.0419,0.0025,0.0000,0.0000
Morong (RL),-,-,-,0.0022,0.0000,0.1561,0.1155,0.0276,0.0000,0.0350
Pililla,-,-,-,0.0022,0.0000,0.1645,0.1139,0.0215,0.0000,0.0336
San Mateo (RL),-,-,-,0.0014,0.0000,0.7041,0.4542,0.1498,0.0000,0.1325
Tanay,-,-,-,0.0022,0.0000,0.3464,0.2390,0.0357,0.0000,0.0321
Taytay (RL),-,-,-,0.0022,0.0000,0.9393,0.6752,0.0215,0.0000,0.0335
Teresa,-,-,-,0.0020,0.0000,0.2098,0.1463,0.0215,0.0000,0.0292
