PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.2775,2.2086,1.5009,2.5000,1.0573,1.1223,1.3299
Caloocan,-,-,-,1.4756,1.8405,1.0208,1.1202,0.7753,0.8972,0.8792
Manila,-,-,-,1.7898,2.1713,1.3851,1.3417,1.6622,1.3607,1.2219
Pasay,-,-,-,1.2536,1.9155,0.9984,1.2104,0.9030,0.7388,0.7329
Paranaque,-,-,-,1.0438,1.1129,0.7395,0.8368,0.5301,0.5769,0.6276
Las Pinas,-,-,-,1.0294,1.1693,0.4721,0.6732,0.2966,0.4069,0.4225
Valenzuela,-,-,-,1.1024,1.4961,0.8196,0.9168,0.5660,0.5728,0.6367
Pasig,-,-,-,1.3493,1.6670,0.7541,0.9320,0.6227,0.7272,0.8090
Taguig,-,-,-,1.0872,1.1136,0.6423,0.7040,0.5039,0.4173,0.4349
Marikina,-,-,-,0.0829,1.3818,0.7179,0.7602,0.4782,0.4282,0.4470
San Juan (MM),-,-,-,0.0639,0.8578,0.4695,0.4742,0.2929,0.4282,0.4345
Mandaluyong,-,-,-,0.9789,1.0313,0.5648,0.5859,0.3598,0.4325,0.4614
Makati,-,-,-,1.3016,1.9217,0.7236,0.8498,0.6797,0.7129,0.7572
Noveleta,-,-,-,0.9224,0.0000,0.4810,0.5073,0.3152,0.3840,0.0416
Rosario (CE),-,-,-,0.9167,0.0000,0.5358,0.5027,0.2591,0.4058,0.4941
Naic,-,-,-,0.9431,0.0000,0.5289,0.5632,0.3656,0.4331,0.4258
Amadeo,-,-,-,0.8575,0.0000,0.4528,0.4543,0.2451,0.3714,0.3949
Indang,-,-,-,0.8391,0.0000,0.4830,0.4921,0.2535,0.3783,0.3772
Kawit,-,-,-,0.9573,0.0000,0.5427,0.6008,0.2735,0.3843,0.0988
Carmona,-,-,-,0.9527,0.0000,0.7445,0.7251,0.4548,0.5102,0.5091
Silang,-,-,-,0.9537,0.0000,0.7531,0.7723,0.5236,0.6397,0.6039
Tanza,-,-,-,0.9382,0.0000,0.6405,0.7610,0.4479,0.5086,0.5262
Trece Martires,-,-,-,0.8718,0.8646,0.3625,0.5351,0.3136,0.4259,0.3977
General Trias,-,-,-,1.0233,0.9823,0.5571,0.7021,0.4123,0.5783,0.5908
Alfonso,-,-,-,0.8623,0.0000,0.0585,0.0666,0.2428,0.3637,0.3769
Bacoor,-,-,-,0.9674,0.9402,0.6277,0.7791,0.5084,0.5883,0.4690
Dasmarinas,-,-,-,0.9833,0.9432,0.5345,0.6409,0.5567,0.5339,0.5375
Imus,-,-,-,0.9869,0.9334,0.5786,0.7972,0.5365,0.5913,0.5936
Cavite,-,-,-,0.9177,0.9121,0.4568,0.5789,0.4099,0.4321,0.4156
Tagaytay,-,-,-,0.8882,0.8690,0.3297,0.5313,0.3220,0.4338,0.4188
Angono,-,-,-,0.9878,0.0000,0.6974,0.7469,0.4342,0.4847,0.5168
Antipolo,-,-,-,1.0024,0.9707,0.5761,0.7545,0.5285,0.5758,0.5426
Baras (RL),-,-,-,0.9105,0.0000,0.5838,0.6206,0.4255,0.4516,0.4696
Binangonan,-,-,-,1.0545,0.0000,0.7332,0.7103,0.3592,0.4697,0.6117
Cainta,-,-,-,1.0735,0.0000,0.7032,0.7299,0.4600,0.4933,0.5136
Cardona,-,-,-,0.9011,0.0000,0.5077,0.5568,0.4671,0.4494,0.4279
Jalajala,-,-,-,0.8719,0.0000,0.4817,0.5141,0.3251,0.4057,0.4411
Morong (RL),-,-,-,0.8928,0.0000,0.5289,0.5928,0.3343,0.4256,0.4918
Pililla,-,-,-,0.9172,0.0000,0.6715,0.6489,0.3467,0.4312,0.4199
San Mateo (RL),-,-,-,0.9668,0.0000,1.1085,1.3409,1.3089,1.0531,1.2020
Tanay,-,-,-,1.0770,0.0000,0.7893,0.7908,0.3884,0.4566,0.5025
Taytay (RL),-,-,-,1.0997,0.0000,0.8266,0.9956,0.6541,0.7029,0.7718
Teresa,-,-,-,0.8732,0.0000,0.5513,0.5389,0.3021,0.3965,0.3918
