PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.5000,2.5000,2.3846,2.5000,2.3824,1.8611,1.8250
Caloocan,-,-,-,2.5000,2.5000,2.4615,2.5000,2.4706,1.9444,1.8250
Manila,-,-,-,2.5000,2.5000,2.3846,2.5000,2.5000,1.9722,1.9250
Pasay,-,-,-,2.5000,2.5000,2.3846,2.3846,2.3824,1.8611,2.0000
Paranaque,-,-,-,2.5000,2.5000,2.1923,2.1923,2.5000,1.9722,1.6000
Las Pinas,-,-,-,2.5000,2.5000,2.4615,2.5000,2.4706,1.8611,1.9000
Valenzuela,-,-,-,2.5000,2.5000,2.4615,2.4615,2.4706,1.9444,1.9000
Pasig,-,-,-,2.5000,2.5000,2.3462,2.3462,2.3529,2.0000,1.9750
Taguig,-,-,-,2.5000,2.5000,2.3846,2.3846,2.0000,1.5000,1.5000
Marikina,-,-,-,2.5000,2.5000,2.0000,2.0000,2.0882,1.9444,1.9000
San Juan (MM),-,-,-,2.5000,2.5000,2.4615,2.2692,2.2941,1.9167,1.9750
Mandaluyong,-,-,-,2.5000,2.5000,2.4231,2.4231,2.4118,1.8889,1.8500
Makati,-,-,-,2.5000,2.5000,2.2692,2.4615,2.4412,1.9444,1.7250
Noveleta,-,-,-,2.5000,0.0000,2.4872,2.5000,2.4857,1.9865,1.9737
Rosario (CE),-,-,-,2.5000,0.0000,2.4103,2.4103,2.4773,1.9848,1.9853
Naic,-,-,-,2.5000,0.0000,2.4231,2.4231,2.4773,1.9697,1.9853
Amadeo,-,-,-,2.5000,0.0000,2.4231,2.4231,2.4000,1.8784,1.8684
Indang,-,-,-,2.5000,0.0000,2.4359,2.4359,2.3409,1.9091,1.9853
Kawit,-,-,-,2.5000,0.0000,2.4487,2.4487,2.3636,1.8939,1.8529
Carmona,-,-,-,2.5000,0.0000,2.4231,2.4231,2.2727,1.9848,1.9706
Silang,-,-,-,2.5000,0.0000,2.4615,2.4615,2.3864,1.9091,1.8971
Tanza,-,-,-,2.5000,0.0000,2.4359,2.5000,2.3409,1.9848,1.9853
Trece Martires,-,-,-,2.5000,2.5000,2.4988,2.3864,2.3800,1.8095,1.8393
General Trias,-,-,-,2.5000,2.5000,2.4988,2.3864,2.3800,1.8095,1.9821
Alfonso,-,-,-,2.5000,0.0000,2.3846,2.4487,2.4545,1.9697,1.9853
Bacoor,-,-,-,2.5000,2.5000,2.4993,2.4318,2.4000,1.8333,1.8571
Dasmarinas,-,-,-,2.5000,2.5000,2.4993,2.5000,2.4800,1.8571,1.8750
Imus,-,-,-,2.5000,2.5000,2.4990,2.4773,2.4600,1.9048,1.9107
Cavite,-,-,-,2.5000,2.5000,2.4988,2.3864,2.4000,1.7619,1.8036
Tagaytay,-,-,-,2.5000,2.5000,2.4975,2.5000,2.4800,1.9524,1.9643
Angono,-,-,-,2.5000,0.0000,2.4744,2.4744,2.3864,1.9091,1.8971
Antipolo,-,-,-,2.5000,2.5000,2.4990,2.4091,2.4000,1.8333,1.9643
Baras (RL),-,-,-,2.5000,0.0000,2.4744,2.4744,2.4857,1.9595,1.9868
Binangonan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4091,1.9242,1.9853
Cainta,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4091,1.9242,1.9265
Cardona,-,-,-,2.5000,0.0000,2.4872,2.4872,2.4714,1.9459,1.9342
Jalajala,-,-,-,2.5000,0.0000,2.2821,2.2821,2.2143,1.7027,1.9868
Morong (RL),-,-,-,2.5000,0.0000,2.4872,2.4872,2.4318,1.9394,1.9853
Pililla,-,-,-,2.5000,0.0000,2.4872,2.4872,2.4318,1.9394,1.9265
San Mateo (RL),-,-,-,2.5000,0.0000,2.4231,2.4231,2.4773,1.9848,1.9706
Tanay,-,-,-,2.5000,0.0000,2.4744,2.5000,2.4545,1.9545,1.9412
Taytay (RL),-,-,-,2.5000,0.0000,2.4744,2.4744,2.4091,1.9242,1.9118
Teresa,-,-,-,2.5000,0.0000,2.4487,2.4487,2.3636,1.8788,1.8824
