PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,1.7572,1.9574,1.8743,2.5000,1.8927,1.5159,2.0000
Caloocan,-,-,-,1.6468,1.8969,1.8929,1.8878,1.8809,1.5056,1.5011
Manila,-,-,-,1.7096,1.9302,1.9269,1.9254,1.8750,1.5056,1.5011
Pasay,-,-,-,1.6158,1.9847,1.9794,1.8973,1.8888,1.5767,1.5264
Paranaque,-,-,-,1.8210,1.7459,1.7385,1.7379,1.8750,1.5024,1.5041
Las Pinas,-,-,-,1.8947,1.7233,1.6270,1.6635,2.0909,1.6605,1.5599
Valenzuela,-,-,-,0.0000,1.8451,1.8890,1.9866,1.8884,1.5442,1.6399
Pasig,-,-,-,1.7631,1.8083,1.7995,1.7940,1.8809,1.5056,1.5011
Taguig,-,-,-,2.0342,1.7495,1.8599,1.8547,1.8927,1.6499,1.5803
Marikina,-,-,-,0.6947,1.9202,1.9165,1.9150,1.8750,1.5025,1.5000
San Juan (MM),-,-,-,0.3772,1.8443,1.8369,2.3398,1.8750,1.5024,1.0000
Mandaluyong,-,-,-,1.7638,1.7723,1.9159,1.9144,1.8809,1.5056,1.5011
Makati,-,-,-,1.8280,1.8162,1.7374,1.7316,1.8809,1.5056,1.5011
Noveleta,-,-,-,1.0722,0.0000,1.1705,1.0020,1.8751,1.5000,1.5003
Rosario (CE),-,-,-,1.8993,0.0000,1.9062,1.9640,1.8769,1.5017,1.5052
Naic,-,-,-,1.5547,0.0000,1.9954,1.9966,1.8751,1.5001,1.5013
Amadeo,-,-,-,0.5722,0.0000,1.0379,1.0005,1.2501,1.0000,1.5003
Indang,-,-,-,1.0775,0.0000,1.8254,1.9157,1.8754,1.5003,1.5013
Kawit,-,-,-,0.5194,0.0000,2.0752,1.9731,1.8819,1.5086,1.5181
Carmona,-,-,-,1.5187,0.0000,1.9186,1.1484,1.8845,1.5093,1.5315
Silang,-,-,-,1.0958,0.0000,1.7078,1.8711,1.8782,1.5032,1.5148
Tanza,-,-,-,1.0806,0.0000,2.4690,2.0960,1.8820,1.5072,1.5261
Trece Martires,-,-,-,1.0000,1.9113,1.2798,1.0015,1.2546,1.0034,1.5058
General Trias,-,-,-,1.7528,1.7540,1.3116,1.9279,1.9726,1.5278,1.5285
Alfonso,-,-,-,1.0997,0.0000,1.0154,1.0034,1.8752,1.5002,1.5014
Bacoor,-,-,-,1.1966,1.8722,1.4068,1.0811,1.9464,1.5253,1.5283
Dasmarinas,-,-,-,1.5975,1.7760,2.2314,2.0538,2.0889,1.5087,1.5131
Imus,-,-,-,1.0229,1.5649,2.2015,1.9204,1.8974,1.5111,1.5166
Cavite,-,-,-,1.0000,1.8032,1.1898,1.0105,1.8886,1.5068,1.5068
Tagaytay,-,-,-,1.0076,1.0018,1.5095,1.0005,1.8750,1.5002,1.5002
Angono,-,-,-,1.5868,0.0000,1.9533,1.9736,1.8753,1.5002,1.5009
Antipolo,-,-,-,1.6326,2.1326,2.3633,2.1876,2.1171,1.6183,1.5953
Baras (RL),-,-,-,1.7562,0.0000,2.2367,1.0005,1.8750,1.5000,1.5000
Binangonan,-,-,-,1.0854,0.0000,2.1845,1.9914,1.8753,1.5002,1.5009
Cainta,-,-,-,1.5096,0.0000,2.4331,2.0967,1.8903,1.5069,1.5216
Cardona,-,-,-,1.0710,0.0000,1.9924,1.9775,1.8750,1.5000,1.5001
Jalajala,-,-,-,1.6367,0.0000,1.9758,1.9383,1.8751,1.5001,1.5001
Morong (RL),-,-,-,1.8547,0.0000,1.9960,1.9934,1.8751,1.5001,1.5003
Pililla,-,-,-,1.6058,0.0000,2.0059,1.9862,1.8755,1.5005,1.5017
San Mateo (RL),-,-,-,1.5902,0.0000,2.2163,2.0351,1.8774,1.5019,1.5058
Tanay,-,-,-,1.8819,0.0000,1.5561,1.0252,1.8760,1.5012,1.5060
Taytay (RL),-,-,-,1.1735,0.0000,1.4961,1.0126,1.8760,1.5010,1.5037
Teresa,-,-,-,1.5114,0.0000,2.0076,1.9978,1.8752,1.5002,1.5006
