PROVINCE / LGU,active_establishments_in_the_locality,cost_of_doing_business,cost_of_living,employment_generation,financial_deepening,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,productivity,safety_compliant_business
Quezon (MM),1.76,1.4609,0.7925,0.9248,1.3115,0.5111,0.4807,0.188,0.7522,1.2403
Caloocan,0.3098,1.3764,0.7925,0.1654,0.4734,0.3167,0.0555,0.0567,0.1673,0.8881
Manila,0.0,1.2995,0.7925,0.46,1.1539,0.3905,0.3591,0.359,0.5652,0.6528
Pasay,0.0,1.4822,0.7925,2.0,0.5909,0.2022,2.0,0.1095,2.0,1.283
Paranaque,0.5142,1.4267,0.7925,0.7071,0.3316,0.2952,0.3623,0.0081,0.5405,0.3482
Las Pinas,0.3228,1.3794,0.7925,0.1593,0.2592,0.1281,0.0403,0.0,0.0974,0.2772
Valenzuela,0.5147,1.2028,0.7925,0.2002,0.1681,0.13,0.102,0.0343,0.243,0.7127
Pasig,0.7201,1.3384,0.7925,0.4337,0.9254,0.1972,0.3283,0.2529,0.5446,0.4976
Taguig,0.3816,1.2285,0.7925,0.1081,0.7034,0.3501,0.5038,0.0238,0.5124,0.3209
Marikina,0.4672,1.4106,0.7925,0.0942,0.1507,0.22,0.0278,0.0071,0.0854,0.3522
San Juan (MM),0.1446,1.4938,0.7925,0.0141,0.129,0.2089,0.0335,0.0034,0.0415,0.0981
Mandaluyong,0.3871,1.4006,0.7925,0.0841,0.1423,1.1379,0.4071,0.2414,0.1379,0.2642
Makati,0.5589,1.0128,0.7925,1.0473,0.6374,0.2141,1.3742,0.0185,1.0193,0.7263
Malabon,0.1748,1.1834,0.7925,0.0784,0.0619,0.0936,0.0136,0.0111,0.0752,0.1225
Navotas,0.1101,1.3818,0.7925,0.0286,0.0052,0.3122,0.0144,0.0007,0.0368,0.0687
Muntinlupa,0.3883,1.3622,0.7925,0.2558,0.567,0.1939,0.1235,0.0954,0.2319,0.2329
Pateros,0.2853,1.305,0.8844,0.0578,0.206,0.0016,0.034,0.1634,0.0445,0.1781
Alfonso,0.4357,1.6738,1.0884,0.1218,0.2981,0.0016,0.0136,0.0152,0.0791,0.2777
Amadeo,0.8487,1.5612,1.2,0.6885,0.1021,0.0,0.0578,0.0008,0.433,1.3152
Bacoor,1.2262,1.06,1.113,0.3538,1.0913,0.0121,0.1372,0.0301,0.1247,0.947
Carmona,0.4494,1.6098,1.0884,0.7907,0.6155,0.0009,0.9584,0.035,1.6201,0.4702
Cavite,0.3325,1.3651,1.113,0.0346,0.1547,0.0122,0.0176,0.006,0.0043,0.1979
Dasmarinas,2.0,1.2217,1.113,0.5837,1.2939,0.0121,0.1525,0.2494,0.1775,1.4727
Gen. Emilio Aguinaldo,1.1124,1.5655,0.8037,0.6064,0.253,0.0034,0.1271,0.1166,0.3448,0.8427
Gen. Mariano Alvarez,0.3996,1.5066,1.0884,0.1307,0.4874,0.0011,0.0418,0.0228,0.1436,0.3339
General Trias,0.8839,1.2953,1.113,0.3407,0.4462,0.0132,0.703,0.0155,0.4641,1.4269
Imus,1.4144,1.2757,1.113,0.254,0.8375,0.0116,0.2906,0.0843,0.142,1.043
Indang,0.3765,1.6717,1.0884,0.0734,0.2213,0.0008,0.0158,0.0076,0.0557,0.2389
Kawit,0.5758,1.385,1.0884,0.3124,0.3292,0.0012,0.1131,0.0053,0.2691,0.3589
Magallanes (CE),0.4692,1.5751,1.2,0.1613,0.0669,0.0,0.015,0.0007,0.1244,0.3402
Maragondon,0.6971,1.582,1.2,0.4236,0.1581,0.0,0.0544,0.0,0.2817,0.506
Mendez,0.7541,1.5975,1.2,0.4558,0.1576,0.0,0.0527,0.0,0.3689,1.3514
Naic,0.6221,1.6372,1.0884,0.2257,0.6503,0.001,0.0441,0.0,0.1384,0.3048
Noveleta,0.7924,1.563,1.2,0.3727,0.6099,0.0,0.1187,0.0,0.3905,0.6357
Rosario (CE),0.4651,1.5835,1.0884,0.169,0.4597,0.0006,0.0934,0.0181,0.1966,0.3365
Silang,0.9564,1.5781,1.0884,0.5438,0.9855,0.0007,0.3241,0.0006,0.6512,0.6486
Tagaytay,0.3539,1.3273,1.113,0.1088,0.3945,0.0136,0.0487,0.0026,0.0314,0.2485
Tanza,0.7442,1.551,1.0884,1.2716,0.6159,0.0014,0.1551,0.0274,0.4149,1.3626
Ternate,0.2673,1.6083,1.2,0.1145,0.0817,0.0,0.0063,0.0024,0.0611,0.1736
Trece Martires,0.6558,1.2173,1.113,0.119,0.224,0.0092,0.0505,0.0034,0.0435,0.6701
Angono,0.7213,1.6673,0.6293,0.5911,0.5211,0.0024,0.0864,0.0338,0.3187,0.4668
Antipolo,1.4572,1.3771,0.6435,0.5493,1.0865,0.0163,0.3716,0.0542,0.2025,1.1259
Baras (RL),1.0523,1.5882,0.8625,0.5318,0.4505,0.0,0.1415,0.0016,0.5131,0.8111
Binangonan,1.3734,1.6483,0.6293,0.4624,1.0806,0.0008,0.1337,0.0513,0.4022,0.9752
Cainta,1.6694,1.4442,0.6293,1.9085,1.2347,0.0006,0.6745,0.0233,1.666,1.1655
Cardona,0.2236,1.557,0.8625,1.0084,0.1533,0.0,0.0344,0.0003,0.2369,0.2396
Jalajala,0.3932,1.5865,0.8625,0.3822,0.1542,0.0,0.0322,0.0022,0.2352,0.363
Morong (RL),0.2372,1.6405,0.6293,0.1196,0.4997,0.0006,0.1547,0.0694,0.2365,0.1482
Pililla,0.1846,1.6178,0.6293,0.0829,0.2126,0.0004,0.0162,0.0327,0.0601,0.1258
Rodriguez,1.133,1.5913,0.6293,0.3825,0.6782,0.001,0.0905,0.1966,0.2587,1.1
San Mateo (RL),0.8043,1.6123,0.6293,0.242,0.6491,0.0006,0.0981,0.0414,0.2725,0.749
Tanay,0.3258,1.5871,0.6293,0.0998,0.6234,0.001,0.0701,0.0012,0.1134,0.3036
Taytay (RL),1.897,1.4859,0.6293,0.8516,1.2436,0.0007,0.3635,0.0274,0.7866,0.9585
Teresa,0.2704,1.7246,0.6293,0.0659,0.1817,0.0013,0.0572,0.0035,0.0945,0.2201
