PROVINCE / LGU,capacity_of_health_services,capacity_of_school_services,capacity_to_generate_local_resource,compliance_to_arta_citizens_charter,compliance_to_national_directives,getting_business_permits,peace_and_order,presence_of_investment_promotion_unit,recognition_of_performance,social_protection
Quezon (MM),0.608,0.4684,1.6856,2.0,1.5,2.0,0.0696,1.9334,0.8543,0.6199
Caloocan,0.1278,0.4637,0.2297,2.0,1.8333,2.0,0.4087,1.6667,0.4763,1.652
Manila,0.8191,0.6126,1.2581,2.0,1.3333,2.0,2.0,2.0001,0.5281,1.1669
Pasay,1.022,0.7601,0.6111,2.0,2.0,2.0,0.1304,1.7334,0.5114,1.737
Paranaque,0.195,0.3661,0.6191,2.0,1.0,2.0,0.0,1.6001,0.2614,0.2442
Las Pinas,0.0133,0.4407,0.167,2.0,1.1667,2.0,0.0174,1.6001,0.2677,0.926
Valenzuela,0.2914,0.4877,0.3067,2.0,1.5,2.0,0.913,1.6001,1.1805,1.4682
Pasig,0.6284,0.4843,0.7941,2.0,1.8333,2.0,0.0087,2.0001,0.8802,1.1898
Taguig,0.5793,0.4118,0.9914,2.0,1.1667,2.0,0.0087,2.0001,0.5549,0.4868
Marikina,0.3399,0.5301,0.0947,2.0,1.6667,2.0,0.0522,1.9334,0.149,1.3605
San Juan (MM),1.2556,0.4975,0.1531,2.0,1.6667,1.0,0.1304,1.3334,0.5248,0.0067
Mandaluyong,0.468,0.3541,0.3404,2.0,1.0,2.0,0.0435,2.0001,0.2701,0.0
Makati,0.6316,0.5131,1.2444,2.0,1.5,2.0,0.0261,2.0001,0.5342,0.6043
Noveleta,0.0151,0.0115,0.1143,2.0,1.9259,1.5,0.0629,1.9763,0.3333,0.1079
Rosario (CE),0.2974,0.0811,0.1092,2.0,1.9565,2.0,0.1714,1.9744,0.2879,1.044
Naic,0.1586,0.0476,0.0727,2.0,1.913,1.5,0.1429,1.8975,0.3458,0.9099
Amadeo,0.0136,0.0334,0.1193,2.0,1.9259,2.0,0.0881,1.8572,0.0513,0.1936
Indang,0.1408,0.0637,0.0857,2.0,1.9565,1.5,0.3143,0.6667,0.0604,0.9621
Kawit,0.3001,0.0255,0.2732,2.0,1.7826,1.5,0.1714,1.7693,0.0,0.105
Carmona,0.3926,0.0733,0.6813,2.0,1.8696,2.0,0.2286,1.8719,1.0516,1.0614
Silang,0.2078,0.0808,0.2928,2.0,1.7826,2.0,0.1143,1.8206,0.1076,0.8321
Tanza,0.1414,0.2463,0.2164,2.0,1.9565,2.0,0.1143,1.9488,0.0312,0.5781
Trece Martires,0.0967,0.285,0.2696,2.0,1.9286,2.0,0.0419,1.9048,0.2303,0.033
General Trias,0.1034,0.1586,1.0168,2.0,1.9286,2.0,0.0105,1.9683,0.2723,0.2751
Alfonso,0.1601,0.0739,0.117,2.0,1.913,2.0,0.3429,1.9231,0.1471,1.1911
Bacoor,0.0697,0.1676,0.8471,2.0,1.8929,2.0,0.0105,1.9683,0.6129,0.3311
Dasmarinas,0.1395,0.3904,1.0134,2.0,1.9286,2.0,0.0105,1.8413,0.2428,0.3115
Imus,0.1753,0.266,0.5889,2.0,1.8571,2.0,0.0209,1.9683,0.7224,0.3545
Cavite,0.219,0.0987,0.0548,2.0,1.9286,2.0,0.0524,1.9683,0.1139,0.4065
Tagaytay,0.2735,0.1824,0.4139,2.0,1.9286,2.0,0.178,1.7778,0.3867,0.5013
Angono,0.5375,0.053,0.1635,2.0,1.6957,2.0,0.2286,1.8206,0.2306,1.6177
Antipolo,0.2362,0.4765,1.4518,2.0,1.9643,2.0,0.0,1.9048,0.5814,0.4441
Baras (RL),0.0185,0.0038,0.2759,2.0,1.9259,2.0,0.0818,1.9524,0.1847,0.2018
Binangonan,0.2102,0.109,0.1992,2.0,1.9565,2.0,0.7143,1.8719,0.1034,0.8085
Cainta,0.325,0.3151,1.1865,2.0,1.7826,2.0,0.1143,1.7693,0.2135,1.0561
Cardona,0.0428,0.0222,0.1838,2.0,1.8148,2.0,0.0566,1.8334,0.2753,0.2083
Jalajala,0.0282,0.038,0.3038,2.0,1.8519,1.5,0.0818,1.9763,0.0833,0.202
Morong (RL),0.4157,0.1842,0.0926,2.0,1.9565,2.0,0.2571,1.9744,0.4369,1.1818
Pililla,0.2247,0.0882,0.0937,2.0,1.7826,2.0,0.2,1.9488,0.1239,0.7216
San Mateo (RL),0.2776,0.1911,0.2285,2.0,1.8696,2.0,0.1143,1.8975,0.2221,0.8121
Tanay,0.1723,0.098,0.1482,2.0,1.913,2.0,0.1714,1.7693,0.1562,1.1389
Taytay (RL),0.1906,0.5414,0.49,2.0,1.7826,2.0,0.1143,1.8206,0.2643,1.0297
Teresa,0.1778,0.0344,0.0888,2.0,1.913,2.0,0.2857,1.8462,0.3471,0.9918
