PROVINCE / LGU,economic_dynamism,government_efficiency,infrastructure,innovation,overall_score,resiliency
Quezon (MM),9.422,11.7392,11.9904,12.6124,61.8475,16.0835
Caloocan,4.6018,10.8582,6.1716,8.2833,42.0494,12.1345
Manila,6.0325,13.7182,10.3906,11.5893,56.2923,14.5617
Pasay,10.4603,12.5054,9.6496,11.0886,56.7826,13.0787
Paranaque,5.3264,8.2859,5.2753,5.9169,36.3001,11.4956
Las Pinas,3.4562,8.5989,5.0016,6.6754,35.1899,11.4578
Valenzuela,4.1003,11.7476,5.8851,9.1056,44.2105,13.3719
Pasig,6.0307,11.8189,5.7601,8.4298,44.5875,12.548
Taguig,4.9251,10.1997,4.1554,8.0713,38.4518,11.1003
Marikina,3.6077,10.1265,4.5201,6.9153,36.6775,11.5079
San Juan (MM),2.9594,8.5682,4.1408,7.5535,34.1455,10.9236
Mandaluyong,4.9951,8.4762,4.7667,7.8531,37.7354,11.6443
Makati,7.4013,11.0538,7.2805,8.9417,47.1135,12.4362
Noveleta,5.6829,8.0472,3.6572,5.923,34.2922,10.9819
Rosario (CE),4.4109,9.9219,3.6465,8.2811,38.6744,12.414
Naic,4.712,8.988,3.3233,3.9826,32.4348,11.4289
Amadeo,6.2073,8.2824,3.8485,3.3764,32.9745,11.2599
Indang,3.7501,7.7502,2.9593,8.101,34.0289,11.4683
Kawit,4.4384,7.9271,3.3551,4.0182,30.7138,10.975
Carmona,7.6384,11.2303,3.7397,9.534,43.7654,11.623
Silang,6.7774,9.2386,4.3537,7.6665,40.0061,11.9699
Tanza,7.2325,9.233,4.1357,7.5507,39.9054,11.7535
Trece Martires,4.1058,8.7899,4.4106,5.2803,33.9622,11.3756
General Trias,6.7018,9.7336,6.1686,5.0566,39.3679,11.7073
Alfonso,4.005,9.8682,3.0799,9.2823,37.8125,11.5771
Bacoor,6.0954,9.9001,5.7636,9.2409,42.4248,11.4248
Dasmarinas,8.2765,9.878,7.417,9.7641,46.9285,11.5929
Imus,6.4661,9.9534,5.4636,7.4532,41.6118,12.2755
Cavite,3.2379,8.8422,3.6751,6.0234,33.0578,11.2792
Tagaytay,3.6423,9.6422,4.5704,5.729,35.0134,11.4295
Angono,5.0382,10.3472,5.7093,7.9219,41.1974,12.1808
Antipolo,6.8841,11.0591,9.9004,9.2828,50.4242,13.2978
Baras (RL),5.9526,8.6448,3.5648,7.5582,37.2309,11.5105
Binangonan,6.7572,9.973,4.8564,7.437,41.7879,12.7643
Cainta,10.416,10.7624,5.1031,8.8637,47.2492,12.104
Cardona,4.316,8.4372,3.5798,7.5246,35.3501,11.4925
Jalajala,4.0112,8.0653,2.9775,5.6518,32.1463,11.4405
Morong (RL),3.7357,10.4992,3.3626,9.4971,38.6382,11.5436
Pililla,2.9624,9.1835,3.0869,5.5863,32.1529,11.3338
San Mateo (RL),5.0986,9.6128,4.7735,9.5199,43.3141,14.3093
Tanay,3.7547,9.5673,3.9041,7.9673,36.8313,11.6379
Taytay (RL),8.2441,10.2335,5.3807,9.0399,45.0574,12.1592
Teresa,3.2485,9.6848,2.9462,7.8379,35.1026,11.3852
