PROVINCE / LGU,annual_disaster_drill,budget_for_drrmp,disaster_risk_reduction_plan,early_warning_system,emergency_infrastructure,employed_population,land_use_plan,local_risk_assessments,sanitary_system,utilities
Quezon (MM),1.0067,0.3897,2.0,2.0,1.3299,2.0,1.825,2.0,2.0,1.5322
Caloocan,1.0067,0.283,2.0,1.0151,0.8792,0.1188,1.825,2.0,1.5011,1.5056
Manila,2.0,0.1643,1.9167,1.1808,1.2219,1.1812,1.925,2.0,1.5011,1.4707
Pasay,1.4655,0.3243,2.0,1.0527,0.7329,0.4619,2.0,2.0,1.5264,1.515
Paranaque,1.0067,0.3157,1.8333,1.1789,0.6276,0.0474,1.6,2.0,1.5041,1.3819
Las Pinas,1.0089,0.2211,1.6667,1.1563,0.4225,0.0195,1.9,2.0,1.5599,1.5029
Valenzuela,1.0067,0.2839,1.5,1.0923,0.6367,1.7974,1.9,2.0,1.6399,1.515
Pasig,1.0067,0.0972,2.0,1.4087,0.809,0.3017,1.975,2.0,1.5011,1.4486
Taguig,1.0067,0.0852,2.0,1.0734,0.4349,0.0,1.5,2.0,1.5803,1.4198
Marikina,1.0067,0.2839,1.8333,1.0245,0.447,0.004,1.9,2.0,1.5,1.5085
San Juan (MM),1.0067,0.0,1.9167,1.0923,0.4345,0.0291,1.975,2.0,1.0,1.4693
Mandaluyong,1.0067,0.2839,2.0,1.0151,0.4614,0.0168,1.85,2.0,1.5011,1.5093
Makati,1.0067,0.2615,1.75,1.0942,0.7572,0.7572,1.725,2.0,1.5011,1.5833
Noveleta,1.0036,0.0,1.9524,1.0059,0.0416,0.0056,1.9737,2.0,1.5003,1.4988
Rosario (CE),1.1586,0.035,1.9583,1.0066,0.4941,0.7606,1.9853,2.0,1.5052,1.5103
Naic,1.0032,0.035,1.9583,1.0005,0.4258,0.0158,1.9853,2.0,1.5013,1.5037
Amadeo,1.0036,0.0,1.9762,1.0059,0.3949,0.0031,1.8684,2.0,1.5003,1.5075
Indang,1.0048,0.035,1.9583,1.0005,0.3772,0.1,1.9853,2.0,1.5013,1.5059
Kawit,1.0032,0.035,1.9583,1.0061,0.0988,0.0027,1.8529,2.0,1.5181,1.4999
Carmona,1.004,0.0399,1.7917,1.0026,0.5091,0.1993,1.9706,2.0,1.5315,1.5743
Silang,1.0032,0.035,1.9167,1.021,0.6039,0.4658,1.8971,2.0,1.5148,1.5124
Tanza,1.0048,0.035,1.9583,1.0001,0.5262,0.1307,1.9853,2.0,1.5261,1.587
Trece Martires,1.0554,0.1,1.9762,1.0001,0.3977,0.0013,1.8393,2.0,1.5058,1.4998
General Trias,1.0036,0.1,1.9762,1.0003,0.5908,0.0239,1.9821,2.0,1.5285,1.5019
Alfonso,1.1071,0.035,1.9583,1.0268,0.3769,0.0787,1.9853,2.0,1.5014,1.5076
Bacoor,1.02,0.1,1.9524,1.0007,0.469,0.0183,1.8571,2.0,1.5283,1.479
Dasmarinas,1.0036,0.1,1.9762,1.0466,0.5375,0.0268,1.875,2.0,1.5131,1.5141
Imus,1.2162,0.1,1.9762,1.0127,0.5936,0.4454,1.9107,2.0,1.5166,1.5041
Cavite,1.0036,0.0924,1.9762,1.0002,0.4156,0.0,1.8036,2.0,1.5068,1.4808
Tagaytay,1.0036,0.1,1.9524,1.0002,0.4188,0.0008,1.9643,2.0,1.5002,1.4892
Angono,1.0773,0.0455,1.9583,1.0136,0.5168,0.6369,1.8971,2.0,1.5009,1.5344
Antipolo,1.0718,0.1372,1.9762,2.0,0.5426,0.4156,1.9643,2.0,1.5953,1.5948
Baras (RL),1.0036,0.0,1.9762,1.0079,0.4696,0.0551,1.9868,2.0,1.5,1.5113
Binangonan,1.0024,0.0377,1.9167,1.0045,0.6117,1.0207,1.9853,2.0,1.5009,1.6844
Cainta,1.0097,0.035,1.9583,1.0011,0.5136,0.6326,1.9265,2.0,1.5216,1.5056
Cardona,1.1372,0.0,1.9762,1.0079,0.4279,0.0054,1.9342,2.0,1.5001,1.5036
Jalajala,1.0036,0.0,1.9762,1.0257,0.4411,0.0034,1.9868,2.0,1.5001,1.5036
Morong (RL),1.0032,0.035,1.9583,1.0035,0.4918,0.0502,1.9853,2.0,1.5003,1.516
Pililla,1.0032,0.0336,1.8333,1.0292,0.4199,0.0685,1.9265,2.0,1.5017,1.5179
San Mateo (RL),1.0225,0.1325,1.9583,1.0944,1.202,1.8461,1.9706,2.0,1.5058,1.5771
Tanay,1.0056,0.0321,1.9167,1.0054,0.5025,0.0844,1.9412,2.0,1.506,1.644
Taytay (RL),1.0435,0.0335,1.9167,1.0879,0.7718,0.3722,1.9118,2.0,1.5037,1.5181
Teresa,1.0032,0.0292,1.875,1.0024,0.3918,0.1919,1.8824,2.0,1.5006,1.5087
