Price,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,LRTHubDist,BusCount,MallCount,SchoolCount,HospitalCount,ATMCount,employment_generation,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,safety_compliant_business,DBSCAN_Cluster
40000000.0,5.0,0.0,700.0,0.0,0.790786555433662,15,2,15,10,12,0.1654,0.3167,0.0555,0.0567,0.8881,0
60000000.0,19.0,0.0,1818.16,0.0,1.85923471695954,6,3,17,2,3,0.1654,0.3167,0.0555,0.0567,0.8881,0
31500000.0,5.0,5.0,268.0,0.0,0.421714679829262,8,0,19,6,8,0.1654,0.3167,0.0555,0.0567,0.8881,0
25000000.0,10.0,10.0,304.0,0.0,3.17052059906158,15,0,11,3,1,0.1654,0.3167,0.0555,0.0567,0.8881,0
35000000.0,27.0,0.0,0.0,0.0,2.80419759670723,2,0,9,1,0,0.1654,0.3167,0.0555,0.0567,0.8881,0
30000000.0,1.0,1.0,23.0,0.0,11.5935890362897,0,0,5,0,0,0.1654,0.3167,0.0555,0.0567,0.8881,0
7800000.0,6.0,6.0,55.0,0.0,17.4717437310338,3,0,7,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,0
8231000.0,8.0,4.0,333.0,0.0,6.04094733764193,9,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
18500000.0,2.0,0.0,101.0,0.0,22.698437081916,0,0,3,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,0
22000000.0,1.0,0.0,0.0,0.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,0
100000000.0,1.0,1.0,225.0,0.0,37.1022594958161,1,0,2,0,1,0.1088,0.0136,0.0487,0.0026,0.2485,-1
9900000.0,4.0,0.0,588.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
4900000.0,1.0,0.0,262.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
3600000.0,3.0,3.0,100.0,0.0,12.3221941799372,0,2,6,1,1,0.169,0.0006,0.0934,0.0181,0.3365,0
4900000.0,1.0,0.0,262.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
9900000.0,1.0,0.0,576.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
9900000.0,1.0,0.0,588.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
4900000.0,1.0,0.0,262.0,0.0,7.20042290971307,0,1,5,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
25000000.0,12.0,12.0,0.0,0.0,5.19336427601247,0,0,13,0,1,0.254,0.0116,0.2906,0.0843,1.043,0
650311600.0,169.0,169.0,10059.0,0.0,42.5688392787028,0,0,0,0,0,0.1218,0.0016,0.0136,0.0152,0.2777,-1
115000000.0,16.0,0.0,2000.0,0.0,22.698437081916,0,0,3,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,-1
5000000.0,1.0,1.0,160.0,0.0,17.7986470414089,27,2,3,2,18,0.5837,0.0121,0.1525,0.2494,1.4727,0
3450000.0,2.0,2.0,84.0,0.0,12.1965796701453,0,0,1,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,0
20000000.0,23.0,0.0,0.0,0.0,8.52328641669399,0,0,1,0,0,0.3727,0.0,0.1187,0.0,0.6357,0
18000000.0,14.0,14.0,670.0,0.0,40.3785718386616,0,0,2,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,-1
4800000.0,3.0,3.0,96.0,0.0,22.1043837216916,0,0,1,0,0,0.3407,0.0132,0.703,0.0155,1.4269,-1
11000000.0,10.0,9.0,270.0,0.0,0.370363744145301,11,0,20,3,0,0.3538,0.0121,0.1372,0.0301,0.947,0
60000000.0,19.0,18.0,650.0,0.0,1.91273749969715,7,1,11,0,2,0.1593,0.1281,0.0403,0.0,0.2772,0
60000000.0,19.0,19.0,900.0,0.0,1.91273749969715,7,1,11,0,2,0.1593,0.1281,0.0403,0.0,0.2772,0
15000000.0,3.0,3.0,292.0,0.0,1.91273749969715,7,1,11,0,2,0.1593,0.1281,0.0403,0.0,0.2772,0
8500000.0,2.0,1.0,150.0,0.0,5.71267280725422,0,0,12,2,0,0.1593,0.1281,0.0403,0.0,0.2772,0
6500000.0,5.0,5.0,220.0,0.0,1.93263753761573,14,0,14,1,0,0.1593,0.1281,0.0403,0.0,0.2772,0
7000000.0,5.0,4.0,300.0,0.0,2.29178686701429,4,0,13,0,1,0.1593,0.1281,0.0403,0.0,0.2772,0
16000000.0,6.0,0.0,400.0,0.0,4.60459941732289,24,1,12,2,3,0.1593,0.1281,0.0403,0.0,0.2772,0
23000000.000000004,16.0,8.0,550.0,0.0,7.00455244741367,1,0,7,0,1,0.1593,0.1281,0.0403,0.0,0.2772,0
38000000.00000001,22.0,23.0,850.0,0.0,1.13179688310046,9,0,11,5,0,0.1593,0.1281,0.0403,0.0,0.2772,0
9500000.0,10.0,10.0,350.0,0.0,6.231178122715,12,1,3,0,6,0.1593,0.1281,0.0403,0.0,0.2772,0
26000000.0,4.0,3.0,310.0,0.0,3.33459740098565,21,1,11,4,2,0.1593,0.1281,0.0403,0.0,0.2772,0
18000000.0,11.0,11.0,450.0,0.0,3.59794852654164,0,0,17,4,1,0.1593,0.1281,0.0403,0.0,0.2772,0
35000000.0,13.0,13.0,500.0,0.0,2.1701569035164,9,1,7,2,2,0.1593,0.1281,0.0403,0.0,0.2772,0
17500000.0,12.0,11.0,420.0,0.0,8.39823224560783,3,0,2,0,0,0.1593,0.1281,0.0403,0.0,0.2772,0
22000000.0,8.0,8.0,60.0,0.0,8.17997233732319,3,0,2,0,0,0.1593,0.1281,0.0403,0.0,0.2772,0
25000000.0,14.0,28.0,850.0,0.0,4.89259455886982,12,1,15,3,3,0.1593,0.1281,0.0403,0.0,0.2772,0
25000000.0,6.0,0.0,700.0,0.0,1.93263753761573,14,0,14,1,0,0.1593,0.1281,0.0403,0.0,0.2772,0
70000000.0,45.0,45.0,1200.0,0.0,6.231178122715,12,1,3,0,6,0.1593,0.1281,0.0403,0.0,0.2772,0
19000000.000000004,19.0,19.0,530.0,0.0,5.71267280725422,0,0,12,2,0,0.1593,0.1281,0.0403,0.0,0.2772,0
4500000.0,1.0,0.0,0.0,0.0,6.231178122715,12,1,3,0,6,0.1593,0.1281,0.0403,0.0,0.2772,0
22000000.0,20.0,20.0,411.0,0.0,2.1701569035164,9,1,7,2,2,0.1593,0.1281,0.0403,0.0,0.2772,0
65000000.0,22.0,22.0,1020.0,0.0,2.08563204474411,6,0,13,0,1,0.1593,0.1281,0.0403,0.0,0.2772,0
20000000.0,10.0,10.0,450.0,0.0,4.89259455886982,12,1,15,3,3,0.1593,0.1281,0.0403,0.0,0.2772,0
40000000.0,28.0,0.0,0.0,0.0,8.17997233732319,3,0,2,0,0,0.1593,0.1281,0.0403,0.0,0.2772,0
7000000.0,6.0,6.0,160.0,0.0,0.216167064459452,11,0,8,3,0,0.1593,0.1281,0.0403,0.0,0.2772,0
20000000.0,4.0,3.0,161.0,0.0,8.17997233732319,3,0,2,0,0,0.1593,0.1281,0.0403,0.0,0.2772,0
22000000.0,21.0,14.0,0.0,0.0,7.83931926632118,4,0,5,0,2,0.2558,0.1939,0.1235,0.0954,0.2329,0
85000000.0,58.0,43.0,1243.0,0.0,7.83931926632118,4,0,5,0,2,0.2558,0.1939,0.1235,0.0954,0.2329,0
25530000.0,18.0,15.0,359.0,0.0,7.83931926632118,4,0,5,0,2,0.2558,0.1939,0.1235,0.0954,0.2329,0
55000000.0,14.0,7.0,750.0,0.0,2.2691232871012,4,0,16,0,5,1.0473,0.2141,1.3742,0.0185,0.7263,0
18500000.0,1.0,1.0,221.75,0.0,5.01926971326027,15,1,16,1,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
27000000.000000004,1.0,1.0,277.2,0.0,5.01926971326027,15,1,16,1,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
23000000.000000004,3.0,2.0,152.0,0.0,1.54070787187374,16,2,18,1,24,1.0473,0.2141,1.3742,0.0185,0.7263,0
32500000.0,6.0,0.0,0.0,0.0,1.55922466738988,40,4,15,1,40,1.0473,0.2141,1.3742,0.0185,0.7263,0
28000000.0,10.0,9.0,123.0,0.0,6.1884056296837,10,3,14,3,15,1.0473,0.2141,1.3742,0.0185,0.7263,0
43900000.0,20.0,20.0,0.0,0.0,2.28037737500924,15,2,12,1,15,1.0473,0.2141,1.3742,0.0185,0.7263,0
205000000.0,26.0,0.0,1470.0,0.0,0.891694090278903,20,2,21,2,13,1.0473,0.2141,1.3742,0.0185,0.7263,0
1282000000.0,82.0,0.0,5128.0,0.0,3.97002691103628,8,3,14,0,15,1.0473,0.2141,1.3742,0.0185,0.7263,-1
12000000.0,7.0,0.0,140.0,0.0,6.73847589464718,14,5,37,2,9,1.0473,0.2141,1.3742,0.0185,0.7263,0
180000000.0,55.0,0.0,0.0,0.0,4.82308338829801,5,2,21,0,4,1.0473,0.2141,1.3742,0.0185,0.7263,0
48000000.0,4.0,4.0,685.0,0.0,1.29813630709615,25,3,14,1,14,1.0473,0.2141,1.3742,0.0185,0.7263,0
11000000.0,2.0,2.0,104.0,0.0,1.54070787187374,16,2,18,1,24,1.0473,0.2141,1.3742,0.0185,0.7263,0
60000000.0,7.0,8.0,720.0,0.0,3.95371363554156,8,3,14,0,15,1.0473,0.2141,1.3742,0.0185,0.7263,0
90000000.0,21.0,20.0,800.0,0.0,4.68523882842933,11,1,20,1,8,1.0473,0.2141,1.3742,0.0185,0.7263,0
28000000.0,10.0,19.0,300.0,0.0,6.1884056296837,10,3,14,3,15,1.0473,0.2141,1.3742,0.0185,0.7263,0
32000000.0,10.0,11.0,400.0,0.0,3.00150108604283,4,3,8,0,3,1.0473,0.2141,1.3742,0.0185,0.7263,0
196080000.0,6.0,6.0,0.0,0.0,1.54070787187374,16,2,18,1,24,1.0473,0.2141,1.3742,0.0185,0.7263,0
30000000.0,14.0,0.0,480.0,0.0,6.1884056296837,10,3,14,3,15,1.0473,0.2141,1.3742,0.0185,0.7263,0
95000000.0,25.0,0.0,1100.0,0.0,5.35473689858411,19,1,22,1,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
