PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),2.9692,4.1667,3.9611,2.5000,2.5000,1.3510,2.5000,1.5490,1.1975,1.3115
Caloocan,1.1740,1.4927,1.3110,0.8601,0.7508,0.4672,0.7241,0.6903,0.4724,0.4734
Manila,4.1667,3.1629,4.1667,1.2566,1.5864,1.1868,1.3254,1.2852,1.2199,1.1539
Pasay,1.0118,1.2951,0.5182,1.2465,1.5449,0.7547,0.9068,0.9837,0.5876,0.5909
Paranaque,1.9659,2.9514,1.2561,0.6194,0.8146,0.3390,0.4741,0.4506,0.3542,0.3316
Las Pinas,0.7023,0.5927,0.4295,0.3031,0.3262,0.1841,0.2827,0.2951,0.2331,0.2592
Valenzuela,0.8837,0.7842,0.5802,0.2836,0.2732,0.2051,0.2267,0.2632,0.1874,0.1681
Pasig,-,1.2113,3.6048,1.9804,1.2162,0.9972,1.0749,1.1303,0.8722,0.9254
Taguig,-,0.2794,0.5069,0.3623,0.6773,0.5419,0.6115,0.7579,0.6361,0.7034
Marikina,0.6553,0.4031,0.2901,0.1332,0.1609,0.1268,0.1713,0.1688,0.1584,0.1507
San Juan (MM),-,0.3033,0.1267,0.0647,0.1239,0.1135,0.1238,0.1313,0.1302,0.1290
Mandaluyong,1.4344,1.0716,0.5126,0.2290,0.2937,0.1596,0.1949,0.1500,0.1374,0.1423
Makati,2.4590,2.6600,2.2009,1.2403,1.3764,0.6843,0.8463,0.7434,0.5828,0.6374
Malabon,0.4824,0.4689,0.3027,0.0000,0.0715,0.0518,0.0763,0.0830,0.0412,0.0619
Navotas,0.4504,0.2275,0.1662,0.0623,0.0000,0.0134,0.0117,0.0170,0.0068,0.0052
Muntinlupa,1.0993,1.1694,0.7167,0.4394,0.4443,0.5091,0.6015,0.6194,0.5232,0.5670
Pateros,1.1173,1.5654,1.2908,0.6566,0.0755,0.3767,0.3551,0.3072,0.2289,0.2060
Alfonso,0.5121,0.4144,0.3170,0.2525,0.0405,0.1722,0.1494,0.1523,0.2075,0.2981
Amadeo,-,-,0.1543,0.0397,0.0294,0.1149,0.1327,0.1403,0.1089,0.1021
Bacoor,0.5934,1.2931,2.3268,1.8600,1.4677,0.7129,0.8337,1.3440,1.1961,1.0913
Carmona,1.0242,0.9899,0.9737,0.7828,0.1325,0.5680,0.6023,0.5663,0.5051,0.6155
Cavite,0.2135,0.0000,0.0000,0.5800,0.4146,0.3014,0.2621,0.2937,0.1516,0.1547
Dasmarinas,0.6468,1.4136,2.6064,2.0467,1.4469,1.3029,1.1494,1.4417,1.0652,1.2939
Gen. Emilio Aguinaldo,-,-,0.0772,0.0529,0.0419,0.0250,0.3729,0.2840,0.2178,0.2530
Gen. Mariano Alvarez,1.3966,1.3582,1.2681,0.8081,0.1252,0.5303,0.5268,0.6328,0.3922,0.4874
General Trias,2.3743,2.3711,2.2645,0.7600,0.5182,0.3900,0.4802,0.4494,0.3681,0.4462
Imus,0.5464,1.1865,2.2096,1.8667,1.2852,1.0009,1.2591,1.3681,0.7169,0.8375
Indang,0.4888,0.4374,0.4076,0.2652,0.0460,0.1953,0.2680,0.2620,0.1644,0.2213
Kawit,1.3734,1.5654,1.3813,0.8081,0.1252,0.5632,0.5277,0.3923,0.2906,0.3292
Magallanes (CE),-,-,0.2315,0.0661,0.0168,0.0452,0.0805,0.1416,0.0859,0.0669
Maragondon,-,0.8475,0.7716,0.1852,0.0587,0.1717,0.3173,0.3178,0.2346,0.1581
Mendez,-,-,0.9259,0.1587,0.0378,0.0897,0.2860,0.3809,0.1699,0.1576
Naic,1.1872,1.2201,1.1549,0.6692,0.1289,0.4999,0.4268,0.3708,0.4014,0.6503
Noveleta,-,2.6130,2.4691,0.3968,0.1342,0.5852,0.7328,0.7520,0.2577,0.6099
Rosario (CE),1.7691,1.7726,1.5851,0.7449,0.1123,0.6375,0.6827,0.4685,0.5299,0.4597
Silang,2.3743,2.4171,2.1513,1.6667,0.2688,1.2520,1.1692,1.1225,1.0841,0.9855
Tagaytay,0.1323,0.3383,0.6043,0.5200,0.3856,0.4781,0.4424,0.4184,0.3936,0.3945
Tanza,1.6061,1.6114,1.5399,1.0227,0.1491,0.5588,0.5373,0.4827,0.7074,0.6159
Ternate,-,-,0.2315,0.0397,0.0084,0.1303,0.1551,0.1831,0.0800,0.0817
Trece Martires,0.0683,0.1669,0.2976,0.2000,0.2488,0.2282,0.2824,0.3322,0.3139,0.2240
Angono,1.4199,1.4273,1.3361,1.4268,0.2228,1.4076,1.4536,1.2248,0.6668,0.5211
Antipolo,0.5678,1.2514,2.3088,1.8800,1.2521,0.7437,0.9503,1.3549,1.1947,1.0865
Baras (RL),-,0.6356,0.6173,0.1455,0.0419,0.2557,0.3332,0.4193,0.2769,0.4505
Binangonan,1.5596,1.4963,1.4493,1.0985,0.2246,0.9197,0.7087,0.9470,1.0203,1.0806
Cainta,4.0968,4.1667,3.7817,2.4242,0.3553,1.0345,1.1109,1.3869,1.2329,1.2347
Cardona,-,0.4944,0.5401,0.1852,0.0755,0.0538,0.1281,0.2852,0.1296,0.1533
Jalajala,-,0.1412,0.2315,0.0794,0.0294,0.0080,0.0616,0.1467,0.0859,0.1542
Morong (RL),-,1.0359,0.9964,0.5934,0.0810,0.2967,0.2622,0.4177,0.3575,0.4997
Pililla,0.1629,0.1842,0.2264,0.1389,0.0239,0.0980,0.1524,0.1316,0.1745,0.2126
Rodriguez,1.6527,1.9797,1.8795,1.1742,0.1823,0.7216,0.6844,1.0319,0.6939,0.6782
San Mateo (RL),1.7458,1.7035,1.6757,0.9722,0.1454,0.4498,0.8101,0.7668,0.7240,0.6491
Tanay,1.7691,2.2790,2.2418,0.9848,0.1583,0.4421,0.4079,0.5772,0.7678,0.6234
Taytay (RL),2.6769,2.9006,2.6495,1.6162,0.2596,0.8730,0.8325,1.0728,1.1434,1.2436
Teresa,0.3957,0.3223,0.2944,0.1641,0.0350,0.1319,0.1099,0.1746,0.1752,0.1817
