PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,2.5227,2.8965,1.5350,1.5468,1.6299,2.5000,1.2685,1.4690,1.4609
Caloocan,3.0330,2.5615,2.0288,1.3732,1.4337,1.5720,1.4915,1.2364,1.4249,1.3764
Manila,0.0000,2.8599,2.0822,1.5014,1.3741,1.3359,1.3987,1.2104,1.3991,1.2995
Pasay,2.8993,2.9809,2.3458,1.3596,1.2469,1.5118,1.5336,1.1852,1.5261,1.4822
Paranaque,2.9270,3.1421,2.2433,1.3845,1.2428,1.6893,1.5922,1.2332,1.4575,1.4267
Las Pinas,2.5104,3.0377,2.6430,1.4300,1.3716,1.5294,1.1637,1.2756,1.1414,1.3794
Valenzuela,2.9953,3.0458,2.6408,1.3129,1.3652,1.7977,1.5752,1.0499,1.4145,1.2028
Pasig,-,2.9916,2.8477,1.6016,1.5606,1.3597,1.3664,1.2502,1.4582,1.3384
Taguig,-,1.5747,1.6164,1.3721,1.3212,1.3726,1.4047,1.1255,1.1376,1.2285
Marikina,3.0190,2.9394,2.8500,1.6238,1.6752,1.6682,1.6796,1.3293,1.5458,1.4106
San Juan (MM),-,0.0118,2.0368,1.5670,1.4167,1.5716,1.4179,1.2292,1.6150,1.4938
Mandaluyong,2.8566,2.3149,2.5177,1.4833,1.1606,1.4331,1.1561,1.2883,1.4384,1.4006
Makati,1.5855,2.2249,2.2433,1.1682,1.1724,1.2280,1.1948,1.0704,1.1776,1.0128
Malabon,2.4337,2.9496,2.3414,1.3124,1.3588,1.6446,1.4319,1.2989,1.5072,1.1834
Navotas,0.0000,2.0063,2.1141,0.9758,1.4838,1.6520,1.6085,1.2920,0.9116,1.3818
Muntinlupa,3.1092,3.1201,2.7154,1.6094,1.6494,1.6925,1.5787,1.3279,1.5401,1.3622
Pateros,1.7754,1.3508,0.6713,1.2403,1.5718,1.1064,1.3233,1.6084,1.5041,1.3050
Alfonso,2.8691,3.3459,3.6332,2.2359,2.1806,2.0368,2.1936,2.1375,1.8518,1.6738
Amadeo,-,-,2.7596,1.5812,1.8876,2.0179,2.1955,2.2675,1.8985,1.5612
Bacoor,3.3376,3.2292,3.1311,1.6746,1.8142,1.8490,1.5697,1.5347,1.2841,1.0600
Carmona,3.4695,3.6048,3.4877,2.0700,2.0625,2.0108,2.1668,2.1804,1.8296,1.6098
Cavite,0.8836,2.0723,2.5587,1.4864,1.8825,1.8469,1.7468,1.6885,1.4064,1.3651
Dasmarinas,2.8383,2.8453,2.3713,1.8183,2.0154,1.6892,1.6690,1.8240,1.4420,1.2217
Gen. Emilio Aguinaldo,-,-,3.6324,2.0092,2.1180,2.1228,2.2967,2.3740,1.6775,1.5655
Gen. Mariano Alvarez,3.4408,3.5128,3.4522,1.9911,2.0347,1.9976,2.1401,2.0778,1.7642,1.5066
General Trias,3.4458,3.4787,3.5915,1.8683,1.9302,1.8126,1.8683,1.7299,1.4458,1.2953
Imus,3.3340,3.1998,3.1808,1.8423,1.8373,1.8147,1.6884,1.5495,1.3350,1.2757
Indang,0.3770,0.8043,1.6258,1.4678,2.1775,1.9545,2.2088,2.2706,1.8239,1.6717
Kawit,2.2508,3.0102,2.7917,2.0554,2.0951,1.9940,1.9905,2.1188,1.7116,1.3850
Magallanes (CE),-,-,3.2502,1.9245,1.9275,1.8962,2.0344,1.9383,1.8985,1.5751
Maragondon,-,2.7310,3.4441,1.8706,1.9178,1.9957,2.0524,1.8168,1.8616,1.5820
Mendez,-,-,2.4723,1.7658,1.8212,2.0206,2.2153,2.0903,1.8560,1.5975
Naic,0.8869,3.3011,3.1409,2.0957,2.1483,2.0649,2.2519,2.2316,1.8595,1.6372
Noveleta,-,3.3870,3.4963,1.9386,2.0292,1.9334,2.1821,2.0747,1.7731,1.5630
Rosario (CE),0.3154,2.4662,3.0952,2.0370,1.8893,2.0490,2.1923,1.9991,1.8288,1.5835
Silang,2.6616,3.0639,3.5090,2.1145,2.1385,2.0463,2.1635,2.2038,1.8222,1.5781
Tagaytay,3.4038,3.1853,2.9163,1.4837,1.7339,1.8159,1.8883,1.9440,1.4649,1.3273
Tanza,2.1940,3.0031,3.0693,1.7319,2.1463,2.1510,2.2918,2.2180,1.8318,1.5510
Ternate,-,-,3.6148,1.9997,2.0456,2.0796,2.2043,2.2756,1.8642,1.6083
Trece Martires,1.9863,2.8872,3.2224,1.8906,1.8806,1.8012,1.9292,1.8882,1.4255,1.2173
Angono,2.4931,3.6455,3.5297,2.2016,2.2268,2.0386,2.2320,2.2177,1.8516,1.6673
Antipolo,3.1259,3.0653,3.2440,1.8205,1.9313,1.9529,1.8806,1.8492,1.5079,1.3771
Baras (RL),-,3.2899,3.5594,1.9675,2.0771,2.0348,2.2770,2.1764,1.8882,1.5882
Binangonan,0.3589,3.7231,3.3694,2.0641,2.1517,2.0500,2.1848,2.1999,1.8330,1.6483
Cainta,0.9008,2.5587,2.9437,1.7542,1.8433,1.8076,2.0232,2.0608,1.7372,1.4442
Cardona,-,2.3542,2.8155,1.5648,2.0834,2.0799,2.2852,2.3711,1.8890,1.5570
Jalajala,-,2.1764,2.2995,1.9921,1.9205,2.0760,2.3010,2.1509,1.9044,1.5865
Morong (RL),-,2.7441,3.1771,2.1338,2.1675,2.1096,2.1986,2.1414,1.8745,1.6405
Pililla,2.7223,3.6831,3.6229,2.1669,1.9655,2.0688,2.2106,1.9198,1.8693,1.6178
Rodriguez,3.3235,3.0438,3.2777,1.9409,2.0967,2.0253,1.8644,2.1967,1.8524,1.5913
San Mateo (RL),3.2784,3.5821,3.5366,2.0958,2.1549,2.1034,2.1920,2.1141,1.8453,1.6123
Tanay,2.7509,3.5925,3.5272,2.1166,2.1364,2.0737,2.2043,2.2023,1.8291,1.5871
Taytay (RL),2.0716,3.2030,3.1173,1.8782,1.9327,1.8808,2.0460,2.0735,1.7736,1.4859
Teresa,3.3157,3.6955,3.6239,2.1394,2.1869,2.0436,2.2414,2.3357,1.8768,1.7246
