PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,2.5000,1.2255,2.0000,0.7925
Caloocan,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Manila,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Pasay,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Paranaque,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Las Pinas,4.0385,3.9773,3.0952,1.6667,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Valenzuela,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Pasig,-,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Taguig,-,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Marikina,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
San Juan (MM),-,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Mandaluyong,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Makati,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Malabon,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Navotas,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Muntinlupa,4.0385,3.9773,3.0952,2.2222,0.3333,0.9868,1.1719,1.2255,2.0000,0.7925
Pateros,4.0709,2.8052,3.2500,1.8581,0.8796,1.0714,0.9483,1.5625,1.8990,0.8844
Alfonso,3.6877,3.3915,2.7500,1.9257,1.4352,2.1429,0.7759,1.1250,1.8606,1.0884
Amadeo,-,-,2.7500,1.7672,1.4352,1.7500,0.9375,1.1250,1.9994,1.2000
Bacoor,3.5256,3.1703,2.7500,1.7672,1.5816,1.3889,1.7254,1.0714,0.8974,1.1130
Carmona,3.6877,3.3915,2.7500,1.9257,1.4352,1.3889,0.7759,1.1250,1.8606,1.0884
Cavite,3.5256,3.2197,2.3810,1.7672,1.5816,1.3889,1.7254,1.0714,1.4359,1.1130
Dasmarinas,3.5256,3.1703,2.7500,1.7672,1.5816,1.3889,1.7254,1.0714,0.8974,1.1130
