PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),1.0509,2.2099,2.0354,0.8360,0.5186,0.4774,2.5000,0.5981,0.3329,0.4807
Caloocan,0.2436,0.6034,1.5642,0.0858,0.0749,0.0743,0.0401,0.0643,0.0464,0.0555
Manila,1.0309,0.9838,1.5933,0.7948,0.4131,0.3583,0.2552,0.4445,0.2959,0.3591
Pasay,0.3499,0.3501,0.3674,1.3462,2.2099,2.2009,2.5000,2.2894,2.0000,2.0000
Paranaque,0.4867,0.8658,1.0826,0.8344,0.4179,0.4420,0.2627,0.4546,0.3112,0.3623
Las Pinas,0.2841,0.4568,0.4168,0.0973,0.0554,0.0502,0.0472,0.0592,0.0945,0.0403
Valenzuela,0.4137,0.8325,0.7351,0.2503,0.1361,0.1285,0.0813,0.1375,0.1319,0.1020
Pasig,-,0.7292,0.9794,0.6024,0.3538,0.3376,0.2222,0.6290,0.3289,0.3283
Taguig,-,0.9587,0.8572,1.2693,0.7151,0.7774,0.0000,0.6518,0.4240,0.5038
Marikina,1.3484,0.3939,0.3966,0.0645,0.0400,0.0319,0.0000,0.0412,0.0271,0.0278
San Juan (MM),-,0.2114,0.2516,0.1039,0.0545,0.0639,0.0301,0.0556,0.0345,0.0335
Mandaluyong,1.5235,1.5890,0.6393,0.3455,0.2164,0.1987,0.1235,0.2328,0.1366,0.4071
Makati,1.7861,2.3449,2.9784,2.5000,1.8587,1.7682,0.6624,1.9288,1.3536,1.3742
Malabon,0.1156,0.0875,0.1682,0.0366,0.0240,0.0202,0.0139,0.0243,0.0185,0.0136
Navotas,0.7581,0.0432,0.0533,0.0418,0.0264,0.0173,0.0133,0.0232,0.0128,0.0144
Muntinlupa,0.4386,1.0840,0.6084,0.3756,0.2319,0.2158,0.0985,0.2305,0.1565,0.1235
Pateros,0.4363,0.2115,0.1980,0.0812,0.0625,0.3943,0.0178,0.4111,0.0164,0.0340
Alfonso,0.4348,0.2033,0.1902,0.0218,0.0158,0.0023,0.0044,0.0165,0.0070,0.0136
Amadeo,-,-,0.6779,0.0102,0.1609,0.0467,0.1471,0.0668,0.0151,0.0578
Bacoor,0.4453,1.9312,1.3061,0.1388,0.1914,0.1896,0.2179,0.2169,0.2395,0.1372
Carmona,0.8275,0.4960,0.6352,0.7140,1.2880,0.1178,0.2939,1.2529,0.4885,0.9584
Cavite,0.0512,0.0173,0.0108,0.0092,0.0242,0.0110,0.0127,0.0140,0.0180,0.0176
Dasmarinas,0.2923,1.7259,1.3019,0.2180,0.3110,0.3034,0.4227,0.3525,0.2954,0.1525
Gen. Emilio Aguinaldo,-,-,0.2049,0.0118,0.0184,0.0249,0.1101,0.2238,0.0672,0.1271
Gen. Mariano Alvarez,0.7292,0.3124,0.3217,0.0608,0.0694,0.0258,0.0197,0.0702,0.0182,0.0418
General Trias,3.5161,2.3536,2.3004,0.8745,1.1496,1.3998,1.2313,0.8142,1.0805,0.7030
Imus,0.2239,2.1011,2.2581,0.7504,1.0072,0.8579,0.9032,0.3495,0.3412,0.2906
Indang,0.5785,0.2823,0.2792,0.0193,0.0208,0.0131,0.0149,0.0016,0.0143,0.0158
Kawit,0.4698,0.3541,0.3167,0.0962,0.0557,0.0551,0.0470,0.1374,0.0586,0.1131
Magallanes (CE),-,-,0.1695,0.0119,0.0077,0.0570,0.0944,0.0134,0.0075,0.0150
Maragondon,-,0.3799,0.4548,0.0046,0.0202,0.0644,0.0311,0.0331,0.0056,0.0544
Mendez,-,-,1.4903,0.0049,0.0279,0.0671,0.1061,0.0721,0.0740,0.0527
Naic,0.6212,0.3119,1.5322,0.0654,0.0512,0.0189,0.0226,0.0457,0.0295,0.0441
Noveleta,-,0.5566,0.6106,0.0111,0.1094,0.1132,0.1301,0.1614,0.0241,0.1187
Rosario (CE),0.5789,0.3539,0.3479,0.0740,0.1537,0.0344,0.0773,0.5244,0.0659,0.0934
Silang,0.9904,0.5792,0.5595,0.2393,0.4053,0.0781,0.1608,0.3677,0.1723,0.3241
Tagaytay,0.0408,0.3896,0.3032,0.0829,0.1069,0.0781,0.0787,0.0757,0.0584,0.0487
Tanza,0.5956,0.4462,0.5969,0.0827,0.0753,0.2038,0.0822,0.1570,0.0915,0.1551
Ternate,-,-,0.1442,0.0016,0.0124,0.0135,0.0180,0.0009,0.0014,0.0063
Trece Martires,0.0544,0.2885,0.4012,0.0924,0.0649,0.0680,0.0780,0.1148,0.1208,0.0505
Angono,0.7398,0.4037,0.4085,0.1854,0.0991,0.0214,0.0272,0.1985,0.0482,0.0864
Antipolo,0.2476,1.7197,1.3529,0.2341,0.3443,0.3062,0.3376,0.3136,0.3099,0.3716
Baras (RL),-,0.3393,0.1933,0.0087,0.0625,0.2302,0.6826,0.1045,0.4353,0.1415
Binangonan,1.2967,0.7938,0.8266,0.2283,0.1754,0.0615,0.0527,0.2046,0.0840,0.1337
Cainta,0.0134,0.9479,1.4034,0.7457,1.3193,0.2372,0.8364,1.0607,0.4711,0.6745
Cardona,-,0.2520,0.2949,0.0023,0.0134,0.0410,0.0666,0.0404,0.0068,0.0344
Jalajala,-,0.2576,0.1726,0.0015,0.0085,0.0153,0.0315,0.0296,0.0079,0.0322
Morong (RL),-,0.1406,0.1519,0.0209,0.0442,0.0102,0.0925,0.2578,0.1205,0.1547
Pililla,0.1352,0.1169,0.0936,0.0402,0.0331,0.0059,0.0178,0.0267,0.0735,0.0162
Rodriguez,1.3620,0.5189,0.5265,0.0763,0.1482,0.0337,0.0467,0.1354,0.0637,0.0905
San Mateo (RL),1.0879,0.6815,0.6065,0.1037,0.1796,0.0423,0.0702,0.3497,0.0839,0.0981
Tanay,0.5597,0.4751,0.2872,0.0540,0.0980,0.0166,0.0267,0.1203,0.0419,0.0701
Taytay (RL),2.2632,1.1885,1.2184,0.3725,0.5620,0.0892,0.2163,0.6150,0.2607,0.3635
Teresa,0.4510,0.2169,0.1262,0.0640,0.1085,0.0163,0.0395,0.0911,0.0347,0.0572
