PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),1.2711,1.0867,2.6105,2.5000,1.4229,2.2294,2.5000,1.8753,0.5892,0.6080
Caloocan,0.1148,0.5059,0.3012,0.2140,0.1802,0.2831,0.4717,0.3838,0.1680,0.1278
Manila,1.5947,0.5812,2.6371,1.7010,1.4836,1.6762,2.2954,1.8003,0.8560,0.8191
Pasay,0.8318,0.8150,0.4146,0.2396,0.9368,0.3791,0.5848,0.4639,0.8681,1.0220
Paranaque,0.1867,0.5574,0.3357,0.2902,0.3864,0.2610,0.3025,0.2534,0.3606,0.1950
Las Pinas,0.1093,0.1489,0.2535,0.0940,0.1141,0.0317,0.1429,0.0431,0.0269,0.0133
Valenzuela,0.6402,0.9951,0.5534,0.1497,0.4826,0.2379,0.3837,0.3418,0.3449,0.2914
Pasig,-,0.2774,1.1653,0.3951,0.9769,0.4104,0.6093,0.5358,0.6464,0.6284
Taguig,-,0.1417,1.3188,0.8139,0.9750,0.1483,0.2640,0.7114,0.2835,0.5793
Marikina,0.7752,0.8056,0.4103,0.2487,0.5817,0.1793,0.2779,0.1676,0.1638,0.3399
San Juan (MM),-,0.4720,0.2757,0.1914,1.8704,0.0947,0.1434,0.1186,0.8494,1.2556
Mandaluyong,0.3981,0.8324,0.5703,0.1338,0.9727,0.1984,0.3196,0.2531,0.5038,0.4680
Makati,1.7188,2.1898,1.2661,0.4080,0.9921,0.3418,0.5572,0.4258,0.6021,0.6316
Noveleta,-,0.6188,0.7616,0.5199,0.0000,0.2815,0.2324,0.2491,0.0552,0.0151
Rosario (CE),0.0857,0.1970,0.1804,0.1776,0.0000,0.1936,0.1973,0.2572,0.0027,0.2974
Naic,0.0322,0.1419,0.3213,0.2190,0.0000,0.2131,0.2221,0.2238,0.0020,0.1586
Amadeo,-,-,0.1156,0.0959,0.0000,0.2336,0.1967,0.2009,0.0351,0.0136
Indang,0.0268,0.0534,0.0854,0.0665,0.0000,0.0821,0.0714,0.0585,0.0006,0.1408
Kawit,0.0402,0.0852,0.1057,0.1091,0.0000,0.3781,0.4015,0.3094,0.0029,0.3001
Carmona,0.0643,0.1940,0.3030,0.2869,0.0000,0.3614,0.3503,0.4197,0.0050,0.3926
Silang,0.0857,0.1912,0.2445,0.4702,0.0000,0.4415,0.4458,0.3214,0.0015,0.2078
Tanza,0.0697,0.1762,0.2591,0.2578,0.0000,0.2047,0.2243,0.2269,0.0021,0.1414
Trece Martires,0.0097,0.2875,0.0921,0.1337,0.1937,0.0637,0.0612,0.1821,0.0822,0.0967
General Trias,0.1206,0.4135,0.7796,0.2548,0.2041,0.2825,0.2807,0.2895,0.1374,0.1034
Alfonso,0.0188,0.0541,0.0761,0.0792,0.0000,0.0514,0.0842,0.0471,0.0014,0.1601
Bacoor,0.0443,1.0839,0.7451,0.5232,0.1921,0.1972,0.1301,0.3524,0.0966,0.0697
Dasmarinas,0.1037,1.7958,0.6867,0.4308,0.2865,0.6501,0.6138,0.7295,0.2186,0.1395
Imus,0.0719,0.3375,0.2153,0.3099,0.1997,0.3738,0.2821,0.3128,0.1011,0.1753
Cavite,0.0387,0.0819,0.0553,0.1220,0.2617,0.1153,0.0855,0.0989,0.2646,0.2190
Tagaytay,0.0055,0.1826,0.1176,0.1101,0.4261,0.1378,0.1102,0.1027,0.6197,0.2735
Angono,1.5404,0.1336,0.2866,0.3538,0.0000,0.5948,0.7244,1.0467,0.0069,0.5375
Antipolo,0.0415,0.3025,0.7895,0.6729,0.3120,0.9000,0.6625,1.0434,0.2485,0.2362
Baras (RL),-,0.4501,0.3929,0.2005,0.0000,0.2300,0.2239,0.1145,0.0490,0.0185
Binangonan,0.1152,0.2604,0.5517,0.4303,0.0000,0.6018,0.3840,1.1500,0.0035,0.2102
Cainta,0.0000,0.5058,1.7946,1.4042,0.0000,1.1108,1.3112,1.5140,0.0048,0.3250
Cardona,-,0.8931,0.7665,0.8437,0.0000,0.3462,0.3035,0.3164,0.0727,0.0428
Jalajala,-,0.0703,0.1352,0.1700,0.0000,0.1291,0.0939,0.0491,0.0593,0.0282
Morong (RL),-,0.0066,0.0792,0.1796,0.0000,0.1745,0.2527,0.3228,0.0035,0.4157
Pililla,0.0295,0.0599,0.1295,0.1249,0.0000,0.2112,0.1097,0.2145,0.0031,0.2247
San Mateo (RL),0.0589,0.1634,0.2940,0.2881,0.0000,0.4987,0.5135,0.6960,0.0036,0.2776
Tanay,0.1608,0.3847,0.4078,0.2637,0.0000,0.2744,0.2420,0.3307,0.0019,0.1723
Taytay (RL),0.1099,0.4283,0.8805,0.7603,0.0000,0.8903,0.8021,0.6817,0.0025,0.1906
Teresa,0.0402,0.1124,0.1704,0.1326,0.0000,0.1784,0.1206,0.1410,0.0023,0.1778
