PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.0000,1.5077,1.1264,0.6521,2.2352,2.5000,2.4205,1.9859,1.6856
Caloocan,0.7271,1.0366,0.6786,0.6325,0.5464,0.4366,0.3900,0.3465,0.2342,0.2297
Manila,1.0123,1.4829,2.4256,1.7582,1.5006,1.5904,1.5584,1.5665,1.2473,1.2581
Pasay,1.4053,2.2094,1.7797,1.4197,1.0993,0.7579,0.9577,0.8424,0.7376,0.6111
Paranaque,1.7283,2.7386,1.1381,1.7150,0.7962,0.6593,0.7449,0.7070,0.6070,0.6191
Las Pinas,0.6815,0.9390,1.8685,0.5861,0.5561,0.1988,0.2638,0.2132,0.1985,0.1670
Valenzuela,0.0000,1.4111,1.4686,1.1410,0.8768,0.3789,0.4136,0.2877,0.3564,0.3067
Pasig,-,1.4287,1.3546,1.2009,0.7047,1.2183,1.1112,0.9276,0.7845,0.7941
Taguig,-,1.9091,1.0433,1.2134,0.5357,1.1066,0.0000,1.0568,1.0767,0.9914
Marikina,1.6435,2.5289,2.1826,1.6438,0.5964,0.1683,0.0000,0.1200,0.0875,0.0947
San Juan (MM),-,2.5336,1.3273,1.0693,0.7803,0.1408,0.1491,0.1760,0.2006,0.1531
Mandaluyong,1.1273,1.6071,0.2395,1.0884,0.6175,0.5066,0.5794,0.4563,0.4500,0.3404
Makati,1.5534,2.3655,2.0820,1.6367,0.9863,1.8488,2.1195,1.7600,1.4225,1.2444
Noveleta,-,0.2529,1.6634,1.2090,0.0000,0.3950,0.4494,0.1890,0.1651,0.1143
Rosario (CE),0.1253,0.1334,1.6724,1.3041,0.0000,0.2865,0.6898,0.0601,0.0177,0.1092
Naic,0.1723,0.1838,1.7694,1.3916,0.0000,0.3519,0.3530,0.0472,0.0127,0.0727
Amadeo,-,-,1.0279,1.1909,0.0000,0.2590,0.3524,0.1055,0.1138,0.1193
Indang,0.1555,0.1658,1.7336,1.3382,0.0000,0.1329,0.2046,0.0273,0.0077,0.0857
Kawit,0.1633,0.1742,1.7174,1.3510,0.0000,0.2537,0.3627,0.0656,0.0333,0.2732
Carmona,0.9374,1.0048,1.7113,1.3344,0.0000,1.5799,1.4332,0.2138,0.1178,0.6813
Silang,0.2675,0.2860,1.7835,1.4022,0.0000,1.0552,1.0008,0.1374,0.0500,0.2928
Tanza,0.1979,0.2113,1.7707,1.3830,0.0000,0.8453,0.6096,0.0755,0.0371,0.2164
Trece Martires,0.2830,0.3579,1.8120,1.4926,1.1972,0.1074,0.1910,0.2071,0.2925,0.2696
General Trias,0.7876,0.8440,1.6879,0.7407,1.3642,0.6962,0.6314,0.6419,1.0441,1.0168
Alfonso,0.1766,0.1884,1.7329,1.3819,0.0000,0.1918,0.2092,0.0348,0.0139,0.1170
Bacoor,0.0000,0.0000,1.7496,1.5134,1.2041,0.6617,0.6004,0.4321,0.8689,0.8471
Dasmarinas,0.0000,0.0000,1.8797,1.5034,1.1598,0.8627,0.7677,0.6698,0.9932,1.0134
Imus,0.0000,0.0000,1.5025,1.2849,1.1724,0.3632,0.6160,0.5022,0.6704,0.5889
Cavite,0.0000,0.7420,2.3784,1.6090,1.1180,0.0764,0.0973,0.1056,0.1062,0.0548
Tagaytay,0.2112,0.2665,1.9238,1.5014,1.0376,0.4317,0.5381,0.3967,0.2780,0.4139
Angono,0.0000,0.0000,1.7427,1.3632,0.0000,0.4434,0.4886,0.0510,0.0245,0.1635
Antipolo,0.2892,0.3658,1.8848,1.5442,1.2985,0.8604,1.1725,0.9324,1.4121,1.4518
Baras (RL),-,0.2532,0.3268,1.2124,0.0000,0.3729,0.5469,0.1783,0.1864,0.2759
Binangonan,0.1903,0.2031,1.7667,1.3743,0.0000,0.4313,0.7309,0.0676,0.0262,0.1992
Cainta,0.0000,0.0000,1.7170,1.3449,0.0000,2.2793,1.5668,0.4175,0.1901,1.1865
Cardona,-,1.7685,1.7213,1.2179,0.0000,0.2955,0.3714,0.0771,0.1995,0.1838
Jalajala,-,0.1534,1.6627,1.1783,0.0000,0.1466,0.2972,0.0614,0.2304,0.3038
Morong (RL),-,0.2537,1.7364,1.3489,0.0000,0.1940,0.1534,0.0206,0.0118,0.0926
Pililla,0.0000,0.0000,1.7710,1.3625,0.0000,0.1507,0.2324,0.0375,0.0105,0.0937
San Mateo (RL),0.2297,0.2454,1.7447,1.3908,0.0000,0.5493,0.9063,0.1020,0.0445,0.2285
Tanay,0.0000,0.0000,1.7883,1.4221,0.0000,0.3856,0.4365,0.0543,0.0222,0.1482
Taytay (RL),0.0000,0.0000,1.7298,1.3538,0.0000,1.3456,1.2752,0.2002,0.0792,0.4900
Teresa,0.0000,0.0000,1.7196,1.3404,0.0000,0.2938,0.2657,0.0351,0.0153,0.0888
