PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,1.9663,1.6296,1.4028,1.9844,1.3978,2.5000,1.2763,2.0000,2.0000
Caloocan,-,2.7442,1.5793,1.7928,1.8843,1.5455,2.2543,2.0137,2.0000,2.0000
Manila,-,2.9057,2.3919,2.1618,2.1514,1.9537,2.4215,2.4214,1.0000,2.0000
Pasay,-,2.5141,1.0175,2.2461,2.3574,2.2968,2.3691,2.3839,2.0000,2.0000
Paranaque,-,2.0628,1.0932,1.0667,1.4785,1.4934,2.0131,1.0196,2.0000,2.0000
Las Pinas,-,2.7824,1.2607,1.5767,1.5671,1.1637,1.5843,2.0871,2.0000,2.0000
Valenzuela,-,3.1266,2.3227,2.1196,2.2349,2.0927,1.7060,1.8403,2.0000,2.0000
Pasig,-,2.5136,1.1009,1.3231,1.8832,2.1015,2.2537,1.1089,2.0000,2.0000
Taguig,-,2.7547,1.2130,1.6768,1.7507,1.4329,1.4531,0.8155,2.0000,2.0000
Marikina,-,2.5027,1.2543,1.5280,2.0861,1.7621,1.9349,1.1444,2.0000,2.0000
San Juan (MM),-,2.5284,1.4980,2.0458,2.1553,2.0370,2.0864,1.5685,2.0000,2.0000
Mandaluyong,-,2.6757,2.1028,2.3304,2.3183,2.0927,2.2226,1.9657,2.0000,2.0000
Makati,-,2.4299,1.9432,2.1921,2.1804,1.9364,2.2655,1.8094,2.0000,2.0000
Noveleta,-,2.8952,1.9833,2.2836,0.0000,2.3740,2.4974,1.9732,2.0000,2.0000
Rosario (CE),-,2.8886,1.7136,2.0173,0.0000,2.2376,2.3125,2.1503,1.0000,2.0000
Naic,-,2.5133,1.8575,2.0523,0.0000,2.2390,2.4206,2.1162,2.0000,2.0000
Amadeo,-,-,2.0244,2.2280,0.0000,2.4029,2.4763,2.1848,2.0000,2.0000
Indang,-,1.3593,1.6609,1.9252,0.0000,2.2500,2.4186,1.7364,1.0000,2.0000
Kawit,-,2.8496,1.8349,2.3358,0.0000,2.3368,2.4703,1.8865,1.0000,2.0000
Carmona,-,2.9808,2.4078,2.3674,0.0000,2.4511,2.4796,2.3256,2.0000,2.0000
Silang,-,2.4124,1.6371,1.7695,0.0000,2.3104,2.1783,1.5132,2.0000,2.0000
Tanza,-,2.8643,2.3499,2.3489,0.0000,2.3836,2.4322,1.7632,2.0000,2.0000
Trece Martires,-,2.4322,2.2345,2.0989,2.1130,2.1455,2.3045,1.5824,2.0000,2.0000
General Trias,-,2.9374,2.8222,2.0766,2.1095,2.2003,2.3340,1.9174,2.0000,2.0000
Alfonso,-,2.8639,1.8198,2.0809,0.0000,2.2554,2.3121,1.9807,2.0000,2.0000
Bacoor,-,2.8590,2.4913,2.1430,2.2637,1.8260,1.6173,0.9375,2.0000,2.0000
Dasmarinas,-,2.3555,2.0826,1.6569,1.9071,1.3849,1.6199,1.1877,2.0000,2.0000
Imus,-,2.6347,2.3473,1.8815,2.1963,2.2304,2.3368,0.9375,2.0000,2.0000
Cavite,-,2.8289,1.4158,1.7799,1.9156,2.1068,2.2639,1.3338,2.0000,2.0000
Tagaytay,-,2.5682,1.8176,1.9571,2.0742,2.0594,2.0897,1.9007,2.0000,2.0000
Angono,-,2.9856,2.2634,2.3335,0.0000,2.4168,2.4811,2.1092,2.0000,2.0000
Antipolo,-,2.6122,2.6552,2.0591,2.1056,2.2466,2.2560,2.0425,2.0000,2.0000
Baras (RL),-,2.9832,2.1596,2.3663,0.0000,2.3612,2.4768,2.2584,2.0000,2.0000
Binangonan,-,2.8135,2.0245,2.2091,0.0000,2.3419,2.3859,2.0794,2.0000,2.0000
Cainta,-,2.5911,2.4913,2.2507,0.0000,2.3116,2.4330,1.9698,2.0000,2.0000
Cardona,-,2.8721,2.1290,2.3107,0.0000,2.3740,2.4948,2.3392,2.0000,2.0000
Jalajala,-,2.7122,1.7269,2.3546,0.0000,2.3729,2.4935,2.2084,2.0000,2.0000
Morong (RL),-,2.8339,1.6222,2.3124,0.0000,2.3801,2.4707,1.7215,2.0000,2.0000
Pililla,-,2.9841,1.6641,2.4169,0.0000,2.3567,2.4443,2.2885,2.0000,2.0000
San Mateo (RL),-,2.7038,1.7193,2.0659,0.0000,2.3960,2.4605,2.2396,2.0000,2.0000
Tanay,-,2.9762,1.8192,2.3078,0.0000,2.2917,2.4216,2.1781,2.0000,2.0000
Taytay (RL),-,2.3992,2.7429,1.8803,0.0000,2.3046,2.2462,1.9528,2.0000,2.0000
Teresa,-,2.9358,1.6433,2.2300,0.0000,2.4807,2.4866,2.3708,2.0000,2.0000
