PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,3.3333,3.2275,2.3125,2.5000,2.3077,2.5000,2.5000,1.6000,1.5000
Caloocan,3.3333,3.3333,3.2275,2.4375,2.5000,2.3077,2.5000,2.5000,1.6000,1.8333
Manila,3.3333,3.3333,3.2275,2.4375,2.4219,2.5000,2.5000,2.3214,1.4000,1.3333
Pasay,3.3333,3.3333,3.2275,2.3125,2.3438,2.1154,2.5000,2.5000,1.6000,2.0000
Paranaque,3.3333,3.3333,3.2804,2.1250,2.5000,2.4038,2.4038,2.1429,1.0000,1.0000
Las Pinas,3.3333,3.3333,3.3333,2.4375,2.4219,2.4038,2.4038,2.3214,1.2000,1.1667
Valenzuela,3.3333,3.3333,2.2222,2.4375,2.4219,2.2115,2.5000,2.5000,1.6000,1.5000
Pasig,-,3.3333,3.2804,2.3750,2.3438,2.1154,2.1154,1.6071,1.8000,1.8333
Taguig,-,0.0000,2.6455,2.4375,2.4219,2.2115,2.2115,1.2500,1.2000,1.1667
Marikina,3.3333,3.3333,3.1746,2.2500,2.1875,1.9231,1.9231,1.2500,1.8000,1.6667
San Juan (MM),-,3.3333,2.6323,2.4375,2.4219,2.2115,2.2115,1.7857,2.0000,1.6667
Mandaluyong,3.3333,3.3333,1.1111,2.3125,2.5000,2.3077,2.3077,1.9643,1.0000,1.0000
Makati,3.3333,3.3333,3.2275,2.3750,2.3438,2.4038,2.4038,2.1429,1.6000,1.5000
Noveleta,-,2.5000,1.3333,0.0000,0.0000,2.4994,2.5000,2.4643,1.9615,1.9259
Rosario (CE),2.0833,3.3333,3.2164,2.3397,0.0000,2.2500,2.3106,2.4405,1.9286,1.9565
Naic,3.3333,3.3333,3.2456,2.2756,0.0000,2.4000,2.4242,2.4405,1.9643,1.9130
Amadeo,-,-,3.2323,2.1711,0.0000,2.4944,2.1786,2.1071,1.9615,1.9259
Indang,1.3333,3.3333,2.3860,2.3397,0.0000,2.2500,2.3106,2.0833,1.8214,1.9565
Kawit,2.0833,2.5833,1.9620,0.0000,0.0000,2.4500,2.4621,2.3214,1.7500,1.7826
Carmona,3.3333,3.3333,3.2164,2.2756,0.0000,2.4000,2.4242,2.4405,1.9286,1.8696
Silang,2.0833,3.3333,1.3333,0.0000,0.0000,2.4500,2.4621,2.3214,1.8571,1.7826
Tanza,3.3333,3.3333,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,1.9643,1.9565
Trece Martires,2.0833,3.3333,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,1.9286,1.9286
General Trias,3.3333,3.3333,3.2164,2.1528,2.0833,2.0139,2.1094,2.3529,1.9286,1.9286
Alfonso,3.3333,3.3333,1.3333,2.2115,0.0000,2.0500,2.1591,1.8452,1.9643,1.9130
Bacoor,3.3333,3.3333,3.0065,2.3611,2.2917,2.2222,2.1875,2.1324,1.8571,1.8929
Dasmarinas,1.7500,3.3333,2.2876,2.1528,1.2500,2.2222,2.5000,2.4265,1.9286,1.9286
Imus,2.5000,3.3333,2.8105,2.3611,2.2917,2.2222,2.5000,2.4265,1.7857,1.8571
Cavite,3.3333,3.3333,1.1111,1.7361,1.6667,1.5972,2.4219,2.3529,1.9286,1.9286
Tagaytay,3.3333,3.3333,2.2222,2.0139,1.9444,1.8750,1.7969,1.7647,1.9286,1.9286
Angono,3.3333,3.3333,2.0789,2.4038,0.0000,2.4000,2.4242,2.2024,1.7857,1.6957
Antipolo,3.3333,3.3333,2.3137,2.4306,2.4306,2.3611,2.5000,2.5000,1.8571,1.9643
Baras (RL),-,2.6667,1.0556,2.3684,0.0000,2.4994,2.4643,2.3929,1.9615,1.9259
Binangonan,2.0833,2.0833,2.1374,2.3718,0.0000,2.4000,2.4242,2.2619,1.9643,1.9565
Cainta,1.3333,2.5000,2.1082,2.3397,0.0000,2.4000,2.4621,2.3214,1.8571,1.7826
Cardona,-,2.0833,1.0556,1.5789,0.0000,2.4994,2.4643,2.3929,1.8462,1.8148
Jalajala,-,3.3333,1.6279,1.8421,0.0000,2.4882,1.8214,1.7500,1.8846,1.8519
Morong (RL),-,3.3333,1.0556,2.2756,0.0000,2.2000,2.4621,2.4405,1.9643,1.9565
Pililla,2.0833,3.3333,1.6404,1.8269,0.0000,2.4500,2.4621,2.3214,1.8571,1.7826
San Mateo (RL),3.3333,3.3333,2.1082,2.3077,0.0000,2.2500,2.3106,2.4405,1.9286,1.8696
Tanay,2.9167,3.0000,2.1082,2.4038,0.0000,2.3500,2.5000,2.3810,1.9643,1.9130
Taytay (RL),3.3333,3.3333,2.2982,2.2436,0.0000,2.4500,2.4621,2.3214,1.8571,1.7826
Teresa,1.7500,3.3333,2.3567,2.3077,0.0000,2.2000,2.2727,2.0238,1.9643,1.9130
