PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.9278,1.1137,1.3109,0.8006,0.7334,2.5000,2.5000,1.3713,0.0003,0.0696
Caloocan,0.2745,0.1687,0.2833,0.2490,0.1969,0.5105,0.4312,0.2345,0.0016,0.4087
Manila,1.2216,2.0400,1.5917,1.5706,1.3942,2.4407,2.5000,1.4648,0.0006,2.0000
Pasay,1.0728,1.3701,1.1561,0.8538,0.7382,0.2273,0.3637,0.2757,0.0005,0.1304
Paranaque,0.3515,0.4568,0.3936,0.2905,0.2188,0.2121,0.1748,0.1139,0.0000,0.0000
Las Pinas,0.4626,0.3687,0.5570,0.2996,0.2637,0.2063,0.1657,0.1210,0.0001,0.0174
Valenzuela,0.5984,0.6259,0.5637,0.5474,0.4683,0.3258,1.4850,2.5000,0.0035,0.9130
Pasig,-,0.2988,0.2534,0.7982,0.3100,0.2876,0.2317,0.1477,0.0000,0.0087
Taguig,-,0.4769,0.0000,0.2721,0.7287,1.2777,1.2961,0.1681,0.2609,0.0087
Marikina,0.5772,0.5511,0.6763,0.6978,0.6528,0.2827,0.2730,0.1519,0.0002,0.0522
San Juan (MM),-,2.5439,1.4288,1.3748,1.1125,0.0813,0.0846,0.0524,0.0006,0.1304
Mandaluyong,0.6646,0.5581,0.6321,0.7571,0.7360,0.2533,0.1980,0.1097,0.0002,0.0435
Makati,0.8072,0.9899,0.9333,0.5934,0.5141,0.2817,0.2710,0.1558,0.0001,0.0261
Noveleta,-,0.1204,0.0993,0.1538,0.0000,0.3917,0.5740,0.1847,0.0002,0.0629
Rosario (CE),0.5092,0.0469,0.0352,0.2448,0.0000,0.0527,0.0431,0.0732,0.0476,0.1714
Naic,0.3921,0.0394,0.0347,0.2428,0.0000,0.0491,0.0491,0.0649,0.0332,0.1429
Amadeo,-,-,0.1851,0.2201,0.0000,0.3456,0.5357,0.2709,0.0003,0.0881
Indang,0.3966,0.0444,0.0431,0.3468,0.0000,0.0503,0.0503,0.0767,0.0805,0.3143
Kawit,0.4143,0.0414,0.0428,0.3125,0.0000,0.0455,0.0491,0.0661,0.0452,0.1714
Carmona,0.6021,0.0758,0.0669,0.4095,0.0000,0.0730,0.0730,0.0921,0.0001,0.2286
Silang,0.3607,0.0420,0.0260,0.1565,0.0000,0.1257,0.1329,0.1487,0.0403,0.1143
Tanza,0.2530,0.0272,0.0144,0.2278,0.0000,0.0718,0.0778,0.1027,0.0243,0.1143
Trece Martires,0.4241,0.2250,0.5969,0.1797,0.1068,0.0952,0.1381,0.0411,0.0956,0.0419
General Trias,0.3019,0.0318,0.0149,0.1186,0.0413,0.1540,0.1997,0.0822,0.0000,0.0105
Alfonso,0.6886,0.0822,0.0718,0.4761,0.0000,0.0371,0.0371,0.0484,0.0001,0.3429
Bacoor,0.1132,0.0290,0.0954,0.0439,0.1013,0.6159,0.2863,0.1086,0.0547,0.0105
Dasmarinas,0.1462,0.0486,0.1164,0.0778,0.0281,0.2249,0.2547,0.1078,0.0000,0.0105
Imus,0.2494,0.1231,0.2812,0.1526,0.0496,0.1990,0.2913,0.0760,0.0000,0.0209
Cavite,0.2314,0.0000,0.2587,0.2192,0.0577,0.0484,0.0832,0.0752,0.1083,0.0524
Tagaytay,1.6446,1.0998,2.5160,1.0014,0.2931,0.1194,0.1531,0.0558,0.2952,0.1780
Angono,0.4306,0.0511,0.0431,0.3884,0.0000,0.0635,0.0647,0.0980,0.0520,0.2286
Antipolo,0.1087,0.0662,0.1591,0.0751,0.0274,0.4135,0.3995,0.1427,0.0434,0.0000
Baras (RL),-,0.3188,0.3774,0.1810,0.0000,0.6106,0.8291,0.8251,0.0003,0.0818
Binangonan,0.1992,0.0207,0.0037,0.1333,0.0000,0.0730,0.0886,0.1074,0.0000,0.7143
Cainta,0.3566,0.0385,0.0236,0.2729,0.0000,0.1832,0.1628,0.1487,0.0000,0.1143
Cardona,-,0.1797,0.1358,0.2126,0.0000,0.3917,0.4974,0.1355,0.0001,0.0566
Jalajala,-,0.2416,0.2576,0.2312,0.0000,0.3226,0.4337,0.1663,0.0002,0.0818
Morong (RL),-,0.1095,0.0728,0.5342,0.0000,0.0419,0.0371,0.0508,0.0001,0.2571
Pililla,0.6819,0.0790,0.0637,0.5581,0.0000,0.0551,0.0551,0.0590,0.0000,0.2000
San Mateo (RL),0.3277,0.0359,0.0241,0.1962,0.0000,0.0742,0.0754,0.1039,0.0298,0.1143
Tanay,0.5658,0.0610,0.0478,0.3198,0.0000,0.0599,0.0647,0.0779,0.0000,0.1714
Taytay (RL),0.3413,0.0346,0.0220,0.2378,0.0000,0.1592,0.1341,0.1334,0.0333,0.1143
Teresa,0.7812,0.0930,0.0748,0.4852,0.0000,0.0383,0.0383,0.0614,0.0001,0.2857
