PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9556,1.9334
Caloocan,0.8333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.6890,1.6667
Manila,0.0000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,1.9556,2.0001
Pasay,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8223,1.7334
Paranaque,0.0000,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,1.7334,1.6001
Las Pinas,3.3333,3.3333,0.0000,0.0000,2.5000,2.5000,2.5000,2.5000,1.7334,1.6001
Valenzuela,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7334,1.6001
Pasig,-,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,2.0001
Taguig,-,0.0000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.0001,2.0001
Marikina,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9556,1.9334
San Juan (MM),-,0.0000,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.5556,1.3334
Mandaluyong,1.6667,0.8333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9556,2.0001
Makati,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.6445,2.0001
Noveleta,-,1.6667,1.6667,1.2500,0.0000,1.8750,1.8750,1.8750,1.9997,1.9763
Rosario (CE),0.0000,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.8462,1.9744
Naic,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.8719,1.8975
Amadeo,-,-,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.9984,1.8572
Indang,0.0000,0.0000,0.0000,0.0000,0.0000,1.8750,1.8750,1.8750,0.0000,0.6667
Kawit,0.0000,0.0000,1.6667,2.5000,0.0000,2.5000,2.5000,2.5000,1.7949,1.7693
Carmona,3.3333,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8975,1.8719
Silang,0.0000,0.0000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8462,1.8206
Tanza,0.0000,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9744,1.9488
Trece Martires,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,1.9048
General Trias,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,1.9683
Alfonso,0.0000,0.0000,0.0000,1.8750,0.0000,1.8750,2.5000,2.5000,1.9488,1.9231
Bacoor,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8413,1.9683
Dasmarinas,0.0000,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,2.5000,1.8731,1.8413
Imus,1.6667,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8413,1.9683
Cavite,0.8333,2.5000,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9683,1.9683
Tagaytay,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,2.5000,2.5000,1.8096,1.7778
Angono,3.3333,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8206,1.8206
Antipolo,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9366,1.9048
Baras (RL),-,1.6667,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9997,1.9524
Binangonan,0.8333,0.8333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8975,1.8719
Cainta,0.0000,0.0000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.7949,1.7693
Cardona,-,1.6667,0.8333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9981,1.8334
Jalajala,-,1.6667,1.6667,1.2500,0.0000,2.5000,2.5000,2.5000,1.9991,1.9763
Morong (RL),-,3.3333,0.0000,1.2500,0.0000,2.5000,2.5000,2.5000,1.9231,1.9744
Pililla,1.6667,2.5000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9744,1.9488
San Mateo (RL),2.5000,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9231,1.8975
Tanay,0.0000,2.5000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.7949,1.7693
Taytay (RL),1.6667,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8462,1.8206
Teresa,0.0000,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8719,1.8462
