PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.1327,1.1049,0.1834,0.0836,0.1318,0.0646,2.5000,0.1965,0.3868,0.4187
Caloocan,0.0159,0.0236,0.0159,0.0135,0.0065,0.0034,0.0203,0.0150,0.0441,0.0416
Manila,1.7871,0.7915,0.2478,1.3081,1.4507,0.9751,0.8165,0.8989,0.8246,0.7906
Pasay,1.0917,0.5319,1.2614,1.6881,0.9921,0.6378,0.7564,0.6779,0.6382,0.5548
Paranaque,0.0008,0.0118,0.4125,0.4208,0.2328,0.1181,0.0474,0.0903,0.1036,0.1017
Las Pinas,0.0000,0.1952,0.0954,0.1147,0.0426,0.0686,0.0638,0.0296,0.0325,0.0462
Valenzuela,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0151,0.0049,0.0167,0.0102
Pasig,-,0.4728,3.0839,0.9351,1.7142,0.8449,0.8652,0.1079,0.1671,0.1559
Taguig,-,0.0827,0.1243,0.1546,0.0749,0.0815,0.0671,0.0516,0.0673,0.0780
Marikina,0.0457,0.1927,0.0740,0.0885,0.0318,0.1294,0.1102,0.0469,0.0703,0.0720
San Juan (MM),-,0.0473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0199,0.0070
Mandaluyong,0.2022,0.3849,0.2876,0.5497,0.1362,0.2311,0.0224,0.0689,0.0612,0.0285
Makati,1.4288,2.1596,1.8394,1.5215,0.8008,0.6826,0.8166,0.7295,0.6939,0.9599
Noveleta,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Rosario (CE),0.0000,0.0391,0.0044,0.0098,0.0000,0.0164,0.0312,0.0374,0.0135,0.0068
Naic,0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0415,0.0523,0.0038,0.0057
Amadeo,-,-,0.0000,0.0000,0.0000,0.0578,0.0526,0.0475,0.0681,0.0161
Indang,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,0.0010,0.0045
Kawit,0.0000,0.0691,0.0219,0.0167,0.0000,0.0335,0.0234,0.0221,0.0043,0.0046
Carmona,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,0.0000,0.0060,0.0041,0.0052
Silang,0.0269,0.0391,0.0137,0.0098,0.0000,0.0063,0.0065,0.0146,0.0166,0.0418
Tanza,0.0000,0.0725,0.0000,0.0000,0.0000,0.0122,0.0115,0.0113,0.0116,0.0170
Trece Martires,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092
General Trias,0.1801,0.0369,0.0000,0.0398,0.1060,0.0360,0.0313,0.0203,0.0414,0.0602
Alfonso,0.5033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0428,0.0308,0.0749
Bacoor,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.1556,0.2379,0.1959,0.1954
Dasmarinas,0.0000,0.0000,0.0000,0.0201,0.0190,0.0148,0.0146,0.0291,0.1459,0.0696
Imus,0.0000,0.0000,0.0220,0.0161,0.0158,0.0091,0.0096,0.0065,0.0040,0.0277
Cavite,0.0665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tagaytay,0.3124,0.4279,0.9853,0.6756,0.7719,0.5391,0.5266,0.4440,0.2038,0.5303
Angono,0.0286,0.0000,0.0000,0.0162,0.0000,0.0232,0.0147,0.0240,0.0275,0.0437
Antipolo,0.0595,0.0772,0.1229,0.1329,0.1186,0.0733,0.0403,0.3068,0.4082,0.3994
Baras (RL),-,0.0000,0.0000,0.0000,0.0000,0.0048,0.0095,0.0044,0.0092,0.0100
Binangonan,0.1100,0.0280,0.0106,0.0076,0.0000,0.1005,0.1155,0.1300,0.1328,0.2407
Cainta,0.3041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048,0.0048,0.0130,0.0164
Cardona,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jalajala,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.0022,0.0021
Morong (RL),-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0034,0.0064
Pililla,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
San Mateo (RL),0.2559,0.0000,0.0178,0.0128,0.0000,0.0027,0.0459,0.0598,0.0725,0.0796
Tanay,0.3103,0.1142,0.0117,0.0305,0.0000,0.0151,0.0056,0.0777,0.0032,0.0218
Taytay (RL),0.0814,0.0000,0.0000,0.0112,0.0000,0.0024,0.0000,0.0096,0.1074,0.1042
Teresa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029
