PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),3.3333,3.3333,3.3333,2.5000,2.5000,2.4748,2.5000,2.5000,1.8361,1.6337
Caloocan,3.3333,3.3333,3.3333,2.5000,2.5000,2.4688,1.8101,2.4661,1.8320,1.6295
Manila,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.0002,1.6083
Pasay,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.9792,1.7292
Paranaque,3.3333,3.3333,3.3333,2.5000,2.5000,2.4328,1.7283,2.4173,1.8361,1.6210
Las Pinas,0.0000,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.4587,1.8278,1.6273
Valenzuela,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.0004,1.6337
Pasig,-,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.8361,1.6337
Taguig,-,0.0000,3.3333,2.5000,2.5000,2.4679,1.7964,2.4711,1.0004,1.6337
Marikina,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.0000,1.0000
San Juan (MM),-,3.3333,3.3333,2.5000,2.5000,2.5000,1.8750,2.5000,1.0027,1.6337
Mandaluyong,3.3333,1.6667,3.3333,2.5000,2.5000,2.4776,1.8153,2.4762,1.8314,1.6337
Makati,3.3333,3.3333,3.3333,2.5000,2.5000,2.4925,1.8750,2.4905,1.8361,1.6337
Noveleta,-,3.3333,3.3333,2.5000,0.0000,2.5000,2.2500,2.5000,0.4617,0.3397
Rosario (CE),0.0000,3.3333,3.3333,2.5000,0.0000,1.5024,1.6042,2.1786,0.1023,0.6359
Naic,0.0000,3.3333,1.1111,2.5000,0.0000,2.4372,2.4375,2.4286,0.1048,0.6396
Amadeo,-,-,3.3333,2.5000,0.0000,2.4875,2.2375,2.4875,0.4238,0.3236
Indang,0.0000,0.0000,3.3333,2.5000,0.0000,2.4624,2.4625,2.4429,0.1101,0.6535
Kawit,3.3333,3.3333,3.3333,2.5000,0.0000,2.4905,2.4905,2.4892,0.1099,0.6529
Carmona,3.3333,3.3333,3.3333,2.5000,0.0000,2.4749,2.4750,2.4714,0.1081,0.6502
Silang,3.3333,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4857,0.1101,0.6535
Tanza,3.3333,3.3333,3.3333,2.5000,0.0000,2.3739,2.3750,2.3396,0.1096,0.6434
Trece Martires,2.8944,2.6749,2.6852,1.8750,2.0395,2.1875,2.1875,2.5000,1.5710,1.5800
General Trias,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.5230,1.5800
Alfonso,2.4242,3.3333,3.3333,2.5000,0.0000,2.4561,2.4563,2.4526,0.1091,0.6502
Bacoor,3.3333,3.3328,3.3213,2.5000,2.5000,2.4875,2.4856,2.4856,1.5612,1.4912
Dasmarinas,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.4111,1.3647
Imus,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,0.9586,1.3292
Cavite,0.0000,3.3333,1.6667,2.5000,2.5000,2.4749,2.4677,2.4692,0.9210,0.9822
Tagaytay,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.5710,1.5785
Angono,3.3333,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.4999,0.1101,0.6535
Antipolo,3.3333,3.3333,3.3333,2.5000,2.5000,2.4373,2.4228,2.4409,1.5352,1.5398
Baras (RL),-,3.3333,3.3333,2.5000,0.0000,2.3875,2.1500,2.4000,0.4481,0.3299
Binangonan,3.3333,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4857,0.1091,0.6507
Cainta,0.7879,3.3333,3.3333,2.5000,0.0000,2.4561,2.4584,2.4551,0.1067,0.6434
Cardona,-,3.3333,3.3333,2.5000,0.0000,2.3125,2.0625,2.3301,0.4551,0.3198
Jalajala,-,3.3333,3.3333,2.5000,0.0000,2.3188,2.0688,2.3625,0.4374,0.2606
Morong (RL),-,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4999,0.1101,0.6535
Pililla,3.3333,3.3333,3.3333,2.5000,0.0000,2.4186,2.4250,2.4259,0.1044,0.6387
San Mateo (RL),3.3333,3.3333,3.3333,2.5000,0.0000,2.4434,2.4688,2.4759,0.1090,0.6512
Tanay,3.3333,3.3333,3.3333,2.5000,0.0000,2.2558,2.2625,2.2518,0.0907,0.5926
Taytay (RL),3.3333,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4857,0.0995,0.6182
Teresa,3.3333,3.3333,3.3333,2.5000,0.0000,2.4622,2.4750,2.4679,0.1081,0.6439
