PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),3.1708,2.6670,2.6346,2.2098,2.2002,2.2002,2.5000,2.2096,1.8400,1.8287
Caloocan,0.0000,2.9442,2.8482,2.0661,2.0939,2.1255,2.1345,2.1349,1.7255,1.8125
Manila,3.2840,2.7892,3.2596,2.4026,2.3922,2.3922,2.4023,2.4023,1.9288,1.9304
Pasay,3.2587,2.9724,3.1064,2.4753,2.4745,2.4745,2.4852,2.4852,1.9882,1.9796
Paranaque,2.1531,2.3476,2.3426,2.3924,2.4073,2.4073,1.9912,1.9912,1.9527,1.9811
Las Pinas,0.0000,2.8563,2.8444,2.0421,2.0312,2.0312,2.0419,2.0419,1.6390,1.7897
Valenzuela,3.1580,2.8249,2.7930,1.4836,1.4731,1.4731,2.3768,2.3768,1.9174,1.9004
Pasig,-,2.8888,2.8724,1.3804,2.1839,2.1839,2.1933,2.1933,1.7694,1.7509
Taguig,-,0.0000,2.7672,2.0267,2.0161,2.1081,2.1185,2.2346,1.7963,1.1203
Marikina,3.0298,1.7915,1.7535,2.1263,2.2257,2.2257,2.2353,2.2353,1.8023,1.7890
San Juan (MM),-,2.8065,2.7842,2.0290,2.2898,2.2463,2.0057,2.2390,1.5926,1.7154
Mandaluyong,3.1670,2.6191,2.6089,1.8437,1.8325,1.8325,1.9991,2.2576,1.8478,1.8919
Makati,3.2662,3.1518,2.9851,2.4006,2.3899,2.1562,2.1670,2.1670,1.7361,1.8305
Noveleta,-,2.9834,3.1521,2.3899,0.0000,2.3459,2.2997,2.4272,1.9054,1.9752
Rosario (CE),1.0664,3.1367,3.1178,1.6068,0.0000,1.6128,2.4356,2.3923,1.9758,1.8787
Naic,3.1960,3.1189,3.0654,2.3156,0.0000,2.4106,2.4074,2.4291,1.8491,1.8222
Amadeo,-,-,3.1735,2.4091,0.0000,2.3874,2.3301,2.3849,1.9646,1.8647
Indang,0.0000,0.0000,2.0305,1.5275,0.0000,2.3419,2.3652,2.3536,1.7873,1.7243
Kawit,3.1786,3.2869,3.2295,2.4007,0.0000,2.4433,2.4894,2.4523,1.9226,1.8862
Carmona,3.1598,3.1500,3.1417,2.3681,0.0000,2.4400,2.4294,2.4500,1.8959,1.8774
Silang,3.0879,3.0754,3.0109,2.2869,0.0000,2.3889,2.4007,2.4086,1.8399,1.8014
Tanza,3.2359,2.9064,2.8808,2.4019,0.0000,2.4389,2.4779,2.4739,1.9586,1.9468
Trece Martires,0.8443,2.8898,2.9619,2.1349,2.0979,2.2949,2.3142,2.3329,1.8935,1.8463
General Trias,0.0000,3.1353,3.0989,2.2218,1.8648,2.3260,2.3507,2.3867,1.9158,1.8954
Alfonso,2.0678,2.0698,2.7912,2.1232,0.0000,2.3358,2.3390,2.3716,1.7488,1.7185
Bacoor,2.1792,3.2485,3.2590,2.4059,2.2194,2.2405,2.3013,2.4240,1.8757,1.9219
Dasmarinas,2.9255,3.0115,3.1182,2.2911,2.2040,2.1969,2.2364,2.2848,1.8628,1.7992
Imus,3.1073,3.1327,3.1635,2.4077,2.3893,2.3820,2.3945,2.4122,1.9332,1.9096
Cavite,3.0783,2.8763,2.8457,2.3339,2.3207,2.4787,2.4814,2.4838,1.9731,1.9895
Tagaytay,2.6710,2.7737,2.8507,2.0298,1.9101,1.8801,1.9486,2.0141,1.7123,1.5474
Angono,3.2024,3.2220,3.2225,1.6078,0.0000,2.4630,2.4804,2.4701,1.9589,1.9457
Antipolo,2.9955,3.0528,3.1593,2.3264,2.3182,2.3001,2.3144,2.3240,1.8962,1.8375
Baras (RL),-,3.1725,3.2262,2.4490,0.0000,2.4006,2.3553,2.3669,1.9824,1.8785
Binangonan,2.8691,3.2346,3.1437,2.3625,0.0000,2.3775,2.4978,2.4130,1.9531,1.9230
Cainta,3.2266,3.2403,3.1897,2.4009,0.0000,2.4680,2.4691,2.4720,1.9507,1.9389
Cardona,-,3.1948,3.2275,2.4694,0.0000,2.4383,2.3999,2.4014,1.9984,1.9178
Jalajala,-,0.0000,2.9592,2.4047,0.0000,2.3321,2.2438,2.2974,1.9631,1.8090
Morong (RL),-,2.7788,2.9135,2.3584,0.0000,2.4042,2.4911,2.4307,1.9401,1.8986
Pililla,3.0238,3.1778,3.0829,2.3212,0.0000,2.3602,2.4923,2.4039,1.9161,1.8619
San Mateo (RL),3.2014,3.1949,3.1538,2.3753,0.0000,2.4241,2.4471,2.4420,1.9050,1.8793
Tanay,1.1084,3.2597,3.1656,2.3808,0.0000,2.4120,2.4978,2.4438,1.9194,1.8721
Taytay (RL),3.2168,3.2106,3.1728,2.3935,0.0000,2.4460,2.4492,2.4534,1.9192,1.8995
Teresa,3.1141,3.2214,3.1577,2.3439,0.0000,2.3782,2.4734,2.3980,1.9069,1.8804
