PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.0000,2.0212,2.5000,2.5000,2.1140,2.5000,1.9873,0.8408,1.2633
Caloocan,0.0000,0.5106,0.2309,0.2181,0.2195,0.2334,0.2569,0.2219,0.0520,0.1231
Manila,0.0000,3.2527,2.7348,1.6339,2.0106,2.3018,2.3640,2.1097,2.0000,1.5984
Pasay,0.6462,0.9868,0.2175,0.7997,0.7074,0.8123,1.0088,0.8934,0.3632,0.4980
Paranaque,0.8924,1.0650,0.3336,0.3504,0.8254,0.8558,0.8844,0.7026,0.2408,0.2766
Las Pinas,0.0000,0.0000,0.1233,0.0832,0.0870,0.0877,0.0882,0.0662,0.0181,0.0451
Valenzuela,0.5150,0.2742,0.1254,0.1471,0.1489,0.1833,0.1768,0.1679,0.3252,0.2392
Pasig,-,1.1987,1.0363,0.8890,0.8091,0.3690,0.2988,0.2787,0.1263,0.2793
Taguig,-,0.0000,0.1468,0.2913,0.2867,0.2968,0.3044,0.2546,0.0639,0.0865
Marikina,0.7102,0.3753,0.1441,0.0958,0.1031,0.1068,0.1093,0.1207,0.0627,0.1282
San Juan (MM),-,0.3534,0.1309,0.1245,0.1434,0.1479,0.0825,0.0665,0.0340,0.0484
Mandaluyong,0.8406,1.0067,0.2097,0.1841,0.2969,0.3043,0.2030,0.1610,0.0812,0.2246
Makati,2.6550,2.9274,1.0838,0.9627,0.9261,0.9909,1.3713,1.0810,0.3127,0.7630
Noveleta,-,1.5476,2.2857,1.6250,0.0000,0.6386,1.3125,0.6052,0.1818,0.4095
Rosario (CE),1.9433,2.1984,2.2147,1.7061,0.0000,1.6255,1.5790,1.5790,0.3621,0.5455
Naic,0.2283,0.4868,0.5269,0.3379,0.0000,0.3117,0.2915,0.3636,0.0863,0.1322
Amadeo,-,-,0.8095,0.5625,0.0000,0.3668,0.4063,0.3869,0.1818,0.2727
Indang,0.1391,0.1931,0.1434,0.2024,0.0000,0.0912,0.0871,0.0871,0.0637,0.0785
Kawit,0.2671,0.4101,0.5269,0.3842,0.0000,0.3979,0.4132,0.6656,0.2807,0.2479
Carmona,0.8623,1.1878,1.2032,1.0146,0.0000,1.0535,1.0547,1.0547,0.2874,0.4094
Silang,0.5156,0.7302,0.7820,0.6999,0.0000,0.7560,0.7978,0.8699,0.3534,0.3388
Tanza,0.3287,0.6376,0.7020,0.5137,0.0000,0.4965,0.4703,0.4703,0.2586,0.4299
Trece Martires,0.0651,0.3514,0.3835,0.3061,0.3270,0.3958,0.3956,0.3753,0.1531,0.1570
General Trias,1.2637,1.6190,1.7452,0.6144,0.6629,0.4722,0.4703,0.2089,0.1088,0.1399
Alfonso,0.0000,0.0000,0.0000,0.0000,0.0000,0.0887,0.0826,0.0826,0.0315,0.0454
Bacoor,0.6299,1.5038,1.5743,1.1392,1.1540,1.3039,1.4110,0.9072,0.4298,0.6797
Dasmarinas,0.8096,2.4497,2.3460,1.6689,1.6736,1.0410,1.0217,1.0055,0.2382,0.2833
Imus,0.5643,1.6014,1.7056,1.3483,1.3698,1.4580,1.4268,1.4194,0.5408,0.5193
Cavite,0.2486,0.0427,0.0296,0.4382,0.4117,0.4127,0.4125,0.2768,0.0782,0.1195
Tagaytay,0.2830,0.7441,0.8748,0.5860,0.5826,0.6339,0.6271,0.5842,0.2041,0.2287
Angono,0.3127,0.6376,0.7382,0.6063,0.0000,0.6880,0.8293,0.8684,1.2328,1.3058
Antipolo,0.6872,2.2138,2.1410,1.4624,1.5285,1.5645,1.4615,1.2876,1.0447,1.5358
Baras (RL),-,0.0000,0.3333,0.2500,0.0000,0.4688,0.2500,0.3472,0.3584,0.3190
Binangonan,0.3605,0.6508,0.8862,0.6467,0.0000,0.5778,0.5394,0.6596,0.3055,0.3430
Cainta,2.5937,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.0000,1.0011
Cardona,-,0.0000,0.0000,0.0000,0.0000,0.1563,0.1250,0.0694,1.0455,0.1364
Jalajala,-,0.0000,0.0000,0.5000,0.0000,0.3125,0.2500,0.2282,0.0909,0.0909
Morong (RL),-,0.2646,0.2461,0.1689,0.0000,0.1558,0.1698,0.1698,0.0789,0.0838
Pililla,0.0000,0.0000,0.0000,0.0266,0.0000,0.0240,0.0240,0.0676,0.0517,0.0579
San Mateo (RL),0.4609,0.7540,1.1655,0.8816,0.0000,0.9068,1.0306,1.0306,0.4741,0.5124
Tanay,0.3833,0.5291,0.5631,0.4108,0.0000,0.4965,0.4026,0.4703,0.1293,0.1902
Taytay (RL),1.7883,2.3836,2.2720,1.9863,0.0000,1.9579,1.7879,1.8885,0.7502,0.7440
Teresa,0.1550,0.1587,0.1449,0.1029,0.0000,0.1824,0.1743,0.1938,0.0521,0.0583
