PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.0000,0.0415,1.6054,2.2213,1.6720,0.8710,2.5000,0.8896,0.7413,0.8986
Caloocan,0.0000,1.7373,0.4823,0.8307,0.5170,0.2319,0.2516,0.1976,0.2002,0.3016
Manila,0.0000,1.1948,0.8140,2.1824,1.7741,0.9934,0.9901,1.2516,1.1272,1.1908
Pasay,0.2607,0.2110,0.1239,0.7186,0.5928,0.4868,0.4845,0.6486,0.4996,0.5581
Paranaque,0.6106,0.6712,0.2851,0.4765,0.4537,0.2123,0.2126,0.1471,0.1846,0.2664
Las Pinas,0.0000,0.0259,0.0981,0.2136,0.1583,0.1112,0.1276,0.0295,0.0353,0.0621
Valenzuela,0.6211,0.7584,0.3509,0.7177,0.5286,0.4162,0.4454,0.6782,0.5378,0.6229
Pasig,-,0.5131,0.2443,0.4805,0.3576,0.1654,0.1671,0.2800,0.2331,0.3146
Taguig,-,0.0000,0.2943,0.2556,0.1876,0.0869,0.0864,0.0858,0.0490,0.0813
Marikina,0.3602,0.7077,0.2590,0.1967,0.2183,0.0880,0.0907,0.0776,0.0457,0.0759
San Juan (MM),-,0.0000,0.0000,0.0000,0.0000,0.0088,0.0087,0.0154,0.0189,0.0281
Mandaluyong,0.6864,0.4261,0.1860,0.3931,0.4381,0.3296,0.3290,0.1029,0.0824,0.1038
Makati,0.2662,0.3275,3.3333,0.4106,0.4683,0.2754,0.2743,0.3106,0.4076,0.1630
Noveleta,-,1.1520,0.6559,0.4042,0.0000,0.0303,0.0844,0.1657,0.0128,0.0130
Rosario (CE),0.1118,0.4657,0.5643,0.4745,0.0000,0.0738,0.1985,0.0895,0.0469,0.1317
Naic,0.1345,0.6547,1.0507,0.3208,0.0000,0.0442,0.0416,0.0442,0.0704,0.1989
Amadeo,-,-,0.2514,0.1522,0.0000,0.0386,0.0411,0.1300,0.0247,0.0232
Indang,0.0000,0.3947,0.6402,0.1435,0.0000,0.0306,0.0287,0.0304,0.0516,0.0748
Kawit,0.0008,0.2414,0.3302,0.1871,0.0000,0.0339,0.0312,0.0334,0.0620,0.1808
Carmona,0.2056,0.3191,0.1741,0.1512,0.0000,0.0834,0.0806,0.0954,0.0915,0.1335
Silang,0.0125,0.3930,0.8017,0.1949,0.0000,0.0568,0.0589,0.0612,0.0612,0.1355
Tanza,0.3215,0.5797,0.9017,0.5920,0.0000,0.0840,0.1199,0.0968,0.1208,0.2738
Trece Martires,0.0000,0.6540,0.5377,0.3238,0.2906,0.1165,0.1161,0.1179,0.1541,0.1580
General Trias,0.1937,0.6324,1.1315,0.1338,0.2913,0.1756,0.1569,0.1141,0.2252,0.1583
Alfonso,0.0492,0.0722,0.1797,0.0134,0.0000,0.0166,0.0156,0.0186,0.0472,0.1022
Bacoor,0.0046,1.3380,3.3333,0.4996,0.4114,0.5188,0.4759,0.1318,0.2843,0.3114
Dasmarinas,0.3687,3.3333,0.5070,0.5183,0.4283,0.2661,0.2576,0.1848,0.2906,0.2835
Imus,0.0000,0.8038,0.5679,0.6754,0.5661,0.3756,0.2875,0.2235,0.2560,0.2403
Cavite,0.1116,0.0539,0.0309,0.2083,0.1691,0.2262,0.2134,0.0880,0.0573,0.0502
Tagaytay,0.1306,0.1401,0.0879,0.0814,0.0705,0.0610,0.0486,0.0285,0.0443,0.0443
Angono,0.3622,3.3333,3.3333,2.5000,0.0000,0.4340,0.5238,0.5671,0.4533,0.5954
Antipolo,0.6570,1.0424,0.6959,0.8685,0.7228,0.2214,0.1906,0.2735,0.4009,0.4007
Baras (RL),-,0.5136,0.3825,0.1861,0.0000,0.0231,0.0418,0.1114,0.0119,0.0119
Binangonan,0.2988,0.4805,0.8074,0.4630,0.0000,0.3313,0.2000,0.1665,0.1999,0.3321
Cainta,0.4183,0.5893,0.7367,0.4022,0.0000,0.0656,0.0985,0.1478,0.1162,0.1676
Cardona,-,0.7546,0.4160,0.2247,0.0000,0.0180,0.0389,0.0997,0.0098,0.0134
Jalajala,-,0.2424,0.2035,0.0767,0.0000,0.0226,0.0241,0.0774,0.0117,0.0145
Morong (RL),-,0.2145,0.3078,0.4410,0.0000,0.0295,0.0292,0.0327,0.0285,0.0442
Pililla,0.1353,0.2313,0.3927,0.2445,0.0000,0.0363,0.0329,0.0358,0.0349,0.0740
San Mateo (RL),0.1292,0.3387,0.4944,0.6616,0.0000,0.1510,0.1426,0.1791,0.1442,0.2238
Tanay,0.2523,0.3714,0.8451,0.6026,0.0000,0.0466,0.0443,0.0456,0.0590,0.2067
Taytay (RL),0.0000,0.8433,2.1006,1.3558,0.0000,0.2238,0.1604,0.2331,0.1609,0.2700
Teresa,0.0564,0.0874,0.2559,0.1588,0.0000,0.0237,0.0239,0.0292,0.0263,0.0425
