PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,2.0001,2.0001
Caloocan,-,-,-,-,-,-,-,-,2.0001,2.0001
Manila,-,-,-,-,-,-,-,-,1.3334,1.3334
Pasay,-,-,-,-,-,-,-,-,2.0001,2.0001
Paranaque,-,-,-,-,-,-,-,-,1.3334,1.3334
Las Pinas,-,-,-,-,-,-,-,-,1.3334,1.3334
Valenzuela,-,-,-,-,-,-,-,-,2.0001,2.0001
Pasig,-,-,-,-,-,-,-,-,2.0001,2.0001
Taguig,-,-,-,-,-,-,-,-,2.0001,2.0001
Marikina,-,-,-,-,-,-,-,-,1.3334,1.3334
San Juan (MM),-,-,-,-,-,-,-,-,1.3334,2.0001
Mandaluyong,-,-,-,-,-,-,-,-,2.0001,2.0001
Makati,-,-,-,-,-,-,-,-,2.0001,2.0001
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.6667
Rosario (CE),-,-,-,-,-,-,-,-,2.0001,2.0001
Naic,-,-,-,-,-,-,-,-,0.6667,0.6667
Amadeo,-,-,-,-,-,-,-,-,1.3334,0.6667
Indang,-,-,-,-,-,-,-,-,2.0001,2.0001
Kawit,-,-,-,-,-,-,-,-,0.6667,0.0000
Carmona,-,-,-,-,-,-,-,-,2.0001,2.0001
Silang,-,-,-,-,-,-,-,-,1.3334,1.3334
Tanza,-,-,-,-,-,-,-,-,1.3334,1.3334
Trece Martires,-,-,-,-,-,-,-,-,1.3334,1.3334
General Trias,-,-,-,-,-,-,-,-,1.3334,1.3334
Alfonso,-,-,-,-,-,-,-,-,2.0001,2.0001
Bacoor,-,-,-,-,-,-,-,-,2.0001,2.0001
Dasmarinas,-,-,-,-,-,-,-,-,1.3334,1.3334
Imus,-,-,-,-,-,-,-,-,1.3334,1.3334
Cavite,-,-,-,-,-,-,-,-,2.0001,2.0001
Tagaytay,-,-,-,-,-,-,-,-,2.0001,2.0001
Angono,-,-,-,-,-,-,-,-,1.3334,1.3334
Antipolo,-,-,-,-,-,-,-,-,2.0001,2.0001
Baras (RL),-,-,-,-,-,-,-,-,1.3334,1.3334
Binangonan,-,-,-,-,-,-,-,-,1.3334,1.3334
Cainta,-,-,-,-,-,-,-,-,0.0000,1.3334
Cardona,-,-,-,-,-,-,-,-,2.0001,2.0001
Jalajala,-,-,-,-,-,-,-,-,2.0001,2.0001
Morong (RL),-,-,-,-,-,-,-,-,2.0001,2.0001
Pililla,-,-,-,-,-,-,-,-,2.0001,2.0001
San Mateo (RL),-,-,-,-,-,-,-,-,2.0001,2.0001
Tanay,-,-,-,-,-,-,-,-,1.3334,1.3334
Taytay (RL),-,-,-,-,-,-,-,-,2.0001,2.0001
Teresa,-,-,-,-,-,-,-,-,2.0001,2.0001
