PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,0.1875,0.1822
Caloocan,-,-,-,-,-,-,-,-,0.0154,0.0335
Manila,-,-,-,-,-,-,-,-,0.0379,0.0729
Pasay,-,-,-,-,-,-,-,-,0.1437,0.1779
Paranaque,-,-,-,-,-,-,-,-,0.0000,0.0000
Las Pinas,-,-,-,-,-,-,-,-,0.0000,0.0000
Valenzuela,-,-,-,-,-,-,-,-,0.4141,0.5265
Pasig,-,-,-,-,-,-,-,-,0.0064,0.0004
Taguig,-,-,-,-,-,-,-,-,0.0000,0.0000
Marikina,-,-,-,-,-,-,-,-,0.0052,0.0035
San Juan (MM),-,-,-,-,-,-,-,-,0.0117,1.3498
Mandaluyong,-,-,-,-,-,-,-,-,0.0480,0.0012
Makati,-,-,-,-,-,-,-,-,0.0292,0.0573
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.0000
Rosario (CE),-,-,-,-,-,-,-,-,0.0000,0.0019
Naic,-,-,-,-,-,-,-,-,0.0000,0.0000
Amadeo,-,-,-,-,-,-,-,-,0.0000,0.0000
Indang,-,-,-,-,-,-,-,-,0.0000,0.0000
Kawit,-,-,-,-,-,-,-,-,0.1139,0.0000
Carmona,-,-,-,-,-,-,-,-,0.0050,0.0004
Silang,-,-,-,-,-,-,-,-,0.0000,0.0000
Tanza,-,-,-,-,-,-,-,-,0.0058,0.0008
Trece Martires,-,-,-,-,-,-,-,-,0.0028,0.0559
General Trias,-,-,-,-,-,-,-,-,0.0000,0.0000
Alfonso,-,-,-,-,-,-,-,-,0.0020,0.0006
Bacoor,-,-,-,-,-,-,-,-,1.0021,1.0019
Dasmarinas,-,-,-,-,-,-,-,-,0.0298,0.0176
Imus,-,-,-,-,-,-,-,-,0.0000,0.0000
Cavite,-,-,-,-,-,-,-,-,0.0822,0.0069
Tagaytay,-,-,-,-,-,-,-,-,0.0453,0.0468
Angono,-,-,-,-,-,-,-,-,0.0223,0.0027
Antipolo,-,-,-,-,-,-,-,-,0.0027,0.0062
Baras (RL),-,-,-,-,-,-,-,-,0.0007,0.0222
Binangonan,-,-,-,-,-,-,-,-,0.0007,0.0001
Cainta,-,-,-,-,-,-,-,-,0.0000,0.0000
Cardona,-,-,-,-,-,-,-,-,0.0002,0.0010
Jalajala,-,-,-,-,-,-,-,-,0.0000,0.0000
Morong (RL),-,-,-,-,-,-,-,-,0.0041,0.0005
Pililla,-,-,-,-,-,-,-,-,0.0062,0.0007
San Mateo (RL),-,-,-,-,-,-,-,-,0.0364,0.0018
Tanay,-,-,-,-,-,-,-,-,0.0000,0.0000
Taytay (RL),-,-,-,-,-,-,-,-,0.0085,0.0013
Teresa,-,-,-,-,-,-,-,-,0.0000,0.0021
