PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,1.2981,1.3280
Caloocan,-,-,-,-,-,-,-,-,1.0510,1.0632
Manila,-,-,-,-,-,-,-,-,1.3461,1.3845
Pasay,-,-,-,-,-,-,-,-,1.0159,1.0161
Paranaque,-,-,-,-,-,-,-,-,0.0299,0.0168
Las Pinas,-,-,-,-,-,-,-,-,0.0065,1.0176
Valenzuela,-,-,-,-,-,-,-,-,1.0381,1.0419
Pasig,-,-,-,-,-,-,-,-,1.1833,1.1829
Taguig,-,-,-,-,-,-,-,-,1.0009,1.0024
Marikina,-,-,-,-,-,-,-,-,1.0507,1.0543
San Juan (MM),-,-,-,-,-,-,-,-,2.0000,2.0000
Mandaluyong,-,-,-,-,-,-,-,-,1.0000,1.0048
Makati,-,-,-,-,-,-,-,-,1.4716,1.2294
Noveleta,-,-,-,-,-,-,-,-,0.1522,1.1957
Rosario (CE),-,-,-,-,-,-,-,-,1.0286,1.0700
Naic,-,-,-,-,-,-,-,-,0.1762,1.1850
Amadeo,-,-,-,-,-,-,-,-,1.5217,0.5217
Indang,-,-,-,-,-,-,-,-,1.1000,1.1300
Kawit,-,-,-,-,-,-,-,-,0.0762,1.1000
Carmona,-,-,-,-,-,-,-,-,1.0619,1.1100
Silang,-,-,-,-,-,-,-,-,1.3000,1.3150
Tanza,-,-,-,-,-,-,-,-,1.1381,1.1450
Trece Martires,-,-,-,-,-,-,-,-,1.0203,1.0152
General Trias,-,-,-,-,-,-,-,-,1.1187,1.0618
Alfonso,-,-,-,-,-,-,-,-,1.0619,1.1650
Bacoor,-,-,-,-,-,-,-,-,1.0782,1.0191
Dasmarinas,-,-,-,-,-,-,-,-,1.1264,1.0642
Imus,-,-,-,-,-,-,-,-,1.0772,1.0569
Cavite,-,-,-,-,-,-,-,-,1.0116,1.0064
Tagaytay,-,-,-,-,-,-,-,-,1.0376,1.0191
Angono,-,-,-,-,-,-,-,-,1.1429,1.3350
Antipolo,-,-,-,-,-,-,-,-,1.0734,1.1216
Baras (RL),-,-,-,-,-,-,-,-,1.3261,1.3261
Binangonan,-,-,-,-,-,-,-,-,1.4048,1.4050
Cainta,-,-,-,-,-,-,-,-,1.0762,1.0800
Cardona,-,-,-,-,-,-,-,-,1.3043,1.3043
Jalajala,-,-,-,-,-,-,-,-,1.1304,1.1304
Morong (RL),-,-,-,-,-,-,-,-,1.1762,1.1650
Pililla,-,-,-,-,-,-,-,-,1.1571,1.1850
San Mateo (RL),-,-,-,-,-,-,-,-,1.1190,1.2850
Tanay,-,-,-,-,-,-,-,-,0.2524,1.2650
Taytay (RL),-,-,-,-,-,-,-,-,1.2714,1.4650
Teresa,-,-,-,-,-,-,-,-,1.1048,1.1050
