PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,0.8710,2.0000
Caloocan,-,-,-,-,-,-,-,-,0.6022,0.0585
Manila,-,-,-,-,-,-,-,-,2.0000,1.5805
Pasay,-,-,-,-,-,-,-,-,1.9677,1.7854
Paranaque,-,-,-,-,-,-,-,-,0.0000,0.0000
Las Pinas,-,-,-,-,-,-,-,-,0.0000,0.0000
Valenzuela,-,-,-,-,-,-,-,-,0.0108,0.0098
Pasig,-,-,-,-,-,-,-,-,0.0000,0.0000
Taguig,-,-,-,-,-,-,-,-,0.0215,0.1659
Marikina,-,-,-,-,-,-,-,-,0.0000,0.0000
San Juan (MM),-,-,-,-,-,-,-,-,0.0753,0.0683
Mandaluyong,-,-,-,-,-,-,-,-,0.0000,0.0098
Makati,-,-,-,-,-,-,-,-,0.0000,0.8000
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.0000
Rosario (CE),-,-,-,-,-,-,-,-,0.0010,0.2963
Naic,-,-,-,-,-,-,-,-,0.0000,0.0000
Amadeo,-,-,-,-,-,-,-,-,0.0000,0.0000
Indang,-,-,-,-,-,-,-,-,0.0000,0.0000
Kawit,-,-,-,-,-,-,-,-,0.0000,0.0741
Carmona,-,-,-,-,-,-,-,-,0.0030,1.7037
Silang,-,-,-,-,-,-,-,-,0.0000,0.1481
Tanza,-,-,-,-,-,-,-,-,0.0000,0.2963
Trece Martires,-,-,-,-,-,-,-,-,0.0000,0.0000
General Trias,-,-,-,-,-,-,-,-,0.0026,0.0212
Alfonso,-,-,-,-,-,-,-,-,0.0010,1.1852
Bacoor,-,-,-,-,-,-,-,-,0.0000,0.0127
Dasmarinas,-,-,-,-,-,-,-,-,0.0077,0.0847
Imus,-,-,-,-,-,-,-,-,0.0000,0.0932
Cavite,-,-,-,-,-,-,-,-,0.0026,0.0021
Tagaytay,-,-,-,-,-,-,-,-,0.0000,0.0000
Angono,-,-,-,-,-,-,-,-,0.0000,0.0000
Antipolo,-,-,-,-,-,-,-,-,0.0000,0.0339
Baras (RL),-,-,-,-,-,-,-,-,0.0020,0.0160
Binangonan,-,-,-,-,-,-,-,-,0.0000,0.0000
Cainta,-,-,-,-,-,-,-,-,0.0010,0.0741
Cardona,-,-,-,-,-,-,-,-,0.0000,0.0000
Jalajala,-,-,-,-,-,-,-,-,0.0000,0.0000
Morong (RL),-,-,-,-,-,-,-,-,0.0129,1.4074
Pililla,-,-,-,-,-,-,-,-,0.0000,0.0000
San Mateo (RL),-,-,-,-,-,-,-,-,0.0030,0.2222
Tanay,-,-,-,-,-,-,-,-,0.0000,0.7407
Taytay (RL),-,-,-,-,-,-,-,-,0.0030,0.2963
Teresa,-,-,-,-,-,-,-,-,0.0000,0.0000
