PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,0.4609,0.3208
Caloocan,-,-,-,-,-,-,-,-,0.1007,0.2844
Manila,-,-,-,-,-,-,-,-,0.8908,0.9985
Pasay,-,-,-,-,-,-,-,-,0.0632,0.4682
Paranaque,-,-,-,-,-,-,-,-,0.0124,0.0722
Las Pinas,-,-,-,-,-,-,-,-,0.0041,0.1023
Valenzuela,-,-,-,-,-,-,-,-,0.1057,0.1971
Pasig,-,-,-,-,-,-,-,-,0.0487,0.3378
Taguig,-,-,-,-,-,-,-,-,0.0365,0.2213
Marikina,-,-,-,-,-,-,-,-,0.0195,0.2013
San Juan (MM),-,-,-,-,-,-,-,-,0.0009,0.0023
Mandaluyong,-,-,-,-,-,-,-,-,0.0997,0.2009
Makati,-,-,-,-,-,-,-,-,0.0940,0.1935
Noveleta,-,-,-,-,-,-,-,-,0.0000,0.0000
Rosario (CE),-,-,-,-,-,-,-,-,0.0313,0.0189
Naic,-,-,-,-,-,-,-,-,0.0010,0.0078
Amadeo,-,-,-,-,-,-,-,-,0.0000,0.0000
Indang,-,-,-,-,-,-,-,-,0.1180,0.2367
Kawit,-,-,-,-,-,-,-,-,0.0000,0.0000
Carmona,-,-,-,-,-,-,-,-,0.0194,0.0235
Silang,-,-,-,-,-,-,-,-,0.0608,0.0318
Tanza,-,-,-,-,-,-,-,-,0.0007,0.0049
Trece Martires,-,-,-,-,-,-,-,-,0.0077,0.4411
General Trias,-,-,-,-,-,-,-,-,0.0359,0.0548
Alfonso,-,-,-,-,-,-,-,-,0.0088,0.0631
Bacoor,-,-,-,-,-,-,-,-,0.0000,0.0733
Dasmarinas,-,-,-,-,-,-,-,-,0.2936,0.6197
Imus,-,-,-,-,-,-,-,-,0.0397,0.1597
Cavite,-,-,-,-,-,-,-,-,0.0954,0.1130
Tagaytay,-,-,-,-,-,-,-,-,0.0093,0.0295
Angono,-,-,-,-,-,-,-,-,0.0000,0.0000
Antipolo,-,-,-,-,-,-,-,-,0.0752,0.1068
Baras (RL),-,-,-,-,-,-,-,-,0.0000,0.0000
Binangonan,-,-,-,-,-,-,-,-,0.0625,0.1115
Cainta,-,-,-,-,-,-,-,-,0.1558,0.3550
Cardona,-,-,-,-,-,-,-,-,0.0483,0.0459
Jalajala,-,-,-,-,-,-,-,-,0.0000,0.1158
Morong (RL),-,-,-,-,-,-,-,-,0.0951,0.1964
Pililla,-,-,-,-,-,-,-,-,0.0080,0.0000
San Mateo (RL),-,-,-,-,-,-,-,-,0.2211,0.3145
Tanay,-,-,-,-,-,-,-,-,0.0042,0.0196
Taytay (RL),-,-,-,-,-,-,-,-,0.0070,0.0149
Teresa,-,-,-,-,-,-,-,-,0.0000,0.0000
