PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),14.3746,12.0512,19.0385,15.3010,15.1367,15.5786,25.0000,13.4213,9.2227,11.9904
Caloocan,6.3776,13.0296,12.6541,9.1132,7.8377,7.3155,6.8979,6.5503,5.8276,6.1716
Manila,11.9254,17.7227,16.1561,15.2508,15.0051,13.7218,15.0476,15.5530,11.6643,10.3906
Pasay,12.4744,10.1968,12.9107,12.1064,10.8621,10.5289,10.9004,10.0948,9.1180,9.6496
Paranaque,11.1728,9.8840,11.1709,10.1960,9.3913,8.5993,7.5117,7.0256,5.1681,5.2753
Las Pinas,0.0000,9.7440,15.0129,8.9192,7.1731,5.6689,5.4662,5.1343,3.9999,5.0016
Valenzuela,11.7764,10.5629,11.1875,6.6537,7.7359,6.5985,6.9813,7.8074,5.1584,5.8851
Pasig,-,10.4789,16.3457,9.3071,11.6027,9.4181,8.5741,7.5557,5.6032,5.7601
Taguig,-,0.2354,9.9738,7.3990,7.5806,7.5312,6.2220,7.0852,4.4623,4.1554
Marikina,15.4114,7.9386,9.7575,6.3220,7.2884,6.3105,5.3006,5.5964,3.8106,4.5201
San Juan (MM),-,7.2682,8.8207,6.3497,6.9524,5.3903,4.4085,5.0825,2.8204,4.1408
Mandaluyong,10.8763,7.9682,9.9895,7.2542,7.9536,6.3738,5.7369,6.0476,4.6178,4.7667
Makati,15.0295,12.8033,17.1414,9.2285,10.2223,9.9328,10.4550,9.4636,7.7708,7.2805
Noveleta,-,12.2041,12.2337,9.0450,0.0000,6.9203,7.3323,6.6001,3.2546,3.6572
Rosario (CE),4.6728,10.9327,10.6060,7.1438,0.0000,6.2797,6.8728,7.1826,2.9141,3.6465
Naic,4.8879,9.2633,10.1793,6.9289,0.0000,6.4659,6.3314,6.2861,2.8075,3.3233
Amadeo,-,-,10.2884,6.5909,0.0000,5.8425,5.6871,6.2309,3.7853,3.8485
Indang,0.5375,2.2352,7.7725,6.8806,0.0000,5.7254,5.6557,5.5740,2.2677,2.9593
Kawit,8.1659,9.6764,9.7446,6.9826,0.0000,6.4485,6.4214,6.2561,2.8947,3.3551
Carmona,9.8281,10.4036,9.7219,7.3868,0.0000,8.1896,8.1211,7.7039,3.1849,3.7397
Silang,11.0402,11.9413,11.5505,8.4833,0.0000,7.4834,7.3693,7.2493,3.9874,4.3537
Tanza,8.5672,9.6954,10.2555,7.7528,0.0000,6.8541,6.8689,6.6872,3.4327,4.1357
Trece Martires,5.0514,9.6791,9.7439,6.2938,7.0896,6.1377,6.2684,7.6323,4.5107,4.4106
General Trias,11.3334,11.9039,12.6129,8.0192,9.4984,7.2318,7.7327,6.8622,4.9903,6.1686
Alfonso,7.2201,6.6950,7.9025,5.8159,0.0000,5.5832,5.6157,5.9189,2.2422,3.0799
Bacoor,9.0840,15.0174,17.1043,10.4375,10.1979,11.1103,10.9060,9.1225,5.9045,5.7636
Dasmarinas,11.1141,16.2644,14.7054,10.7819,9.2458,9.3862,8.9779,9.8210,6.1038,7.4170
Imus,8.5239,12.8794,12.7243,10.4014,10.0989,9.5187,10.2490,9.0919,5.2523,5.4636
Cavite,4.6693,7.2758,6.4808,6.9622,8.6283,6.4121,6.4582,6.9768,3.3364,3.6751
Tagaytay,7.9319,9.4173,11.0146,7.1081,8.3336,6.8883,6.9237,6.9095,4.1696,4.5704
Angono,9.8943,13.7279,14.4000,10.9244,0.0000,8.7247,8.8084,8.3175,4.8231,5.7093
Antipolo,10.2972,15.3975,15.0092,14.8403,11.5599,13.4534,12.8423,12.7429,7.4955,9.9004
Baras (RL),-,9.2722,9.8476,6.7996,0.0000,6.2552,5.9537,5.9282,3.7278,3.5648
Binangonan,7.8223,10.6166,11.4405,8.7721,0.0000,8.3204,8.0147,7.4808,4.0944,4.8564
Cainta,9.6698,13.3512,15.0169,11.5752,0.0000,10.3544,10.0593,9.6672,4.7182,5.1031
Cardona,-,10.7615,11.6991,7.2956,0.0000,5.7775,5.5385,5.7179,4.5750,3.5798
Jalajala,-,5.3872,8.8735,6.8899,0.0000,6.1654,5.6209,5.7057,3.0711,2.9775
Morong (RL),-,9.0555,8.9332,7.5146,0.0000,6.1833,6.4874,6.2203,3.0573,3.3626
Pililla,8.5779,8.6129,8.9633,6.2845,0.0000,5.7644,5.7351,5.7723,2.6102,3.0869
San Mateo (RL),10.0432,10.2417,10.8634,8.3043,0.0000,8.7748,8.4588,8.7622,4.1608,4.7735
Tanay,8.0317,9.6241,10.0513,7.8162,0.0000,6.7539,6.5455,6.2580,3.2416,3.9041
Taytay (RL),11.4994,13.4258,14.4522,12.0315,0.0000,10.2641,9.9574,9.9442,4.5510,5.3807
Teresa,8.0820,8.3746,8.8851,6.3190,0.0000,5.9589,5.9897,6.0254,2.4271,2.9462
