PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,-,-,-,-,-,11.8588,12.6124
Caloocan,-,-,-,-,-,-,-,-,8.3547,8.2833
Manila,-,-,-,-,-,-,-,-,11.5876,11.5893
Pasay,-,-,-,-,-,-,-,-,9.7209,11.0886
Paranaque,-,-,-,-,-,-,-,-,5.4609,5.9169
Las Pinas,-,-,-,-,-,-,-,-,3.4506,6.6754
Valenzuela,-,-,-,-,-,-,-,-,8.7175,9.1056
Pasig,-,-,-,-,-,-,-,-,7.7087,8.4298
Taguig,-,-,-,-,-,-,-,-,7.8048,8.0713
Marikina,-,-,-,-,-,-,-,-,6.4776,6.9153
San Juan (MM),-,-,-,-,-,-,-,-,5.5623,7.5535
Mandaluyong,-,-,-,-,-,-,-,-,7.9796,7.8531
Makati,-,-,-,-,-,-,-,-,8.2053,8.9417
Noveleta,-,-,-,-,-,-,-,-,2.1917,5.9230
Rosario (CE),-,-,-,-,-,-,-,-,5.2675,8.2811
Naic,-,-,-,-,-,-,-,-,2.9896,3.9826
Amadeo,-,-,-,-,-,-,-,-,5.0402,3.3764
Indang,-,-,-,-,-,-,-,-,5.3649,8.1010
Kawit,-,-,-,-,-,-,-,-,5.1117,4.0182
Carmona,-,-,-,-,-,-,-,-,7.4510,9.5340
Silang,-,-,-,-,-,-,-,-,5.2093,7.6665
Tanza,-,-,-,-,-,-,-,-,4.7073,7.5507
Trece Martires,-,-,-,-,-,-,-,-,4.7543,5.2803
General Trias,-,-,-,-,-,-,-,-,5.0450,5.0566
Alfonso,-,-,-,-,-,-,-,-,5.2346,9.2823
Bacoor,-,-,-,-,-,-,-,-,8.8557,9.2409
Dasmarinas,-,-,-,-,-,-,-,-,8.8852,9.7641
Imus,-,-,-,-,-,-,-,-,5.1425,7.4532
Cavite,-,-,-,-,-,-,-,-,6.0764,6.0234
Tagaytay,-,-,-,-,-,-,-,-,5.8493,5.7290
Angono,-,-,-,-,-,-,-,-,7.3279,7.9219
Antipolo,-,-,-,-,-,-,-,-,8.6517,9.2828
Baras (RL),-,-,-,-,-,-,-,-,6.8107,7.5582
Binangonan,-,-,-,-,-,-,-,-,7.0158,7.4370
Cainta,-,-,-,-,-,-,-,-,4.9325,8.8637
Cardona,-,-,-,-,-,-,-,-,7.4442,7.5246
Jalajala,-,-,-,-,-,-,-,-,5.4470,5.6518
Morong (RL),-,-,-,-,-,-,-,-,7.5941,9.4971
Pililla,-,-,-,-,-,-,-,-,5.2093,5.5863
San Mateo (RL),-,-,-,-,-,-,-,-,5.8411,9.5199
Tanay,-,-,-,-,-,-,-,-,3.8403,7.9673
Taytay (RL),-,-,-,-,-,-,-,-,7.8926,9.0399
Teresa,-,-,-,-,-,-,-,-,7.1436,7.8379
