PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),33.3118,51.1031,57.1550,64.7919,63.0887,66.1689,100.0000,59.3090,58.4528,61.8475
Caloocan,31.3799,43.8063,37.7238,46.7719,43.9789,41.5646,45.0140,38.4762,42.7570,42.0494
Manila,43.1479,54.9629,54.7559,63.7276,59.5624,61.1141,65.9782,58.8263,57.4961,56.2923
Pasay,42.6736,42.0647,36.9073,58.0956,58.4219,52.9623,58.6473,52.8006,57.0837,56.7826
Paranaque,42.7027,44.4285,37.2525,48.0031,44.1612,42.9512,43.4816,36.9221,38.7138,36.3001
Las Pinas,25.8590,38.2466,34.1145,38.2603,40.6006,34.6591,38.4119,32.1821,33.3183,35.1899
Valenzuela,43.0213,44.3770,37.5350,41.7015,43.2159,40.5330,46.4667,42.0990,44.8891,44.2105
Pasig,-,40.1793,50.6090,50.2782,51.3841,46.9122,48.5923,41.4838,44.8071,44.5875
Taguig,-,14.4464,34.2928,48.3591,46.6432,42.0334,34.9544,34.8888,39.8952,38.4518
Marikina,45.4654,37.9577,35.3606,39.4154,44.1069,37.7537,32.8290,30.5437,37.6813,36.6775
San Juan (MM),-,32.0502,32.3726,35.4004,43.8474,34.5497,35.2588,29.5766,35.4075,34.1455
Mandaluyong,41.4875,37.2067,35.4191,44.6457,44.4814,39.6788,40.2337,33.5869,40.9446,37.7354
Makati,53.2422,54.4147,56.2267,55.1862,53.5303,51.3743,53.7875,46.7149,48.7075,47.1135
Noveleta,-,38.7771,31.3911,39.1346,0.0000,41.2383,42.6554,36.6800,31.0828,34.2922
Rosario (CE),26.1808,33.2735,27.9696,41.9769,0.0000,39.6072,41.9816,37.5825,32.2876,38.6744
Naic,24.3276,31.0396,28.8453,37.7220,0.0000,39.4841,39.7427,34.6783,29.8176,32.4348
Amadeo,-,-,24.9796,33.9718,0.0000,40.2330,39.5014,34.7653,35.3384,32.9745
Indang,11.3693,16.8792,20.7042,34.6918,0.0000,35.9816,36.6144,31.6263,27.2628,34.0289
Kawit,27.8221,31.5937,25.7537,36.8880,0.0000,40.4443,40.5093,35.2215,31.4763,30.7138
Carmona,41.7940,39.5163,33.4494,45.2125,0.0000,45.9732,45.3389,42.6186,38.3210,43.7654
Silang,32.3093,35.6350,33.0117,41.7845,0.0000,46.0746,46.2314,40.1919,36.4616,40.0061
Tanza,35.1907,35.7300,31.7470,35.7525,0.0000,43.0237,42.7992,37.0499,33.7060,39.9054
Trece Martires,25.6877,34.1738,31.2459,35.3984,37.3828,36.3220,36.4898,33.7464,33.5728,33.9622
General Trias,42.4998,45.9724,41.7881,46.8755,48.3603,48.7295,48.5875,40.7625,39.2770,39.3679
Alfonso,28.5008,27.9453,20.9066,37.1215,0.0000,34.4552,32.8920,32.0780,30.3825,37.8125
Bacoor,35.3078,44.6972,46.3739,48.4307,49.0341,50.6371,50.2549,43.7532,41.9860,42.4248
Dasmarinas,31.9844,43.4312,39.6181,47.0088,46.4776,51.8164,53.1874,48.9388,44.3941,46.9285
Imus,31.7303,45.3556,44.9308,47.6609,50.5229,50.5208,53.5763,44.2899,38.5147,41.6118
Cavite,23.7425,30.8249,28.5972,37.4772,42.1907,36.0126,38.9868,32.6798,33.1381,33.0578
Tagaytay,31.2134,33.7157,31.6885,39.5315,41.5550,38.7561,39.4650,34.1843,36.6781,35.0134
Angono,37.9295,41.1206,37.6267,48.2948,0.0000,45.2941,45.7280,41.5365,38.6701,41.1974
Antipolo,37.2598,44.6025,45.5015,55.4392,51.5332,59.6824,60.6971,52.7380,48.1525,50.4242
Baras (RL),-,33.7722,28.3253,40.9533,0.0000,43.2521,43.4387,36.9455,38.7559,37.2309
Binangonan,28.8858,35.1101,35.7195,44.7662,0.0000,47.8544,46.9827,40.8397,39.2431,41.7879
Cainta,29.5026,38.1424,45.0291,54.7205,0.0000,54.1871,55.0340,50.3806,39.7123,47.2492
Cardona,-,33.1209,26.9947,41.0337,0.0000,42.3262,41.0400,35.2930,38.1665,35.3501
Jalajala,-,26.3573,23.4833,37.6800,0.0000,39.3669,38.8752,32.9010,34.0076,32.1463
Morong (RL),-,32.1380,22.6780,40.2742,0.0000,38.4031,38.7756,34.7968,35.2578,38.6382
Pililla,29.8992,31.8444,27.7962,38.4815,0.0000,37.7835,37.4912,32.9738,32.0747,32.1529
San Mateo (RL),36.6756,36.0279,34.0373,44.8201,0.0000,46.9108,48.3451,46.7744,39.3832,43.3141
Tanay,31.5290,35.6039,32.3438,43.0099,0.0000,40.4804,39.5111,35.1941,31.7040,36.8313
Taytay (RL),38.0530,41.3192,43.0589,52.3258,0.0000,52.2046,51.0578,46.6610,42.5147,45.0574
Teresa,28.0729,31.8444,27.8127,39.4446,0.0000,38.0788,37.6147,32.8388,32.7814,35.1026
