PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,20.1416,19.2303,18.9421,25.0000,16.7128,14.2440,16.0835
Caloocan,-,-,-,18.5818,18.0969,16.7231,17.8679,14.4174,12.0473,12.1345
Manila,-,-,-,19.9217,19.1134,18.7216,19.2039,15.7704,13.6591,14.5617
Pasay,-,-,-,18.9737,19.6818,17.5642,18.1505,14.8777,13.1662,13.0787
Paranaque,-,-,-,18.8920,17.1891,16.5961,16.9801,14.0155,11.8765,11.4956
Las Pinas,-,-,-,15.2196,17.5499,16.0651,16.9870,13.4617,11.4858,11.4578
Valenzuela,-,-,-,16.7955,18.0913,15.9672,19.3543,15.7906,13.3363,13.3719
Pasig,-,-,-,18.5670,18.3974,17.1841,18.2897,14.5967,12.0650,12.5480
Taguig,-,-,-,18.0353,17.6726,16.2419,14.2120,12.9700,11.2496,11.1003
Marikina,-,-,-,14.7730,18.2345,16.4903,14.1125,12.0295,11.5538,11.5079
San Juan (MM),-,-,-,11.2191,17.0269,15.6583,17.0295,13.4486,11.5776,10.9236
Mandaluyong,-,-,-,17.6520,16.8003,16.4695,17.1959,13.6712,11.8210,11.6443
Makati,-,-,-,19.6666,19.3278,18.4150,19.1462,15.3189,12.2246,12.4362
Noveleta,-,-,-,14.7461,0.0000,15.4683,15.3533,13.6297,10.3879,10.9819
Rosario (CE),-,-,-,15.4633,0.0000,16.7833,17.1955,13.4622,11.6215,12.4140
Naic,-,-,-,16.2888,0.0000,16.8795,17.0789,13.5025,11.4238,11.4289
Amadeo,-,-,-,13.2530,0.0000,15.8256,15.8201,12.7295,10.7635,11.2599
Indang,-,-,-,15.1584,0.0000,16.0599,16.3593,12.8827,10.1700,11.4683
Kawit,-,-,-,14.8547,0.0000,16.9960,17.1129,13.2792,11.3705,10.9750
Carmona,-,-,-,17.6185,0.0000,17.4637,16.7608,13.7066,11.7516,11.6230
Silang,-,-,-,16.0128,0.0000,17.3578,17.5777,13.9455,12.3369,11.9699
Tanza,-,-,-,11.0495,0.0000,17.8675,17.8561,12.5860,10.7556,11.7535
Trece Martires,-,-,-,14.7688,15.5373,16.0690,15.9715,12.8243,10.8200,11.3756
General Trias,-,-,-,17.9858,17.2594,17.8396,17.6870,13.6507,11.4952,11.7073
Alfonso,-,-,-,15.6824,0.0000,15.1405,13.6672,13.3744,11.3680,11.5771
Bacoor,-,-,-,17.1268,17.5649,17.4784,17.1500,13.8925,11.5528,11.4248
Dasmarinas,-,-,-,17.7147,17.3063,18.2757,17.8288,14.2077,11.7065,11.5929
Imus,-,-,-,16.1387,17.0955,18.1129,18.3501,14.2925,12.0591,12.2755
Cavite,-,-,-,14.3906,16.4648,15.7443,15.4037,13.6046,11.2228,11.2792
Tagaytay,-,-,-,15.7688,16.1262,16.4772,16.2791,13.6175,11.4413,11.4295
Angono,-,-,-,17.4318,0.0000,17.1667,18.0668,14.7894,12.2254,12.1808
Antipolo,-,-,-,17.5155,17.8449,20.4557,19.3501,14.7380,13.2348,13.2978
Baras (RL),-,-,-,15.5694,0.0000,17.4781,16.2429,13.7701,11.4675,11.5105
Binangonan,-,-,-,16.3942,0.0000,19.3259,19.1914,15.4071,12.7595,12.7643
Cainta,-,-,-,18.2252,0.0000,18.4802,18.0325,14.1275,11.9814,12.1040
Cardona,-,-,-,15.6376,0.0000,17.6153,16.9950,14.2755,11.4419,11.4925
Jalajala,-,-,-,16.1551,0.0000,16.8514,16.7196,13.2984,11.1398,11.4405
Morong (RL),-,-,-,16.4881,0.0000,16.6970,16.9786,13.5135,11.4358,11.5436
Pililla,-,-,-,15.7327,0.0000,16.8461,17.2145,14.0925,11.8316,11.3338
San Mateo (RL),-,-,-,16.7886,0.0000,19.0415,19.6344,18.4734,14.9440,14.3093
Tanay,-,-,-,16.7239,0.0000,17.1570,16.7294,14.0969,11.7234,11.6379
Taytay (RL),-,-,-,17.5262,0.0000,17.6694,17.5079,15.7254,13.1940,12.1592
Teresa,-,-,-,16.1722,0.0000,16.7578,16.9197,13.4238,11.3862,11.3852
