PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.5000,2.5000,1.8750,2.5000,1.2703,1.0179,1.0067
Caloocan,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.0143,1.0067
Manila,-,-,-,2.5000,2.5000,2.5000,2.5000,1.4054,1.5269,2.0000
Pasay,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.7348,1.4655
Paranaque,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2703,1.0143,1.0067
Las Pinas,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2568,1.0143,1.0089
Valenzuela,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.0143,1.0067
Pasig,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.0143,1.0067
Taguig,-,-,-,2.5000,2.5000,1.2500,0.0000,1.2500,1.0143,1.0067
Marikina,-,-,-,2.5000,2.5000,2.5000,0.0000,0.0000,1.0143,1.0067
San Juan (MM),-,-,-,2.5000,2.5000,1.8750,2.5000,1.2770,1.0143,1.0067
Mandaluyong,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2770,1.0143,1.0067
Makati,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2770,1.0179,1.0067
Noveleta,-,-,-,2.5000,0.0000,2.4107,2.5000,1.3734,0.0000,1.0036
Rosario (CE),-,-,-,2.5000,0.0000,2.0000,2.5000,1.2583,1.0080,1.1586
Naic,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2667,1.0080,1.0032
Amadeo,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2747,1.0025,1.0036
Indang,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2500,0.0000,1.0048
Kawit,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2625,1.0080,1.0032
Carmona,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2625,1.0080,1.0040
Silang,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2542,1.0080,1.0032
Tanza,-,-,-,2.5000,0.0000,2.2500,2.5000,0.0000,0.0000,1.0048
Trece Martires,-,-,-,2.5000,2.5000,2.2917,2.5000,1.3919,1.0631,1.0554
General Trias,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2703,1.0194,1.0036
Alfonso,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2625,1.0080,1.1071
Bacoor,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2568,1.0728,1.0200
Dasmarinas,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2635,1.1311,1.0036
Imus,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2770,1.0194,1.2162
Cavite,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2568,1.0194,1.0036
Tagaytay,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2770,1.0194,1.0036
Angono,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2917,1.0200,1.0773
Antipolo,-,-,-,2.5000,2.5000,2.2917,2.5000,1.4324,1.1505,1.0718
Baras (RL),-,-,-,2.5000,0.0000,2.4107,2.5000,1.2829,1.0010,1.0036
Binangonan,-,-,-,2.5000,0.0000,2.2500,2.5000,1.3042,1.0260,1.0024
Cainta,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2667,1.0080,1.0097
Cardona,-,-,-,2.5000,0.0000,2.4107,2.5000,1.9408,1.0380,1.1372
Jalajala,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2829,1.0020,1.0036
Morong (RL),-,-,-,2.5000,0.0000,2.2500,2.5000,1.2583,1.0080,1.0032
Pililla,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2708,1.0080,1.0032
San Mateo (RL),-,-,-,2.5000,0.0000,2.2500,2.5000,1.3250,1.0400,1.0225
Tanay,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2583,1.0080,1.0056
Taytay (RL),-,-,-,2.5000,0.0000,2.2500,2.5000,1.4667,1.1120,1.0435
Teresa,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2542,1.0080,1.0032
