PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.5000,2.5000,2.4306,2.5000,2.5000,1.9500,2.0000
Caloocan,-,-,-,2.5000,2.5000,2.4306,2.5000,2.5000,1.9000,2.0000
Manila,-,-,-,2.5000,2.5000,2.4306,2.5000,2.5000,1.9500,1.9167
Pasay,-,-,-,2.5000,2.5000,2.3611,2.3611,2.5000,1.8500,2.0000
Paranaque,-,-,-,2.5000,2.5000,2.3611,2.4306,2.5000,1.9000,1.8333
Las Pinas,-,-,-,2.5000,2.5000,2.4306,2.5000,2.3571,1.8000,1.6667
Valenzuela,-,-,-,2.5000,2.5000,2.4306,2.4306,2.5000,1.9500,1.5000
Pasig,-,-,-,2.5000,2.5000,2.4306,2.5000,2.2857,1.7500,2.0000
Taguig,-,-,-,2.5000,2.5000,2.4306,2.4306,2.0000,1.9000,2.0000
Marikina,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,1.9000,1.8333
San Juan (MM),-,-,-,0.0000,2.5000,2.3611,2.5000,2.5000,1.9500,1.9167
Mandaluyong,-,-,-,2.5000,2.5000,2.4306,2.5000,2.5000,1.9500,2.0000
Makati,-,-,-,2.5000,2.5000,2.4306,2.5000,2.4286,1.5000,1.7500
Noveleta,-,-,-,2.0000,0.0000,2.4537,2.5000,2.5000,1.9995,1.9524
Rosario (CE),-,-,-,2.5000,0.0000,2.3611,2.5000,2.4737,1.9998,1.9583
Naic,-,-,-,2.5000,0.0000,2.5000,2.5000,2.4474,1.9993,1.9583
Amadeo,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9998,1.9762
Indang,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4211,1.9990,1.9583
Kawit,-,-,-,2.0000,0.0000,2.4537,2.4537,2.4211,1.9983,1.9583
Carmona,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4211,1.9990,1.7917
Silang,-,-,-,2.5000,0.0000,2.4074,2.4074,2.3947,1.9998,1.9167
Tanza,-,-,-,2.5000,0.0000,2.4074,2.5000,2.4474,1.9998,1.9583
Trece Martires,-,-,-,2.5000,2.5000,2.3810,2.4405,2.3571,1.9444,1.9762
General Trias,-,-,-,2.5000,2.5000,2.2619,2.5000,2.4286,1.9444,1.9762
Alfonso,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4737,1.9998,1.9583
Bacoor,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,1.9524
Dasmarinas,-,-,-,2.5000,2.5000,2.4405,2.5000,2.4286,1.9444,1.9762
Imus,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,1.9762
Cavite,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,1.9762
Tagaytay,-,-,-,2.5000,2.5000,2.3810,2.5000,2.5000,1.9444,1.9524
Angono,-,-,-,2.5000,0.0000,2.3611,2.3611,2.3684,1.9985,1.9583
Antipolo,-,-,-,2.5000,2.5000,2.3810,2.5000,2.5000,1.9444,1.9762
Baras (RL),-,-,-,2.5000,0.0000,2.4074,2.5000,2.5000,1.9995,1.9762
Binangonan,-,-,-,2.5000,0.0000,2.3611,2.5000,2.4474,1.9998,1.9167
Cainta,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4737,1.9998,1.9583
Cardona,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4853,1.9998,1.9762
Jalajala,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4853,1.9995,1.9762
Morong (RL),-,-,-,2.5000,0.0000,2.3611,2.3611,2.4474,1.9995,1.9583
Pililla,-,-,-,2.0000,0.0000,2.3611,2.5000,2.4474,1.9993,1.8333
San Mateo (RL),-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9998,1.9583
Tanay,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4211,1.9998,1.9167
Taytay (RL),-,-,-,2.5000,0.0000,2.4074,2.5000,2.4211,1.9998,1.9167
Teresa,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9995,1.8750
