PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Caloocan,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2672,1.0136,1.0151
Manila,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2729,1.0635,1.1808
Pasay,-,-,-,2.5000,2.5000,2.5000,2.5000,1.3072,1.0658,1.0527
Paranaque,-,-,-,2.5000,2.5000,2.5000,2.5000,1.5217,1.2154,1.1789
Las Pinas,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2872,1.0113,1.1563
Valenzuela,-,-,-,2.5000,2.5000,2.5000,2.5000,1.3473,1.0771,1.0923
Pasig,-,-,-,2.5000,2.5000,2.5000,2.5000,2.2368,1.4104,1.4087
Taguig,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2500,1.0703,1.0734
Marikina,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2900,1.0317,1.0245
San Juan (MM),-,-,-,2.5000,2.5000,2.5000,2.5000,1.3473,1.1134,1.0923
Mandaluyong,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2700,1.0159,1.0151
Makati,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2872,1.0952,1.0942
Noveleta,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2600,1.0059,1.0059
Rosario (CE),-,-,-,2.5000,0.0000,2.5000,2.5000,1.3048,1.2072,1.0066
Naic,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2719,1.0037,1.0005
Amadeo,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2575,1.0059,1.0059
Indang,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2573,1.0025,1.0005
Kawit,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2920,1.0695,1.0061
Carmona,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2683,1.0136,1.0026
Silang,-,-,-,2.5000,0.0000,2.5000,2.5000,1.4675,1.2395,1.0210
Tanza,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2518,1.0012,1.0001
Trece Martires,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2589,1.0035,1.0001
General Trias,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2545,1.0024,1.0003
Alfonso,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2537,1.0050,1.0268
Bacoor,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2679,1.0071,1.0007
Dasmarinas,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2902,1.0790,1.0466
Imus,-,-,-,2.5000,2.5000,2.5000,2.5000,1.4777,1.1191,1.0127
Cavite,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2522,1.0012,1.0002
Tagaytay,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2545,1.0012,1.0002
Angono,-,-,-,2.5000,0.0000,2.5000,2.5000,1.4510,1.1427,1.0136
Antipolo,-,-,-,2.5000,2.5000,2.5000,2.5000,1.3973,2.0000,2.0000
Baras (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,1.2550,1.0079,1.0079
Binangonan,-,-,-,2.5000,0.0000,2.5000,2.5000,1.3249,1.0509,1.0045
Cainta,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2573,1.0087,1.0011
Cardona,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2525,1.0040,1.0079
Jalajala,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2824,1.0257,1.0257
Morong (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,1.2591,1.0062,1.0035
Pililla,-,-,-,2.5000,0.0000,2.5000,2.5000,1.7398,1.3325,1.0292
San Mateo (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,2.3977,1.9355,1.0944
Tanay,-,-,-,2.5000,0.0000,2.5000,2.5000,1.3048,1.0434,1.0054
Taytay (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,1.0879
Teresa,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2664,1.0099,1.0024
