PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,1.6378,0.2777,0.8106,2.5000,1.1470,1.0300,2.0000
Caloocan,-,-,-,0.5165,0.0477,0.0411,0.0653,0.0506,0.0434,0.1188
Manila,-,-,-,1.7616,0.2892,0.3031,0.2223,0.7116,0.7840,1.1812
Pasay,-,-,-,1.3179,0.9173,0.6874,0.4342,0.4910,0.3841,0.4619
Paranaque,-,-,-,1.1635,0.0730,0.0334,0.0168,0.0268,0.0331,0.0474
Las Pinas,-,-,-,0.3432,0.0000,0.1991,0.0344,0.1032,0.0112,0.0195
Valenzuela,-,-,-,0.9479,0.3327,0.0000,1.9396,1.8396,1.4931,1.7974
Pasig,-,-,-,1.1110,0.3180,0.2164,0.4990,0.0274,0.0254,0.3017
Taguig,-,-,-,0.1609,0.0396,0.0252,0.0154,0.0000,0.0000,0.0000
Marikina,-,-,-,0.2814,0.0652,0.0576,0.0315,0.0000,0.0039,0.0040
San Juan (MM),-,-,-,0.0698,0.0057,0.0035,0.0051,0.0059,0.0208,0.0291
Mandaluyong,-,-,-,0.2694,0.0015,0.0109,0.0394,0.0411,0.0324,0.0168
Makati,-,-,-,1.8862,1.4136,0.8378,0.6380,0.6518,0.5234,0.7572
Noveleta,-,-,-,0.4617,0.0000,0.0244,0.0188,0.0262,0.0070,0.0056
Rosario (CE),-,-,-,0.2987,0.0000,0.0413,0.0043,0.0047,0.0034,0.7606
Naic,-,-,-,0.2824,0.0000,0.0067,0.0064,0.0070,0.0034,0.0158
Amadeo,-,-,-,0.7707,0.0000,0.0098,0.0094,0.0113,0.0025,0.0031
Indang,-,-,-,0.0474,0.0000,0.1716,0.1652,0.1797,0.1309,0.1000
Kawit,-,-,-,0.3837,0.0000,0.0064,0.0092,0.0047,0.0048,0.0027
Carmona,-,-,-,1.4844,0.0000,0.1402,0.1640,0.2153,0.1662,0.1993
Silang,-,-,-,0.7675,0.0000,0.2136,0.2147,0.2336,0.5234,0.4658
Tanza,-,-,-,0.5549,0.0000,0.1844,0.1835,0.1997,0.1454,0.1307
Trece Martires,-,-,-,0.2938,0.0038,0.0025,0.0001,0.0003,0.0009,0.0013
General Trias,-,-,-,1.6308,0.0746,1.0578,0.0259,0.0146,0.0316,0.0239
Alfonso,-,-,-,0.1734,0.0000,0.2505,0.0242,0.0160,0.0128,0.0787
Bacoor,-,-,-,0.9658,0.0036,0.0030,0.0013,0.0012,0.0060,0.0183
Dasmarinas,-,-,-,0.9779,0.0613,0.0092,0.0005,0.0119,0.0181,0.0268
Imus,-,-,-,0.5653,0.0353,0.0516,0.1628,0.1907,0.3814,0.4454
Cavite,-,-,-,0.1345,0.0136,0.0138,0.0021,0.0003,0.0006,0.0000
Tagaytay,-,-,-,0.3077,0.0052,0.0034,0.0002,0.0008,0.0016,0.0008
Angono,-,-,-,1.1550,0.0000,0.6764,0.8121,1.0849,0.6277,0.6369
Antipolo,-,-,-,1.2899,0.4444,0.5807,0.1970,0.2071,0.4307,0.4156
Baras (RL),-,-,-,0.6431,0.0000,0.2316,0.1790,0.1657,0.0428,0.0551
Binangonan,-,-,-,0.7327,0.0000,1.5203,1.4630,1.6008,1.1656,1.0207
Cainta,-,-,-,2.1627,0.0000,0.0318,0.0459,0.5658,0.5331,0.6326
Cardona,-,-,-,0.1737,0.0000,0.7216,0.0471,0.0157,0.0036,0.0054
Jalajala,-,-,-,0.1379,0.0000,0.0865,0.0669,0.0663,0.0032,0.0034
Morong (RL),-,-,-,0.2118,0.0000,0.0257,0.0379,0.0825,0.0373,0.0502
Pililla,-,-,-,0.2209,0.0000,0.0213,0.0578,0.0735,0.0788,0.0685
San Mateo (RL),-,-,-,0.7311,0.0000,1.0483,1.4985,2.5000,1.8447,1.8461
Tanay,-,-,-,0.2550,0.0000,0.1434,0.1376,0.0998,0.0727,0.0844
Taytay (RL),-,-,-,1.7102,0.0000,0.3884,0.4588,0.5441,0.4277,0.3722
Teresa,-,-,-,0.2802,0.0000,0.0143,0.0122,0.0859,0.0822,0.1919
