PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Caloocan,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Manila,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Pasay,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Paranaque,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Las Pinas,-,-,-,0.0000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Valenzuela,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Pasig,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Taguig,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Marikina,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
San Juan (MM),-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Mandaluyong,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Makati,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Noveleta,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Rosario (CE),-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Naic,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Amadeo,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Indang,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Kawit,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Carmona,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Silang,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Tanza,-,-,-,0.0000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Trece Martires,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
General Trias,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Alfonso,-,-,-,2.5000,0.0000,2.5000,1.2500,2.5000,2.0000,2.0000
Bacoor,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Dasmarinas,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Imus,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Cavite,-,-,-,1.2500,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Tagaytay,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Angono,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Antipolo,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0000,2.0000
Baras (RL),-,-,-,1.2500,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Binangonan,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Cainta,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Cardona,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Jalajala,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Morong (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Pililla,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
San Mateo (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Tanay,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Taytay (RL),-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
Teresa,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0000,2.0000
