PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,1.1836,1.6134,1.5225,2.5000,1.3409,1.5247,1.5322
Caloocan,-,-,-,1.1330,1.1416,1.5745,1.8968,1.2874,1.5022,1.5056
Manila,-,-,-,1.2652,1.6650,1.5945,1.9062,1.2930,1.4837,1.4707
Pasay,-,-,-,1.0989,1.7176,1.9163,1.9218,1.3081,1.5143,1.5150
Paranaque,-,-,-,1.1127,1.5226,1.8198,1.8123,1.2106,1.4401,1.3819
Las Pinas,-,-,-,1.1031,1.7384,1.8869,1.9520,1.0143,1.4984,1.5029
Valenzuela,-,-,-,1.0077,1.2755,1.2833,1.9101,1.3160,1.5183,1.5150
Pasig,-,-,-,1.0533,1.6947,1.8963,1.9250,1.3251,1.5037,1.4486
Taguig,-,-,-,1.1006,1.5967,1.8343,1.8228,1.2609,1.4631,1.4198
Marikina,-,-,-,0.0617,1.6942,1.5957,1.9059,1.2980,1.5067,1.5085
San Juan (MM),-,-,-,0.0313,1.2448,1.5743,1.8616,1.2566,1.4657,1.4693
Mandaluyong,-,-,-,1.0102,0.8479,1.9126,1.9061,1.3084,1.5083,1.5093
Makati,-,-,-,1.4693,1.6763,1.9242,1.9169,1.2975,1.5901,1.5833
Noveleta,-,-,-,0.2894,0.0000,1.2699,1.2636,1.2917,1.5050,1.4988
Rosario (CE),-,-,-,1.0964,0.0000,1.8849,1.8844,1.2860,1.5108,1.5103
Naic,-,-,-,1.0065,0.0000,1.8796,1.8793,1.2701,1.5065,1.5037
Amadeo,-,-,-,1.0505,0.0000,1.8871,1.8831,1.2884,1.5030,1.5075
Indang,-,-,-,0.6944,0.0000,1.2604,1.2605,0.7846,1.2499,1.5059
Kawit,-,-,-,0.9921,0.0000,1.8704,1.8705,1.2585,1.5031,1.4999
Carmona,-,-,-,1.1605,0.0000,1.9528,1.9262,1.3967,1.5605,1.5743
Silang,-,-,-,0.6953,0.0000,1.8917,1.8909,1.2861,1.5142,1.5124
Tanza,-,-,-,0.9736,0.0000,1.9886,1.9717,1.4949,1.6086,1.5870
Trece Martires,-,-,-,0.0471,0.0025,1.8446,1.8622,1.2430,1.4938,1.4998
General Trias,-,-,-,1.0149,1.6923,1.8963,1.9692,1.2703,1.5052,1.5019
Alfonso,-,-,-,1.0451,0.0000,1.5627,1.2560,1.2746,1.5088,1.5076
Bacoor,-,-,-,1.4330,1.9928,2.0403,2.0330,1.3643,1.5001,1.4790
Dasmarinas,-,-,-,1.5921,1.7698,1.9515,1.6915,1.3086,1.5384,1.5141
Imus,-,-,-,0.9970,1.7795,2.0058,1.9935,1.2860,1.5125,1.5041
Cavite,-,-,-,1.0281,0.9888,1.5609,1.2551,1.2491,1.4960,1.4808
Tagaytay,-,-,-,1.0013,1.5005,1.9021,1.8777,1.2606,1.5028,1.4892
Angono,-,-,-,1.2005,0.0000,1.3029,1.9148,1.3695,1.5425,1.5344
Antipolo,-,-,-,1.0604,1.6380,2.2976,2.1685,1.5079,1.6010,1.5948
Baras (RL),-,-,-,1.0074,0.0000,1.8964,1.8863,1.2778,1.5052,1.5113
Binangonan,-,-,-,1.0198,0.0000,2.0425,2.0246,1.5648,1.6231,1.6844
Cainta,-,-,-,0.9772,0.0000,1.8806,1.8789,1.2706,1.5074,1.5056
Cardona,-,-,-,0.9896,0.0000,1.8767,1.8695,1.2651,1.5012,1.5036
Jalajala,-,-,-,1.0065,0.0000,1.8810,1.8765,1.2646,1.5009,1.5036
Morong (RL),-,-,-,1.0266,0.0000,1.8920,1.8907,1.2973,1.5197,1.5160
Pililla,-,-,-,0.9867,0.0000,1.8846,1.9205,1.3855,1.5419,1.5179
San Mateo (RL),-,-,-,0.9991,0.0000,1.8837,1.9752,1.4637,1.5842,1.5771
Tanay,-,-,-,1.0078,0.0000,2.1438,2.0831,1.7583,1.6872,1.6440
Taytay (RL),-,-,-,1.0406,0.0000,1.8873,1.8913,1.3328,1.5264,1.5181
Teresa,-,-,-,1.0054,0.0000,1.8687,1.8683,1.2813,1.5111,1.5087
