PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),-,-,-,1.4749,1.3770,1.3540,2.5000,1.4060,1.2231,1.2403
Caloocan,-,-,-,0.7714,0.4246,0.3956,0.7065,0.4602,0.4892,0.8881
Manila,-,-,-,1.3678,0.9707,0.9390,1.2922,0.2363,0.4025,0.6528
Pasay,-,-,-,1.3394,1.3945,1.3868,1.5179,1.4771,1.2435,1.2830
Paranaque,-,-,-,0.5127,0.3025,0.6728,0.5000,0.3163,0.3131,0.3482
Las Pinas,-,-,-,0.4237,0.2550,0.2730,0.3233,0.2063,0.2738,0.2772
Valenzuela,-,-,-,0.6141,0.3991,0.3582,0.5375,0.3916,0.4102,0.7127
Pasig,-,-,-,1.0426,0.5030,0.4885,0.7958,0.4442,0.4488,0.4976
Taguig,-,-,-,0.3733,0.2062,0.1359,0.0000,0.2239,0.1995,0.3209
Marikina,-,-,-,0.5776,0.3291,0.3117,0.0000,0.2852,0.1946,0.3522
San Juan (MM),-,-,-,0.1854,0.0903,0.1209,0.1702,0.0318,0.7803,0.0981
Mandaluyong,-,-,-,0.4000,0.2227,0.2443,0.3932,0.1859,0.1915,0.2642
Makati,-,-,-,0.9156,0.5870,0.4591,1.1279,0.6089,0.3190,0.7263
Malabon,-,-,-,0.0757,0.0053,0.0818,0.1070,0.0279,0.0934,0.1225
Navotas,-,-,-,0.0355,0.0813,0.0590,0.0855,0.0000,0.0389,0.0687
Muntinlupa,-,-,-,0.3828,0.2463,0.2851,0.3968,0.1071,0.1188,0.2329
Pateros,-,-,-,0.2511,0.3219,0.0444,0.2437,0.1947,0.0000,0.1781
Alfonso,-,-,-,0.1001,0.2639,0.2079,0.1982,0.3357,0.0000,0.2777
Amadeo,-,-,-,0.5305,0.2661,1.1861,0.6840,1.5357,1.2120,1.3152
Bacoor,-,-,-,0.7374,0.7348,1.1542,0.9276,1.3223,0.5608,0.9470
Carmona,-,-,-,0.4631,0.7099,0.5352,0.4103,0.6542,0.0000,0.4702
Cavite,-,-,-,0.2577,0.3769,0.3329,0.3247,0.2331,0.1952,0.1979
Dasmarinas,-,-,-,1.0824,0.6791,1.2405,0.9342,1.6441,1.3830,1.4727
Gen. Emilio Aguinaldo,-,-,-,0.2735,0.1455,0.3463,0.9381,1.0284,0.7014,0.8427
Gen. Mariano Alvarez,-,-,-,0.2575,0.4368,0.4485,0.4273,0.5182,0.0000,0.3339
General Trias,-,-,-,1.6353,1.7865,2.0299,1.9044,1.8401,1.4649,1.4269
Imus,-,-,-,1.2239,1.6819,1.1831,1.5732,1.4081,0.8904,1.0430
Indang,-,-,-,0.1885,0.4326,0.3007,0.2781,0.2957,0.0000,0.2389
Kawit,-,-,-,0.3280,0.7509,0.4566,0.4449,0.4331,0.0000,0.3589
Magallanes (CE),-,-,-,0.2459,0.0510,0.2531,0.3182,0.0032,0.2254,0.3402
Maragondon,-,-,-,0.2502,0.1853,0.5788,0.6180,0.5949,0.4407,0.5060
Mendez,-,-,-,0.8549,1.6434,1.8349,2.1162,1.9673,1.3390,1.3514
Naic,-,-,-,0.4839,1.0098,0.3817,0.3648,0.3785,0.0000,0.3048
Noveleta,-,-,-,1.0746,0.3064,0.5840,0.5983,0.7965,0.5482,0.6357
Rosario (CE),-,-,-,0.2137,0.4068,0.2073,0.3623,0.5627,0.0000,0.3365
Silang,-,-,-,0.6441,0.7358,0.7298,0.5948,0.5214,0.0000,0.6486
Tagaytay,-,-,-,0.2436,0.1653,0.3929,0.1116,0.2423,0.2328,0.2485
Tanza,-,-,-,1.5703,1.7244,1.6305,0.8633,1.6476,0.0000,1.3626
Ternate,-,-,-,0.3173,0.1246,0.2312,0.2394,0.2711,0.2057,0.1736
Trece Martires,-,-,-,0.7392,0.5110,0.6104,0.7688,1.3377,0.8075,0.6701
Angono,-,-,-,0.3447,0.7114,0.4228,0.3740,0.4392,0.0000,0.4668
Antipolo,-,-,-,0.9645,0.5426,1.3175,1.4280,1.4664,1.1104,1.1259
Baras (RL),-,-,-,0.3353,0.3156,0.5889,1.3817,0.8490,0.6862,0.8111
Binangonan,-,-,-,0.1725,0.9720,0.5991,0.4916,0.7838,0.0000,0.9752
Cainta,-,-,-,0.7415,0.9987,0.7464,0.6743,0.9856,0.0000,1.1655
Cardona,-,-,-,0.3083,0.1949,0.2443,0.2448,0.2844,0.2435,0.2396
Jalajala,-,-,-,0.3242,0.0469,0.2342,0.1897,0.3079,0.2819,0.3630
Morong (RL),-,-,-,0.1177,0.1979,0.1548,0.1345,0.4343,0.0000,0.1482
Pililla,-,-,-,0.0824,0.1465,0.1176,0.0847,0.1306,0.0000,0.1258
Rodriguez,-,-,-,0.7698,0.9331,0.6226,0.6038,0.7054,0.0000,1.1000
San Mateo (RL),-,-,-,0.6176,0.7716,0.6062,0.7695,0.7485,0.0000,0.7490
Tanay,-,-,-,0.4532,0.4721,0.2930,0.2574,0.3159,0.0000,0.3036
Taytay (RL),-,-,-,1.0902,1.2597,0.8397,0.7279,1.1932,0.0000,0.9585
Teresa,-,-,-,0.1618,0.2274,0.3010,0.1416,0.1672,0.0000,0.2201
