PROVINCE / LGU,active_establishments_in_the_locality,cost_of_doing_business,cost_of_living,employment_generation,financial_deepening,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,productivity,safety_compliant_business,capacity_of_health_services,capacity_of_school_services,capacity_to_generate_local_resource,compliance_to_arta_citizens_charter,compliance_to_national_directives,getting_business_permits,peace_and_order,presence_of_investment_promotion_unit,recognition_of_performance,social_protection,accommodation_capacity,availability_of_basic_utilities,distance_to_ports,education,financial_technology_capacity,health,information_technology_capacity,lgu_investment,road_network,transportation_vehicles,availability_of_basic_internet_service,ict_plan,ict_use__e-bpls_software,innovation_financing__r&d_expenditures_allotment,intellectual_property_registration,internet_capability,new_technology,online_payment_facilities,start_up_and_innovation_facilities,stem_graduates,economic_dynamism,government_efficiency,infrastructure,innovation,overall_score,resiliency,annual_disaster_drill,budget_for_drrmp,disaster_risk_reduction_plan,early_warning_system,emergency_infrastructure,employed_population,land_use_plan,local_risk_assessments,sanitary_system,utilities
Quezon (MM),1.76,1.4609,0.7925,0.9248,1.3115,0.5111,0.4807,0.188,0.7522,1.2403,0.608,0.4684,1.6856,2.0,1.5,2.0,0.0696,1.9334,0.8543,0.6199,0.4187,1.6337,1.8287,1.149,1.2633,1.1322,1.1992,2.0,0.467,0.8986,0.1819,2.0001,2.0,0.1822,1.6708,1.328,2.0,2.0,0.9286,0.3208,9.422,11.7392,11.9904,12.6124,61.8475,16.0835,1.0067,0.3897,2.0,2.0,1.3299,2.0,1.825,2.0,2.0,1.5322
Caloocan,0.3098,1.3764,0.7925,0.1654,0.4734,0.3167,0.0555,0.0567,0.1673,0.8881,0.1278,0.4637,0.2297,2.0,1.8333,2.0,0.4087,1.6667,0.4763,1.652,0.0416,1.6295,1.8125,0.5087,0.1231,0.4324,0.2311,0.4638,0.6273,0.3016,0.1586,2.0001,2.0,0.0335,0.2424,1.0632,0.0585,2.0,0.4426,0.2844,4.6018,10.8582,6.1716,8.2833,42.0494,12.1345,1.0067,0.283,2.0,1.0151,0.8792,0.1188,1.825,2.0,1.5011,1.5056
Manila,0.0,1.2995,0.7925,0.46,1.1539,0.3905,0.3591,0.359,0.5652,0.6528,0.8191,0.6126,1.2581,2.0,1.3333,2.0,2.0,2.0001,0.5281,1.1669,0.7906,1.6083,1.9304,1.1265,1.5984,1.096,0.1345,0.5629,0.3522,1.1908,0.2223,1.3334,2.0,0.0729,1.2402,1.3845,1.5805,2.0,0.757,0.9985,6.0325,13.7182,10.3906,11.5893,56.2923,14.5617,2.0,0.1643,1.9167,1.1808,1.2219,1.1812,1.925,2.0,1.5011,1.4707
Pasay,0.0,1.4822,0.7925,2.0,0.5909,0.2022,2.0,0.1095,2.0,1.283,1.022,0.7601,0.6111,2.0,2.0,2.0,0.1304,1.7334,0.5114,1.737,0.5548,1.7292,1.9796,0.5821,0.498,0.6383,2.0,0.7744,0.3351,0.5581,1.0535,2.0001,2.0,0.1779,0.4315,1.0161,1.7854,2.0,0.1559,0.4682,10.4603,12.5054,9.6496,11.0886,56.7826,13.0787,1.4655,0.3243,2.0,1.0527,0.7329,0.4619,2.0,2.0,1.5264,1.515
Paranaque,0.5142,1.4267,0.7925,0.7071,0.3316,0.2952,0.3623,0.0081,0.5405,0.3482,0.195,0.3661,0.6191,2.0,1.0,2.0,0.0,1.6001,0.2614,0.2442,0.1017,1.621,1.9811,0.2492,0.2766,0.2242,0.0615,0.3405,0.1531,0.2664,0.1847,1.3334,2.0,0.0,0.2323,0.0168,0.0,2.0,0.0775,0.0722,5.3264,8.2859,5.2753,5.9169,36.3001,11.4956,1.0067,0.3157,1.8333,1.1789,0.6276,0.0474,1.6,2.0,1.5041,1.3819
Las Pinas,0.3228,1.3794,0.7925,0.1593,0.2592,0.1281,0.0403,0.0,0.0974,0.2772,0.0133,0.4407,0.167,2.0,1.1667,2.0,0.0174,1.6001,0.2677,0.926,0.0462,1.6273,1.7897,0.1795,0.0451,0.1179,0.0642,0.9042,0.1654,0.0621,0.0675,1.3334,2.0,0.0,0.1546,1.0176,0.0,2.0,0.0,0.1023,3.4562,8.5989,5.0016,6.6754,35.1899,11.4578,1.0089,0.2211,1.6667,1.1563,0.4225,0.0195,1.9,2.0,1.5599,1.5029
Valenzuela,0.5147,1.2028,0.7925,0.2002,0.1681,0.13,0.102,0.0343,0.243,0.7127,0.2914,0.4877,0.3067,2.0,1.5,2.0,0.913,1.6001,1.1805,1.4682,0.0102,1.6337,1.9004,0.2094,0.2392,0.5554,0.1531,0.3713,0.1895,0.6229,0.0506,2.0001,2.0,0.5265,0.5044,1.0419,0.0098,2.0,0.7752,0.1971,4.1003,11.7476,5.8851,9.1056,44.2105,13.3719,1.0067,0.2839,1.5,1.0923,0.6367,1.7974,1.9,2.0,1.6399,1.515
Pasig,0.7201,1.3384,0.7925,0.4337,0.9254,0.1972,0.3283,0.2529,0.5446,0.4976,0.6284,0.4843,0.7941,2.0,1.8333,2.0,0.0087,2.0001,0.8802,1.1898,0.1559,1.6337,1.7509,0.3394,0.2793,0.3901,0.3342,0.284,0.278,0.3146,0.2527,2.0001,2.0,0.0004,0.5053,1.1829,0.0,2.0,0.1506,0.3378,6.0307,11.8189,5.7601,8.4298,44.5875,12.548,1.0067,0.0972,2.0,1.4087,0.809,0.3017,1.975,2.0,1.5011,1.4486
Taguig,0.3816,1.2285,0.7925,0.1081,0.7034,0.3501,0.5038,0.0238,0.5124,0.3209,0.5793,0.4118,0.9914,2.0,1.1667,2.0,0.0087,2.0001,0.5549,0.4868,0.078,1.6337,1.1203,0.5668,0.0865,0.3126,0.0088,0.1646,0.1028,0.0813,0.0,2.0001,2.0,0.0,0.5361,1.0024,0.1659,2.0,0.1455,0.2213,4.9251,10.1997,4.1554,8.0713,38.4518,11.1003,1.0067,0.0852,2.0,1.0734,0.4349,0.0,1.5,2.0,1.5803,1.4198
Marikina,0.4672,1.4106,0.7925,0.0942,0.1507,0.22,0.0278,0.0071,0.0854,0.3522,0.3399,0.5301,0.0947,2.0,1.6667,2.0,0.0522,1.9334,0.149,1.3605,0.072,1.0,1.789,0.1483,0.1282,0.1742,0.1987,0.3861,0.5477,0.0759,0.1368,1.3334,2.0,0.0035,0.155,1.0543,0.0,2.0,0.031,0.2013,3.6077,10.1265,4.5201,6.9153,36.6775,11.5079,1.0067,0.2839,1.8333,1.0245,0.447,0.004,1.9,2.0,1.5,1.5085
San Juan (MM),0.1446,1.4938,0.7925,0.0141,0.129,0.2089,0.0335,0.0034,0.0415,0.0981,1.2556,0.4975,0.1531,2.0,1.6667,1.0,0.1304,1.3334,0.5248,0.0067,0.007,1.6337,1.7154,0.0119,0.0484,0.0648,0.0296,0.1355,0.4664,0.0281,0.0072,2.0001,0.0,1.3498,0.1186,2.0,0.0683,2.0,0.0072,0.0023,2.9594,8.5682,4.1408,7.5535,34.1455,10.9236,1.0067,0.0,1.9167,1.0923,0.4345,0.0291,1.975,2.0,1.0,1.4693
