PROVINCE / LGU,accommodation_capacity,availability_of_basic_utilities,distance_to_ports,education,financial_technology_capacity,health,information_technology_capacity,lgu_investment,road_network,transportation_vehicles
Quezon (MM),0.4187,1.6337,1.8287,1.149,1.2633,1.1322,1.1992,2.0,0.467,0.8986
Caloocan,0.0416,1.6295,1.8125,0.5087,0.1231,0.4324,0.2311,0.4638,0.6273,0.3016
Manila,0.7906,1.6083,1.9304,1.1265,1.5984,1.096,0.1345,0.5629,0.3522,1.1908
Pasay,0.5548,1.7292,1.9796,0.5821,0.498,0.6383,2.0,0.7744,0.3351,0.5581
Paranaque,0.1017,1.621,1.9811,0.2492,0.2766,0.2242,0.0615,0.3405,0.1531,0.2664
Las Pinas,0.0462,1.6273,1.7897,0.1795,0.0451,0.1179,0.0642,0.9042,0.1654,0.0621
Valenzuela,0.0102,1.6337,1.9004,0.2094,0.2392,0.5554,0.1531,0.3713,0.1895,0.6229
Pasig,0.1559,1.6337,1.7509,0.3394,0.2793,0.3901,0.3342,0.284,0.278,0.3146
Taguig,0.078,1.6337,1.1203,0.5668,0.0865,0.3126,0.0088,0.1646,0.1028,0.0813
Marikina,0.072,1.0,1.789,0.1483,0.1282,0.1742,0.1987,0.3861,0.5477,0.0759
San Juan (MM),0.007,1.6337,1.7154,0.0119,0.0484,0.0648,0.0296,0.1355,0.4664,0.0281
Mandaluyong,0.0285,1.6337,1.8919,0.1485,0.2246,0.2013,0.0176,0.3231,0.1937,0.1038
Makati,0.9599,1.6337,1.8305,0.1526,0.763,0.3462,0.8386,0.1121,0.4809,0.163
Noveleta,0.0,0.3397,1.9752,0.138,0.4095,0.353,0.4,0.0287,0.0001,0.013
Rosario (CE),0.0068,0.6359,1.8787,0.1526,0.5455,0.1693,0.1233,0.0013,0.0014,0.1317
Naic,0.0057,0.6396,1.8222,0.1296,0.1322,0.0667,0.326,0.0018,0.0006,0.1989
Amadeo,0.0161,0.3236,1.8647,0.1447,0.2727,0.1154,1.0667,0.0213,0.0001,0.0232
Indang,0.0045,0.6535,1.7243,0.1382,0.0785,0.0538,0.2291,0.0017,0.0009,0.0748
Kawit,0.0046,0.6529,1.8862,0.0391,0.2479,0.1637,0.1762,0.0012,0.0025,0.1808
Carmona,0.0052,0.6502,1.8774,0.2321,0.4094,0.2327,0.1938,0.0016,0.0038,0.1335
Silang,0.0418,0.6535,1.8014,0.4588,0.3388,0.366,0.5551,0.0018,0.001,0.1355
Tanza,0.017,0.6434,1.9468,0.2789,0.4299,0.2884,0.2555,0.0013,0.0007,0.2738
Trece Martires,0.0092,1.58,1.8463,0.1956,0.157,0.17,0.1353,0.1586,0.0006,0.158
General Trias,0.0602,1.58,1.8954,0.2142,0.1399,0.2428,0.6316,1.2388,0.0074,0.1583
Alfonso,0.0749,0.6502,1.7185,0.0769,0.0454,0.117,0.2907,0.0019,0.0022,0.1022
Bacoor,0.1954,1.4912,1.9219,0.5932,0.6797,0.2126,0.1955,0.1612,0.0015,0.3114
Dasmarinas,0.0696,1.3647,1.7992,0.8351,0.2833,0.6206,0.6566,1.4957,0.0087,0.2835
Imus,0.0277,1.3292,1.9096,0.3471,0.5193,0.3681,0.5815,0.1396,0.0012,0.2403
Cavite,0.0,0.9822,1.9895,0.0991,0.1195,0.1484,0.0652,0.2174,0.0036,0.0502
Tagaytay,0.5303,1.5785,1.5474,0.1052,0.2287,0.1043,0.1955,0.2361,0.0001,0.0443
Angono,0.0437,0.6535,1.9457,0.1439,1.3058,0.4189,0.5903,0.008,0.0041,0.5954
Antipolo,0.3994,1.5398,1.8375,1.1394,1.5358,0.5266,1.1278,1.3897,0.0037,0.4007
Baras (RL),0.01,0.3299,1.8785,0.0907,0.319,0.1886,0.6667,0.0695,0.0,0.0119
Binangonan,0.2407,0.6507,1.923,0.2194,0.343,0.4225,0.7137,0.0095,0.0018,0.3321
Cainta,0.0164,0.6434,1.9389,0.5207,1.0011,0.6037,0.2026,0.0008,0.0079,0.1676
Cardona,0.0,0.3198,1.9178,0.2531,0.1364,0.2743,0.6222,0.0427,0.0001,0.0134
Jalajala,0.0021,0.2606,1.809,0.2629,0.0909,0.2009,0.3111,0.0254,0.0001,0.0145
Morong (RL),0.0064,0.6535,1.8986,0.129,0.0838,0.2534,0.2907,0.0017,0.0013,0.0442
Pililla,0.0,0.6387,1.8619,0.0786,0.0579,0.0471,0.326,0.0016,0.0011,0.074
San Mateo (RL),0.0796,0.6512,1.8793,0.3554,0.5124,0.5952,0.467,0.0094,0.0002,0.2238
Tanay,0.0218,0.5926,1.8721,0.3146,0.1902,0.2368,0.467,0.0019,0.0004,0.2067
Taytay (RL),0.1042,0.6182,1.8995,0.6971,0.744,0.5144,0.5286,0.0016,0.0031,0.27
Teresa,0.0029,0.6439,1.8804,0.0489,0.0583,0.0728,0.1938,0.0012,0.0015,0.0425
