PROVINCE / LGU,availability_of_basic_internet_service,ict_plan,ict_use__e-bpls_software,innovation_financing__r&d_expenditures_allotment,intellectual_property_registration,internet_capability,new_technology,online_payment_facilities,start_up_and_innovation_facilities,stem_graduates
Quezon (MM),0.1819,2.0001,2.0,0.1822,1.6708,1.328,2.0,2.0,0.9286,0.3208
Caloocan,0.1586,2.0001,2.0,0.0335,0.2424,1.0632,0.0585,2.0,0.4426,0.2844
Manila,0.2223,1.3334,2.0,0.0729,1.2402,1.3845,1.5805,2.0,0.757,0.9985
Pasay,1.0535,2.0001,2.0,0.1779,0.4315,1.0161,1.7854,2.0,0.1559,0.4682
Paranaque,0.1847,1.3334,2.0,0.0,0.2323,0.0168,0.0,2.0,0.0775,0.0722
Las Pinas,0.0675,1.3334,2.0,0.0,0.1546,1.0176,0.0,2.0,0.0,0.1023
Valenzuela,0.0506,2.0001,2.0,0.5265,0.5044,1.0419,0.0098,2.0,0.7752,0.1971
Pasig,0.2527,2.0001,2.0,0.0004,0.5053,1.1829,0.0,2.0,0.1506,0.3378
Taguig,0.0,2.0001,2.0,0.0,0.5361,1.0024,0.1659,2.0,0.1455,0.2213
Marikina,0.1368,1.3334,2.0,0.0035,0.155,1.0543,0.0,2.0,0.031,0.2013
San Juan (MM),0.0072,2.0001,0.0,1.3498,0.1186,2.0,0.0683,2.0,0.0072,0.0023
Mandaluyong,0.1221,2.0001,2.0,0.0012,0.4194,1.0048,0.0098,2.0,0.0948,0.2009
Makati,0.0813,2.0001,2.0,0.0573,0.5085,1.2294,0.8,2.0,0.0716,0.1935
Noveleta,0.0,0.6667,2.0,0.0,0.0606,1.1957,0.0,2.0,0.0,0.0
Rosario (CE),0.7132,2.0001,2.0,0.0019,0.0123,1.07,0.2963,2.0,0.1684,0.0189
Naic,0.0,0.6667,2.0,0.0,0.0231,1.185,0.0,0.0,0.1,0.0078
Amadeo,0.0,0.6667,2.0,0.0,0.188,0.5217,0.0,0.0,0.0,0.0
Indang,0.5463,2.0001,2.0,0.0,0.0842,1.13,0.0,2.0,0.1037,0.2367
Kawit,0.7855,0.0,2.0,0.0,0.0586,1.1,0.0741,0.0,0.0,0.0
Carmona,0.4396,2.0001,2.0,0.0004,0.0836,1.11,1.7037,2.0,0.1731,0.0235
Silang,0.3014,1.3334,2.0,0.0,0.1353,1.315,0.1481,2.0,0.4015,0.0318
Tanza,0.5887,1.3334,2.0,0.0008,0.0816,1.145,0.2963,2.0,0.1,0.0049
Trece Martires,0.3004,1.3334,2.0,0.0559,0.0348,1.0152,0.0,0.0,0.0995,0.4411
General Trias,0.2423,1.3334,2.0,0.0,0.1386,1.0618,0.0212,0.0,0.2045,0.0548
Alfonso,0.7541,2.0001,2.0,0.0006,0.0449,1.165,1.1852,2.0,0.0693,0.0631
Bacoor,0.1514,2.0001,2.0,1.0019,0.3772,1.0191,0.0127,2.0,0.6052,0.0733
Dasmarinas,0.9507,1.3334,2.0,0.0176,0.4433,1.0642,0.0847,2.0,1.2505,0.6197
Imus,0.2715,1.3334,2.0,0.0,0.2999,1.0569,0.0932,2.0,0.2386,0.1597
Cavite,0.7168,2.0001,2.0,0.0069,0.0771,1.0064,0.0021,0.0,0.101,0.113
Tagaytay,0.5201,2.0001,2.0,0.0468,0.0528,1.0191,0.0,0.0,0.0606,0.0295
Angono,0.5069,1.3334,2.0,0.0027,0.0421,1.335,0.0,2.0,0.7018,0.0
Antipolo,0.1815,2.0001,2.0,0.0062,0.8279,1.1216,0.0339,2.0,1.0048,0.1068
Baras (RL),0.6652,1.3334,2.0,0.0222,0.1947,1.3261,0.016,2.0,0.0006,0.0
Binangonan,0.3427,1.3334,2.0,0.0001,0.0776,1.405,0.0,2.0,0.1667,0.1115
Cainta,0.6561,1.3334,2.0,0.0,0.5377,1.08,0.0741,2.0,0.8274,0.355
Cardona,0.0992,2.0001,2.0,0.001,0.0,1.3043,0.0,2.0,0.0741,0.0459
Jalajala,0.1243,2.0001,2.0,0.0,0.0484,1.1304,0.0,0.0,0.2328,0.1158
Morong (RL),0.3663,2.0001,2.0,0.0005,0.0577,1.165,1.4074,2.0,0.3037,0.1964
Pililla,0.3717,2.0001,2.0,0.0007,0.0193,1.185,0.0,0.0,0.0095,0.0
San Mateo (RL),0.4484,2.0001,2.0,0.0018,0.0449,1.285,0.2222,2.0,1.203,0.3145
Tanay,0.278,1.3334,2.0,0.0,0.055,1.265,0.7407,2.0,0.2756,0.0196
Taytay (RL),0.3719,2.0001,2.0,0.0013,0.6163,1.465,0.2963,2.0,0.2741,0.0149
Teresa,0.5347,2.0001,2.0,0.0021,0.0206,1.105,0.0,2.0,0.1754,0.0
