PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quezon (MM),0.7384,1.2288,0.1538,0.2651,0.6473,0.7167,2.5000,0.4305,0.1599,0.5111
Caloocan,1.2435,2.0244,1.9745,0.1240,0.9963,0.6630,1.0104,0.2740,0.6310,0.3167
Manila,0.8302,0.4364,0.7673,0.2965,0.4226,0.6573,1.0605,0.3645,0.5008,0.3905
Pasay,1.2451,0.9462,0.9942,2.1104,2.5000,0.8324,2.5000,0.0186,0.9551,0.2022
Paranaque,1.3450,1.7073,0.9439,0.5113,0.3862,0.7910,1.0267,0.2875,0.6576,0.2952
Las Pinas,1.2924,1.1430,0.9716,0.2661,0.4435,0.7296,2.1219,0.2342,1.2955,0.1281
Valenzuela,2.0489,1.3283,1.0065,0.4590,0.4554,0.7192,0.9375,0.3090,1.1428,0.1300
Pasig,-,0.8171,1.2270,0.3024,0.5353,0.7575,0.9542,1.0320,0.0619,0.1972
Taguig,-,0.8931,1.1393,0.5584,0.5210,0.5643,0.0000,0.6007,0.4576,0.3501
Marikina,1.1853,0.8236,0.9988,0.2948,0.6685,0.6198,0.0000,0.4779,0.4683,0.2200
San Juan (MM),-,1.1092,1.0128,0.2162,0.3406,0.8306,0.9375,0.3560,0.2805,0.2089
Mandaluyong,1.3574,1.0151,0.9097,0.1912,0.4096,0.9403,1.1158,0.4111,0.3706,1.1379
Makati,1.3295,1.8731,0.9560,0.2638,0.4461,0.6387,0.9997,0.4129,0.4182,0.2141
Malabon,1.1769,0.6816,1.2385,0.1579,0.8497,0.6933,1.0027,0.3309,0.7638,0.0936
Navotas,1.2071,0.7926,1.2273,0.1668,0.9107,0.5108,0.9821,0.4949,0.2497,0.3122
Muntinlupa,1.1805,1.2794,0.8043,0.3511,0.5247,0.6471,0.8908,0.4774,0.1753,0.1939
Pateros,0.3351,0.2779,0.0678,0.0071,0.0087,0.0465,0.3285,0.0192,0.0000,0.0016
Alfonso,0.3531,0.2939,0.0636,0.0074,0.0113,0.0020,0.3304,0.0026,0.0002,0.0016
Amadeo,-,-,0.1388,0.0021,0.0058,0.0013,1.0292,0.0006,0.0002,0.0000
Bacoor,1.1682,0.2787,0.2045,0.0535,0.0731,0.1044,0.6023,0.0371,0.0217,0.0121
Carmona,0.3404,0.2725,0.0706,0.0040,0.0089,0.0024,0.3303,0.0025,0.0000,0.0009
Cavite,1.3315,0.7904,3.1999,0.0516,0.2045,0.0362,0.5887,0.0393,0.0147,0.0122
Dasmarinas,1.2477,0.3763,0.2868,0.0570,0.0616,0.0907,0.6130,0.0353,0.0107,0.0121
Gen. Emilio Aguinaldo,-,-,0.0808,0.0201,0.0011,0.0012,0.0316,0.0243,0.0000,0.0034
Gen. Mariano Alvarez,0.3936,0.2052,0.0731,0.0099,0.0096,0.0050,0.3295,0.0027,0.0000,0.0011
General Trias,0.5339,0.4130,0.0676,0.0639,0.0443,0.4201,0.5789,0.0209,0.0926,0.0132
Imus,1.3746,0.4997,1.1241,0.0498,0.0734,0.0842,0.5630,0.0136,0.0054,0.0116
Indang,0.3198,0.2673,0.0676,0.0045,0.0121,0.0035,0.3305,0.0001,0.0009,0.0008
Kawit,0.2231,1.1552,0.0668,0.0067,0.0076,0.0035,0.3300,0.0033,0.0000,0.0012
Magallanes (CE),-,-,0.1000,0.0258,0.0015,0.0057,1.0281,0.0004,0.0010,0.0000
Maragondon,-,0.3204,0.0930,0.0027,0.0020,0.0044,1.0246,0.0193,0.0002,0.0000
Mendez,-,-,0.1601,0.0028,0.0025,0.0020,1.0261,0.0019,0.0049,0.0000
Naic,0.3350,0.2518,0.1426,0.0001,0.0105,0.0016,0.3303,0.0026,0.0000,0.0010
Noveleta,-,0.2397,0.0921,0.0024,0.0100,0.0011,1.0261,0.0018,0.0006,0.0000
Rosario (CE),0.1924,0.2849,0.0648,0.0041,0.0139,0.0036,0.3319,0.0087,0.0000,0.0006
Silang,0.3962,0.2860,0.0661,0.0051,0.0147,0.0014,0.3316,0.0030,0.0000,0.0007
Tagaytay,2.0500,0.5409,0.3258,0.0548,0.0824,0.0482,0.5426,0.0340,0.0139,0.0136
Tanza,0.4801,0.2980,0.9618,0.0063,0.0112,0.0173,0.3294,0.0036,0.0000,0.0014
Ternate,-,-,0.0722,0.0065,0.0033,0.0013,1.0259,0.0001,0.0094,0.0000
Trece Martires,1.2435,0.3025,0.7399,0.1599,0.0390,0.1461,0.6225,0.0492,0.0203,0.0092
Angono,0.3296,0.2500,0.0709,0.0080,0.0071,0.0024,0.3294,0.0040,0.0000,0.0024
Antipolo,1.1623,0.2767,0.2897,0.0596,0.0751,0.1028,0.5870,0.0341,0.0168,0.0163
Baras (RL),-,0.3029,0.0705,0.0006,0.0151,0.0028,1.0287,0.0003,0.0280,0.0000
Binangonan,0.2018,0.4556,0.0835,0.0069,0.0093,0.0033,0.3296,0.0031,0.0000,0.0008
Cainta,0.0040,0.0000,0.0700,0.0045,0.0105,0.0040,0.3347,0.0022,0.0000,0.0006
Cardona,-,0.2651,0.1291,0.0048,0.0024,0.0023,1.0273,0.0005,0.0004,0.0000
Jalajala,-,0.4127,0.0474,0.0065,0.0029,0.0015,1.0268,0.0018,0.0007,0.0000
Morong (RL),-,0.2810,0.0913,0.2130,0.0127,0.0048,0.3394,0.0023,0.0000,0.0006
Pililla,0.5586,0.3291,0.0686,0.0025,0.0076,0.0015,0.3342,0.0041,0.0000,0.0004
Rodriguez,0.4571,0.3106,0.0697,0.0098,0.0193,0.0012,0.3304,0.0029,0.0000,0.0010
San Mateo (RL),0.3910,0.3428,0.0656,0.0016,0.0136,0.0023,0.3307,0.0049,0.0000,0.0006
Tanay,0.4619,0.3030,0.0665,0.0043,0.0129,0.0020,0.3300,0.0030,0.0000,0.0010
Taytay (RL),0.4573,0.2599,0.0682,0.0053,0.0121,0.0013,0.3318,0.0027,0.0000,0.0007
Teresa,0.4308,0.2834,0.0633,0.0062,0.0114,0.0019,0.3320,0.0024,0.0000,0.0013
