Location,URL,SKU,Title,Price,Category,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,Description,Agent_Name,Agent_Link,Agent_Verification,File,Latitude,Longitude,LRTHubName,LRTHubDist,BusHubName,BusHubDist,HospitalHubName,HospitalHubDist,MallHubName,MallHubDist,SchoolHubName,SchoolHubDist,BusCount,HospitalCount,MallCount,SchoolCount,Concat,Property Type,Processed_Location,Matched_Zonal_Value
"Amparo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/850sqm-vacant-lot-in-makabud-street-amparo-north-c-172422523153/,LA66C596CFA8463PH,"850sqm Vacant Lot in Makabud Street, Amparo, North Caloocan City near MRT 7",17000000.0,land,0.0,0.0,0.0,850.0,"Lot Area 850 sqm Frontage 24.54 m Located in Lot 13, Block 22, Makabud St, Amparo Village, North Caloocan City Along the main road of Amparo Village Only 1km walking distance away from MRT 7 Sacred Heart Station Good for housing project, warehouse, o",Paolo Bellosillo,https://www.lamudi.com.ph/-25377/,FULLY VERIFIED,Caloocan,121.0769537,14.7471848,Roosevelt,11.5935890362897,n7535900394,1.4685249857551,n255061867,1.3161437576114,SM City Fairview,2.50990188328875,w873447606,0.342505456167821,0,0,0,5,17000000.0 land 0.0 0.0 0.0 850.0,CR,amparo caloocan,42000
"Grace Park West, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/1-300sqm-warehouse-with-open-lot-for-sale-in-grace-167852369556/,CO640AED28A3F94PH,"1,300sqm Warehouse with open Lot for Sale in Grace Park West, Caloocan",520000000.0,commercial,0.0,0.0,0.0,1300.0,"Warehouse with open lot Location Grace Park West, Caloocan, Metro Manila Along Rizal Avenue Ext. Near R.Papa 5th Ave. LRT 1 Station Near SM Grand Central Lot area 1,300sqm 2lots front back Frontage 40meters Selling Price P520,000,000.00 P400,0",CTY Real Estate,https://www.lamudi.com.ph/centricity-corp-agn-3/,SEMI VERIFIED,Caloocan,120.9803696,14.6466102,5th Avenue,0.421714679829262,n7604239097,0.363077391962706,n8424682317,0.275368781199313,North Mall,1.00691805163056,n1962804402,0.11156764574575,8,6,0,19,520000000.0 commercial 0.0 0.0 0.0 1300.0,CR,grace park west caloocan,42000
"Deparo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/3-storey-commercial-building-for-sale-along-zabate-172371451365/,CO668A76D663D27PH,"3 Storey Commercial Building For Sale along Zabate Main Road, Boundary of QC",17000000.0,commercial,0.0,0.0,264.0,264.0,"the Property is Located at North Caloocan, Boundary of Quezon City.,Franville V. Subdivision Ipil street.,3 storey Building. The Property is ideal of Residential or Commercial with Lot Areas of 264 Sqm..the Vacant Lot is along the Busy Main Road of Ipil",Henry Carmilo Dizon,https://www.lamudi.com.ph/henry-carmilo-dizon-agn/,FULLY VERIFIED,Caloocan,121.0204681,14.738791,Roosevelt,8.98246784641458,n10285777984,2.05383617453091,w796759425,1.28639393246835,Rustan’s Supercenter,3.14588656454041,n10889215132,0.223599820429693,0,0,0,12,17000000.0 commercial 0.0 0.0 264.0 264.0,CR,deparo caloocan,42000
"Kaybiga, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/-lot-for-sale-in-kaybiga-caloocan-city-172295713129/,LA66B1B216D3DA1PH, LOT FOR SALE IN KAYBIGA CALOOCAN CITY ,49999999.99999999,land,0.0,0.0,0.0,1245.0," LOT FOR SALE IN KAYBIGA CALOOCAN CITY along General luis St Kaybiga Caloocan city Lot area 1245 sqm High traffic area Good for commercial Residential purposes Few meters away from gen. Luis and mindanao ave extension Near church, hospital,",Zobelle88 Brokerage,https://www.lamudi.com.ph/zobelle88-brokerage-agn/,FULLY VERIFIED,Caloocan,121.0127225,14.7194852,Roosevelt,6.90529997261877,n10285777978,0.434095780655371,n255058913,0.599474482556458,One Mall Valenzuela,3.74717939515429,n9495871210,0.602612849234131,3,3,0,5,49999999.99999999 land 0.0 0.0 0.0 1245.0,CR,kaybiga caloocan,42000
"A. Mabini, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/sangandaan-caloocan-commercial-property-2-783-sqm-171530954742/,CO663D8BEBE319EPH,"Sangandaan Caloocan Commercial property 2,783 sqm",235000000.0,commercial,0.0,0.0,0.0,2783.0," Total of 2,783 sqm. Prime Commercial property located along A. Mabini Caloocan with building, rental houses and income generating shops. Selling at P235M Cash terms 100 meters away from SM Mall Sangandaan Caloocan Location has high vehicle and",Mhel Domingo,https://www.lamudi.com.ph/mhel-domingo/,FULLY VERIFIED,Caloocan,120.9712342,14.6480796,5th Avenue,1.38953813992555,n7604239104,0.46201588738615,w256339755,0.254051218253981,SM Center Sangandaan,1.14848501275481,w159633361,0.188181420777306,4,1,0,23,235000000.0 commercial 0.0 0.0 0.0 2783.0,CR,mabini caloocan,42000
"Kaybiga, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/commercial-industrial-vacant-lot-for-sale-near-min-172500806948/,LA6545D6DEE1609PH,"Commercial Industrial Vacant Lot for Sale near Mindanao Avenue, Caloocan City",382104000.0,land,0.0,0.0,0.0,3184.2,"Property Details Land size 3,184.2 sqm 120,000 per sqm Commercial Industrial Zoning Clean Title 3KM distance from NLEX Mindanao Exit Near proposed Subway Station 1, Mindanao Quirino Station",Rose Teñosa,https://www.lamudi.com.ph/cassie-tenosa-agn-595379/,FULLY VERIFIED,Caloocan,121.0127225,14.7194852,Roosevelt,6.90529997261877,n10285777978,0.434095780655371,n255058913,0.599474482556458,One Mall Valenzuela,3.74717939515429,n9495871210,0.602612849234131,3,3,0,5,382104000.0 land 0.0 0.0 0.0 3184.2,CR,kaybiga caloocan,42000
"Grace Park West, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/near-lrt-mont-594-sqm-lot-area-with-warehouse-for-169493550431/,CO64990905CC5BFPH,Near LRT Mont 594 sqm Lot Area with Warehouse for sale at Caloocan,78000000.0,commercial,0.0,0.0,480.0,594.0,"Lot with Warehouse for Sale 12th Avenue Grace Park, Caloocan City 115 meters from LRT Monumento Station LOT AREA 594 SQM WAREHOUSE AREA 480 The lot is a thru lot tagusan sa dalawang kalye since it has direct road access along 12th Avenue 13.85 me",Gabriel Barretto REB REA EnP,https://www.lamudi.com.ph/gabriel-c-barretto/,FULLY VERIFIED,Caloocan,120.9803696,14.6466102,5th Avenue,0.421714679829262,n7604239097,0.363077391962706,n8424682317,0.275368781199313,North Mall,1.00691805163056,n1962804402,0.11156764574575,8,6,0,19,78000000.0 commercial 0.0 0.0 480.0 594.0,CR,grace park west caloocan,17500
"Maypajo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/fire-sale-below-market-value-prime-caloocan-commer-172456304885/,LA65F403392805DPH,FIRE SALE! BELOW MARKET VALUE! Prime Caloocan Commercial Lot for Sale,61199999.99999999,land,0.0,0.0,0.0,765.0,Prime Caloocan Commercial Lot for Sale Maypajo Caloocan beside A. Mabini St. 765 sqm market value at 95k sqm now at 80k sqm!! Near Nlex Clean Title PRICE at 80k sqm 61.2M GROSS other commercial lots available 2. Prime Commercial Lot for Sale P Zamora,NDD.Property Plus,https://www.lamudi.com.ph/nikka-de-dios/,FULLY VERIFIED,Caloocan,120.9718576,14.6391951,R. Papa,1.17862096536732,n7604239104,0.694161803242025,w312353855,0.441908524550414,SM Center Sangandaan,2.12758033433329,w1205430235,0.11283740355869,3,2,0,20,61199999.99999999 land 0.0 0.0 0.0 765.0,CR,maypajo caloocan,35000
"Maypajo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/rush-sale-prime-caloocan-lot-for-sale-172456510432/,LA65F404AE508A1PH,RUSH SALE!! Prime Caloocan Lot for Sale!,33920000.0,land,0.0,0.0,0.0,424.0,Commercial lot for Sale parallel to A. Mabini St 424 sqm Near Nlex Clean Title market value at 95k sqm now at 80k sqm!! PRICE 33.92M Gross other lots available 2. Prime Caloocan Commercial Lot for Sale Maypajo Caloocan beside A. Mabini St. 765 sqm mar,NDD.Property Plus,https://www.lamudi.com.ph/nikka-de-dios/,FULLY VERIFIED,Caloocan,120.9718576,14.6391951,R. Papa,1.17862096536732,n7604239104,0.694161803242025,w312353855,0.441908524550414,SM Center Sangandaan,2.12758033433329,w1205430235,0.11283740355869,3,2,0,20,33920000.0 land 0.0 0.0 0.0 424.0,CR,maypajo caloocan,57000
"Bagong Barrio West, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/prime-commercial-lot-for-sale-in-caloocan-city-along-edsa-ds882625/,LA6156FFC82650EPH,Prime Commercial Lot for Sale in Caloocan City along Edsa DS882625,304760000.0,land,0.0,0.0,0.0,802.0,"Code DS882625 Category For Sale Project Commercial Lot City Caloocan City Size 802 sqm Price Per Sqm Php 380,000.00 Selling Price Php 304,760,000.00 Details of the Unit Vacant lot Along EDSA Balintawak Monumento Ideal for commerc",Yvette De Asis,https://www.lamudi.com.ph/top-realty-corporation/,FULLY VERIFIED,Caloocan,120.9949718,14.6614257,Balintawak,1.04076497460512,n7961970635,0.517641614596881,n255060848,0.371627043314376,North Mall,1.3222538197434,w677535594,0.362235805342079,10,5,0,15,304760000.0 land 0.0 0.0 0.0 802.0,CR,bagong barrio west caloocan,20000
