Street,Vicinity,City,District,Province,Classification,Zonal Value,Barangay
BANUYO,NARRA - MOLAVE,Quezon City,Cubao,NCR,RR,30000,
BANUYO,NARRA - MOLAVE,Quezon City,Cubao,NCR,CR,35000,
BATINO,MOLAVE - PALOSAPIS,Quezon City,Cubao,NCR,RR,30000,
BATINO,MOLAVE - PALOSAPIS,Quezon City,Cubao,NCR,CR,35000,
CALLEJON,BANUYO ,Quezon City,Cubao,NCR,RR,27000,
CALLEJON,BANUYO ,Quezon City,Cubao,NCR,CR,33000,
DUNGON,BATINO - PALOSAPIS,Quezon City,Cubao,NCR,RR,30000,
DUNGON,BATINO - PALOSAPIS,Quezon City,Cubao,NCR,CR,35000,
MOLAVE,BANUYO - BATINO,Quezon City,Cubao,NCR,RR,42000,
MOLAVE,BANUYO - BATINO,Quezon City,Cubao,NCR,CR,50000,
NARRA,MOLAVE - CREEK,Quezon City,Cubao,NCR,RR,30000,
NARRA,MOLAVE - CREEK,Quezon City,Cubao,NCR,CR,35000,
SINEGUELAS,MOLAVE - CREEK,Quezon City,Cubao,NCR,RR,*,
SINEGUELAS,MOLAVE - CREEK,Quezon City,Cubao,NCR,CR,*,
PALOSAPIS,BATINO - NARRA,Quezon City,Cubao,NCR,RR,30000,
PALOSAPIS,BATINO - NARRA,Quezon City,Cubao,NCR,CR,35000,
YAKAL,MOLAVE - BANUYO,Quezon City,Cubao,NCR,RR,30000,
YAKAL,MOLAVE - BANUYO,Quezon City,Cubao,NCR,CR,35000,
ALL OTHER STREETS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,RR,26000,
ALL OTHER STREETS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,CR/I,32000,
ALL OTHER STREETS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,X,29000,
ALL OTHER STREETS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,GL,28000,
ALL OTHER TOWNHOUSES (CCT),MOLAVE - BANUYO,Quezon City,Cubao,NCR,RC,40000,
ALL OTHER TOWNHOUSES (CCT),MOLAVE - BANUYO,Quezon City,Cubao,NCR,CC,46000,
ALL OTHER TOWNHOUSES (CCT),MOLAVE - BANUYO,Quezon City,Cubao,NCR,PS,32000,
ALL OTHER CONDOMINIUMS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,RC,50000,
ALL OTHER CONDOMINIUMS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,CC,57000,
ALL OTHER CONDOMINIUMS,MOLAVE - BANUYO,Quezon City,Cubao,NCR,PS,40000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
